strategy,budget,class_id,support,recall,f1
random,50,56,12137,0.00041196341764851283,0.0007880220646178094
random,50,163,1741,0.004595060310166571,0.008653326122228232
random,50,174,1507,0.0,0.0
random,50,48,3361,0.0002975304968759298,0.0005922416345869114
random,50,38,193,0.06217616580310881,0.10084033613445378
random,50,69,1866,0.0,0.0
random,50,104,1744,0.005733944954128441,0.010570824524312896
random,50,47,618,0.006472491909385114,0.010484927916120577
random,50,66,1955,0.0005115089514066496,0.0009115770282588879
random,50,10,1004,0.06772908366533864,0.12088888888888889
random,50,109,393,0.0,0.0
random,50,26,807,0.012391573729863693,0.01881467544684854
random,100,56,12137,0.00041196341764851283,0.0007894529091339702
random,100,163,1741,0.004595060310166571,0.00881057268722467
random,100,174,1507,0.0,0.0
random,100,48,3361,0.002975304968759298,0.00547645125958379
random,100,38,193,0.06217616580310881,0.10126582278481013
random,100,69,1866,0.0,0.0
random,100,104,1744,0.007454128440366973,0.013367609254498715
random,100,47,618,0.009708737864077669,0.015915119363395226
random,100,66,1955,0.0,0.0
random,100,10,1004,0.0199203187250996,0.038314176245210725
random,100,109,393,0.0,0.0
random,100,26,807,0.008674101610904586,0.013631937682570594
random,200,56,12137,0.00041196341764851283,0.0008210854749979473
random,200,163,1741,0.0022975301550832855,0.004524886877828055
random,200,174,1507,0.0,0.0
random,200,48,3361,0.0011901219875037191,0.002257336343115124
random,200,38,193,0.03626943005181347,0.06666666666666667
random,200,69,1866,0.0,0.0
random,200,104,1744,0.0,0.0
random,200,47,618,0.0016181229773462784,0.003076923076923077
random,200,66,1955,0.0,0.0
random,200,10,1004,0.01693227091633466,0.032818532818532815
random,200,109,393,0.0,0.0
random,200,26,807,0.004956629491945477,0.0091324200913242
random,500,56,12137,0.644887533986982,0.6696325448090003
random,500,163,1741,0.0011487650775416428,0.002279202279202279
random,500,174,1507,0.0,0.0
random,500,48,3361,0.06486164831895269,0.10595382746051032
random,500,38,193,0.031088082901554404,0.05825242718446602
random,500,69,1866,0.015541264737406217,0.020293911826452064
random,500,104,1744,0.0005733944954128441,0.001135718341851221
random,500,47,618,0.0,0.0
random,500,66,1955,0.0,0.0
random,500,10,1004,0.00597609561752988,0.011822660098522168
random,500,109,393,0.0,0.0
random,500,26,807,0.06567534076827757,0.0603988603988604
