method,strategy,budget,selected_collapse_labels,selected_absorber_preds,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support,collapsed_count,severe_collapsed_count,selected_mean_proto_distance
static,,0,0,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,
active_head_ft,random,50,0,9,0.7335215597602531,0.6084195147700485,0.004354826904779331,0.022712068313359715,27326,0.9278223233360153,0.891525720002711,144172,12,9,0.1676049679517746
active_head_ft,random,100,1,14,0.7292826865191134,0.59265012782347,0.002964209909975847,0.016464261848868983,27326,0.905494825624948,0.8722188158933106,144172,12,10,0.1666453331708908
active_head_ft,random,200,2,21,0.7430898204316865,0.5870448242048311,0.0015369977310985875,0.009941487612448991,27326,0.925373859001748,0.8790862581971005,144172,12,10,0.16552788019180298
active_head_ft,random,500,9,41,0.7656717015724414,0.6070509983942192,0.2979579887286833,0.0774807626999054,27326,0.919297783203396,0.8623770539242577,144172,11,7,0.1663004606962204
active_head_ft,random,1000,19,87,0.7793186213421864,0.6137371655710775,0.39837517382712434,0.1289061631910348,27326,0.9248675193518853,0.8649182987109351,144172,7,5,0.1635056585073471
active_head_ft,entropy,50,0,3,0.7213112771863374,0.6140799912701509,0.004757373929590866,0.023572154573319612,27326,0.9271703243348223,0.8923061639778982,144172,12,9,0.31164494156837463
active_head_ft,entropy,100,0,6,0.6981149899223793,0.5834983183834638,0.003805899143672693,0.02157688901515673,27326,0.9135199622672918,0.8660880820969028,144172,12,9,0.3043147027492523
active_head_ft,entropy,200,1,14,0.6859598754259467,0.561791093374273,0.015223596574690771,0.0327126302962027,27326,0.9085952889604084,0.8288587706396052,144172,11,8,0.29910334944725037
active_head_ft,entropy,500,4,58,0.6757447123664914,0.5180352598283819,0.010576008197321232,0.024607096305906056,27326,0.8930721638043448,0.8265838945087559,144172,11,10,0.28562742471694946
active_head_ft,entropy,1000,17,192,0.6690852452598908,0.5110535869895815,0.1613847617653517,0.057821868065843364,27326,0.83083400382876,0.8101349526873275,144172,10,8,0.2758793234825134
active_head_ft,margin,50,0,7,0.7491243012358405,0.6133446003117738,0.004135255800336675,0.021717037953216684,27326,0.925464029076381,0.8873903417638562,144172,12,9,0.1837100237607956
active_head_ft,margin,100,3,13,0.7482884670756158,0.5990282364240019,0.05298982653882749,0.039241735383381084,27326,0.9296742779457869,0.8773201320818881,144172,11,7,0.1817500740289688
active_head_ft,margin,200,10,36,0.7563702125633582,0.5994193636391791,0.11849520603088634,0.059084674203463416,27326,0.9270246649834919,0.8530245723002012,144172,10,8,0.19158145785331726
active_head_ft,margin,500,20,82,0.766982888071528,0.6111969912124257,0.3339676498572788,0.11364811069524923,27326,0.9230225009017008,0.8549255065925315,144172,10,6,0.18453998863697052
active_head_ft,margin,1000,39,155,0.7819712234239122,0.6388255612356102,0.4149893873966186,0.1320559912780016,27326,0.8881544266570486,0.8400236439274973,144172,7,5,0.18442761898040771
active_head_ft,absorber_random,50,2,50,0.7145686800999675,0.6122467103703657,0.05072092512625338,0.03688927554967123,27326,0.9285714285714286,0.9034306620251836,144172,11,7,0.17027907073497772
active_head_ft,absorber_random,100,7,100,0.696474306412571,0.5987816553489314,0.11571397204127937,0.0629023197191493,27326,0.9327816774408345,0.8757218581179282,144172,10,7,0.17558933794498444
active_head_ft,absorber_random,200,18,200,0.6803130826183525,0.5885999263990824,0.2780502085925492,0.10632307402309595,27326,0.9144979607690814,0.8592477971739294,144172,9,5,0.177294060587883
active_head_ft,absorber_random,500,37,500,0.6623736329841622,0.5576511479607933,0.4473761253019103,0.1485430172808351,27326,0.9076380989373803,0.8356099615127904,144172,5,3,0.1801198124885559
active_head_ft,absorber_random,1000,76,1000,0.6916044010522744,0.5448168798988077,0.6318890434018883,0.20671722179873775,27326,0.8687401159725883,0.805832065332924,144172,4,3,0.17961828410625458
active_head_ft,absorber_margin,50,3,50,0.7210142764404347,0.6061728500522942,0.04299934128668667,0.03512000315218997,27326,0.9393779652082235,0.8902061901502414,144172,11,7,0.20725363492965698
active_head_ft,absorber_margin,100,8,100,0.7164995628118791,0.5953889303576202,0.07128741857571544,0.039262552260607486,27326,0.9188191881918819,0.8834964961945649,144172,10,7,0.19932612776756287
active_head_ft,absorber_margin,200,13,200,0.7105618150750929,0.58950670595322,0.09844104515845714,0.05390225090576342,27326,0.9129442610215576,0.8780160469799666,144172,10,7,0.20104551315307617
active_head_ft,absorber_margin,500,37,500,0.70800896896909,0.5841088093274803,0.39544755910122226,0.1570014473258269,27326,0.8996407069333852,0.8480653018540245,144172,6,4,0.1994195431470871
active_head_ft,absorber_margin,1000,76,1000,0.7367084608937682,0.5888418104771972,0.5263485325331186,0.22436150508370967,27326,0.8800113753017229,0.8201137968061756,144172,4,2,0.19974380731582642
active_head_ft,absorber_distance,50,0,50,0.7142286029100027,0.6123296268343934,0.004501207641074435,0.02145174750941649,27326,0.9328995921538162,0.8918478360486717,144172,12,9,0.3755618929862976
active_head_ft,absorber_distance,100,0,100,0.6819220255904307,0.5816943665454817,0.003732708775525141,0.019106935012217278,27326,0.9279957273256944,0.8751649414679458,144172,12,10,0.3658164143562317
active_head_ft,absorber_distance,200,0,200,0.6483632084846992,0.560753064759586,0.0032203761984922782,0.016830540290169272,27326,0.9215450989096358,0.8651588455404458,144172,12,10,0.357621431350708
active_head_ft,absorber_distance,500,2,500,0.6216429658056164,0.5307159824298185,0.019212471638732343,0.03034873136859532,27326,0.9045861887190301,0.8498476181778389,144172,11,10,0.34548237919807434
active_head_ft,absorber_distance,1000,23,1000,0.6171781301649223,0.508210304757328,0.02422601185683964,0.030868955651920688,27326,0.8518991204949643,0.8310694677828423,144172,11,9,0.333794504404068
active_head_ft,absorber_proto_disagree,50,0,50,0.7128010344392391,0.6134542286080594,0.004574398009221986,0.021385863266613625,27326,0.9314846155980356,0.8959282370693865,144172,12,9,0.3751639127731323
active_head_ft,absorber_proto_disagree,100,0,100,0.6888988980743318,0.5928763892112652,0.0037693039595989167,0.020571795719371788,27326,0.9314638071192742,0.8800260420508961,144172,12,10,0.365215003490448
active_head_ft,absorber_proto_disagree,200,0,200,0.6624945493183719,0.5763129351134243,0.003805899143672693,0.01936992331683492,27326,0.9271703243348223,0.8745235401461307,144172,12,10,0.35712653398513794
active_head_ft,absorber_proto_disagree,500,2,500,0.6270932695701198,0.5378331917541997,0.0195784234794701,0.030963515189797647,27326,0.906798823627334,0.8546637767543406,144172,11,10,0.34470435976982117
active_head_ft,absorber_proto_disagree,1000,23,1000,0.6097803176925536,0.508463539672133,0.02422601185683964,0.03156997461028329,27326,0.862906805759787,0.8293602217094918,144172,11,9,0.3329105079174042
active_head_ft,hybrid_risk,50,0,50,0.7046233116112177,0.607528556695744,0.0038790895118202447,0.02012956413304809,27326,0.9179799128818356,0.9007937819008127,144172,12,9,0.33501914143562317
