strategy,budget,class_id,selected_count
random,50,1,2
random,50,14,1
random,50,19,1
random,50,25,1
random,50,29,4
random,50,49,1
random,50,63,1
random,50,71,1
random,50,77,1
random,50,82,1
random,50,83,1
random,50,86,1
random,50,90,1
random,50,96,4
random,50,97,3
random,50,98,2
random,50,99,1
random,50,100,1
random,50,101,2
random,50,102,2
random,50,115,1
random,50,117,3
random,50,124,1
random,50,128,1
random,50,133,1
random,50,140,4
random,50,142,1
random,50,149,1
random,50,155,1
random,50,158,1
random,50,171,1
random,50,172,1
random,50,175,1
random,100,1,2
random,100,2,1
random,100,14,1
random,100,18,1
random,100,19,3
random,100,25,2
random,100,29,4
random,100,48,1
random,100,49,2
random,100,53,1
random,100,62,2
random,100,63,1
random,100,71,2
random,100,73,1
random,100,75,1
random,100,77,1
random,100,79,1
random,100,82,3
random,100,83,1
random,100,86,3
random,100,90,1
random,100,93,2
random,100,96,4
random,100,97,5
random,100,98,4
random,100,99,2
random,100,100,2
random,100,101,3
random,100,102,4
random,100,115,2
random,100,117,8
random,100,122,1
random,100,124,1
random,100,128,1
random,100,129,3
random,100,133,3
random,100,138,2
random,100,140,5
random,100,142,2
random,100,149,2
random,100,153,1
random,100,155,1
random,100,156,1
random,100,158,1
random,100,171,1
random,100,172,1
random,100,175,2
random,100,176,1
random,200,1,3
random,200,2,1
random,200,11,1
random,200,14,2
random,200,18,3
random,200,19,5
random,200,23,2
random,200,24,1
random,200,25,3
random,200,29,6
random,200,46,1
random,200,48,1
random,200,49,5
random,200,51,3
random,200,53,3
random,200,60,2
random,200,61,1
random,200,62,2
random,200,63,2
random,200,68,1
random,200,71,2
random,200,72,1
random,200,73,4
random,200,75,1
random,200,76,1
random,200,77,4
random,200,78,1
random,200,79,1
random,200,82,6
random,200,83,3
random,200,86,3
random,200,90,1
random,200,93,5
random,200,96,8
random,200,97,6
random,200,98,6
random,200,99,2
random,200,100,2
random,200,101,8
random,200,102,6
random,200,105,1
random,200,109,1
random,200,110,1
random,200,115,3
random,200,116,1
random,200,117,14
random,200,122,4
random,200,124,1
random,200,126,1
random,200,128,1
random,200,129,4
random,200,131,1
random,200,133,4
random,200,134,1
random,200,136,3
random,200,138,2
random,200,140,8
random,200,142,3
random,200,143,1
random,200,149,4
random,200,150,1
random,200,153,4
random,200,155,2
random,200,156,2
random,200,158,1
random,200,165,3
random,200,168,1
random,200,171,1
random,200,172,1
random,200,175,5
random,200,176,1
random,500,1,3
random,500,2,1
random,500,6,1
random,500,11,2
random,500,14,5
random,500,17,3
