method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support,collapsed_count,severe_collapsed_count,head_train_samples,selected_mean_proto_distance
static,,0,all,5,2,0.5,2.0,510,0,0,0.7156745417771243,0.7134657848505302,0.14285714285714285,0.16267942583732056,119,0.9400933942024516,0.8925178175464383,1148037,0,0,,
active_head_ft,random,200,all,5,2,0.5,2.0,510,0,0,0.783158157240408,0.7245365120836268,0.2689075630252101,0.11387900355871886,119,0.9312539578428222,0.888258738669623,1148037,0,0,910,0.13009729981422424
active_head_ft,random,500,all,5,2,0.5,2.0,510,0,1,0.7998094178204052,0.7364672566058826,0.19327731092436976,0.13105413105413105,119,0.9306625134904188,0.8881204988323204,1148037,0,0,1510,0.13634668290615082
active_head_ft,random,1000,all,5,2,0.5,2.0,510,0,2,0.8118668033952728,0.7477284077127924,0.16806722689075632,0.13745704467353953,119,0.9325396306913453,0.8886016768372832,1148037,0,0,2510,0.1383683830499649
active_head_ft,margin,200,all,5,2,0.5,2.0,510,0,1,0.7512977885211802,0.7214921591133987,0.226890756302521,0.12949640287769784,119,0.9424783347575034,0.889743294677858,1148037,0,0,910,0.17283517122268677
active_head_ft,margin,500,all,5,2,0.5,2.0,510,0,2,0.7915450418402619,0.7419182097485313,0.21008403361344538,0.13333333333333333,119,0.9367067437721955,0.8899609680273155,1148037,0,0,1510,0.17891430854797363
active_head_ft,margin,1000,all,5,2,0.5,2.0,510,0,4,0.7998621480677238,0.7489373327529765,0.16806722689075632,0.13937282229965156,119,0.935195468438735,0.8886657834077228,1148037,0,0,2510,0.17201146483421326
active_head_ft,absorber_random,200,all,5,2,0.5,2.0,510,1,200,0.7159490958844043,0.7062808710308675,0.20168067226890757,0.16161616161616163,119,0.9404801413194871,0.8907172501477401,1148037,0,0,910,0.13313688337802887
active_head_ft,absorber_random,500,all,5,2,0.5,2.0,510,1,500,0.7204363209908212,0.710050405306331,0.1092436974789916,0.11304347826086956,119,0.9403442571972854,0.8899849448600305,1148037,0,0,1510,0.13209454715251923
active_head_ft,absorber_random,1000,all,5,2,0.5,2.0,510,1,1000,0.7205715165873301,0.7106769718988657,0.07563025210084033,0.0962566844919786,119,0.9428241424274653,0.8907493547658778,1148037,1,0,2510,0.13112273812294006
active_head_ft,absorber_margin,200,all,5,2,0.5,2.0,510,0,200,0.7189218131355011,0.7068821692028865,0.09243697478991597,0.10679611650485436,119,0.9386308977846533,0.8906215740240194,1148037,1,0,910,0.15414254367351532
active_head_ft,absorber_margin,500,all,5,2,0.5,2.0,510,1,500,0.7245397650490837,0.7106930385434755,0.06722689075630252,0.08376963350785341,119,0.9407745569175906,0.8904329670291009,1148037,1,0,1510,0.15399083495140076
active_head_ft,absorber_margin,1000,all,5,2,0.5,2.0,510,5,1000,0.7201201377409212,0.7127869903802198,0.06722689075630252,0.0855614973262032,119,0.9411552066701683,0.89186857598637,1148037,1,0,2510,0.15341708064079285
active_head_ft,absorber_margin_balanced,200,all,5,2,0.5,2.0,510,0,200,0.719637437920541,0.7075631223852451,0.09243697478991597,0.10576923076923077,119,0.9391526579718249,0.8906695679550716,1148037,1,0,910,0.15414254367351532
active_head_ft,absorber_margin_balanced,500,all,5,2,0.5,2.0,510,1,500,0.7252692662149971,0.7118589920527459,0.06722689075630252,0.08205128205128205,119,0.9412623460742119,0.8905328153291299,1148037,1,0,1510,0.15399083495140076
active_head_ft,absorber_margin_balanced,1000,all,5,2,0.5,2.0,510,5,1000,0.7202874472474513,0.7127378815157503,0.06722689075630252,0.0903954802259887,119,0.9414783669864298,0.8921087291362632,1148037,1,0,2510,0.15341708064079285
