strategy,budget,class_id,selected_count
random,200,1,1
random,200,3,1
random,200,4,1
random,200,5,1
random,200,12,3
random,200,14,3
random,200,17,7
random,200,18,1
random,200,19,5
random,200,26,1
random,200,28,1
random,200,29,13
random,200,30,2
random,200,32,6
random,200,40,1
random,200,41,12
random,200,42,5
random,200,43,3
random,200,47,1
random,200,49,13
random,200,50,8
random,200,53,1
random,200,55,14
random,200,57,6
random,200,59,17
random,200,60,2
random,200,61,4
random,200,62,10
random,200,66,11
random,200,68,2
random,200,74,1
random,200,75,3
random,200,79,2
random,200,85,1
random,200,88,2
random,200,89,5
random,200,91,15
random,200,92,1
random,200,97,1
random,200,99,1
random,200,101,12
random,500,1,1
random,500,3,1
random,500,4,2
random,500,5,4
random,500,11,3
random,500,12,3
random,500,14,8
random,500,17,13
random,500,18,2
random,500,19,9
random,500,22,1
random,500,26,5
random,500,28,15
random,500,29,27
random,500,30,4
random,500,32,13
random,500,36,1
random,500,40,2
random,500,41,30
random,500,42,8
random,500,43,5
random,500,44,4
random,500,46,1
random,500,47,5
random,500,48,2
random,500,49,24
random,500,50,30
random,500,52,3
random,500,53,2
random,500,54,1
random,500,55,40
random,500,56,1
random,500,57,16
random,500,59,33
random,500,60,3
random,500,61,13
random,500,62,31
random,500,65,2
random,500,66,28
random,500,68,5
random,500,74,1
random,500,75,7
random,500,76,1
random,500,79,3
random,500,85,1
random,500,88,4
random,500,89,17
random,500,90,2
random,500,91,25
random,500,92,1
random,500,93,2
random,500,97,1
random,500,98,1
random,500,99,3
random,500,101,30
random,1000,1,2
random,1000,3,2
random,1000,4,4
random,1000,5,12
random,1000,8,1
random,1000,11,5
random,1000,12,4
random,1000,14,10
random,1000,15,1
random,1000,17,33
random,1000,18,4
random,1000,19,25
random,1000,22,2
random,1000,26,9
random,1000,27,2
random,1000,28,31
random,1000,29,35
random,1000,30,5
random,1000,32,21
random,1000,33,1
random,1000,35,1
random,1000,36,3
random,1000,38,1
random,1000,39,1
random,1000,40,2
random,1000,41,64
random,1000,42,17
random,1000,43,11
random,1000,44,11
random,1000,45,1
random,1000,46,1
random,1000,47,10
random,1000,48,3
random,1000,49,48
random,1000,50,61
random,1000,51,1
random,1000,52,4
random,1000,53,4
random,1000,54,2
random,1000,55,68
random,1000,56,3
random,1000,57,36
random,1000,59,68
random,1000,60,5
random,1000,61,32
random,1000,62,69
random,1000,63,1
random,1000,65,2
random,1000,66,48
random,1000,68,7
random,1000,70,1
random,1000,73,3
random,1000,74,1
random,1000,75,15
random,1000,76,3
random,1000,77,1
random,1000,79,8
random,1000,82,2
random,1000,85,1
random,1000,87,1
random,1000,88,7
random,1000,89,39
random,1000,90,3
random,1000,91,48
random,1000,92,3
random,1000,93,3
random,1000,97,3
random,1000,98,1
random,1000,99,4
random,1000,100,3
random,1000,101,56
margin,200,1,1
margin,200,3,3
margin,200,4,2
margin,200,8,1
margin,200,11,1
margin,200,13,4
margin,200,17,2
margin,200,19,8
margin,200,28,10
margin,200,29,2
margin,200,32,2
margin,200,41,19
margin,200,42,8
margin,200,43,5
margin,200,44,1
margin,200,45,1
margin,200,47,4
margin,200,48,2
margin,200,49,18
margin,200,50,24
margin,200,52,3
margin,200,55,4
margin,200,57,4
margin,200,58,1
margin,200,59,1
margin,200,60,5
margin,200,61,8
margin,200,62,29
margin,200,66,1
margin,200,68,5
margin,200,73,1
margin,200,78,1
margin,200,82,3
margin,200,91,1
margin,200,94,1
margin,200,98,2
margin,200,101,12
margin,500,1,1
margin,500,3,3
margin,500,4,2
margin,500,8,1
margin,500,11,1
margin,500,13,9
margin,500,17,4
margin,500,19,13
margin,500,26,2
margin,500,28,30
margin,500,29,5
margin,500,30,1
margin,500,32,34
margin,500,39,4
margin,500,41,59
margin,500,42,21
margin,500,43,7
margin,500,44,1
margin,500,45,1
margin,500,47,6
margin,500,48,3
margin,500,49,40
margin,500,50,52
margin,500,52,7
margin,500,55,7
margin,500,56,1
margin,500,57,9
margin,500,58,4
margin,500,59,11
margin,500,60,14
margin,500,61,30
margin,500,62,54
margin,500,64,1
margin,500,66,3
margin,500,68,10
margin,500,70,1
margin,500,73,1
margin,500,76,1
margin,500,77,1
margin,500,78,2
margin,500,82,3
margin,500,89,2
margin,500,90,2
margin,500,91,4
margin,500,93,1
margin,500,94,1
margin,500,98,3
margin,500,99,1
margin,500,101,26
margin,1000,1,1
margin,1000,3,4
margin,1000,4,4
margin,1000,8,1
margin,1000,10,1
margin,1000,11,5
margin,1000,12,1
margin,1000,13,17
margin,1000,14,2
margin,1000,17,9
margin,1000,18,1
margin,1000,19,33
margin,1000,20,1
margin,1000,21,1
margin,1000,26,10
margin,1000,28,53
margin,1000,29,15
margin,1000,30,3
margin,1000,32,52
margin,1000,33,1
margin,1000,35,1
margin,1000,36,2
margin,1000,37,1
margin,1000,39,7
margin,1000,41,101
margin,1000,42,35
margin,1000,43,9
margin,1000,44,4
margin,1000,45,1
margin,1000,47,11
margin,1000,48,6
margin,1000,49,60
margin,1000,50,107
margin,1000,51,2
margin,1000,52,12
margin,1000,53,4
margin,1000,55,18
margin,1000,56,3
margin,1000,57,21
margin,1000,58,5
margin,1000,59,28
margin,1000,60,22
margin,1000,61,61
margin,1000,62,113
margin,1000,64,2
margin,1000,65,1
margin,1000,66,9
margin,1000,67,1
margin,1000,68,18
margin,1000,70,2
margin,1000,72,2
margin,1000,73,2
margin,1000,75,2
margin,1000,76,7
margin,1000,77,1
margin,1000,78,3
margin,1000,79,1
margin,1000,82,3
margin,1000,85,2
margin,1000,88,2
margin,1000,89,3
margin,1000,90,4
margin,1000,91,6
margin,1000,93,2
margin,1000,94,2
margin,1000,98,6
margin,1000,99,2
margin,1000,100,1
margin,1000,101,67
absorber_random,200,10,2
absorber_random,200,11,1
absorber_random,200,18,5
absorber_random,200,38,1
absorber_random,200,41,1
absorber_random,200,55,2
absorber_random,200,67,2
absorber_random,200,71,1
absorber_random,200,77,10
absorber_random,200,79,5
absorber_random,200,80,1
absorber_random,200,84,3
absorber_random,200,88,7
absorber_random,200,91,12
absorber_random,200,97,4
absorber_random,200,98,143
absorber_random,500,6,2
absorber_random,500,10,4
absorber_random,500,11,4
absorber_random,500,18,13
absorber_random,500,34,1
absorber_random,500,38,4
absorber_random,500,41,1
absorber_random,500,55,3
absorber_random,500,61,1
absorber_random,500,67,4
absorber_random,500,71,1
absorber_random,500,77,22
absorber_random,500,79,15
absorber_random,500,80,5
absorber_random,500,84,5
absorber_random,500,88,14
absorber_random,500,89,1
absorber_random,500,91,22
absorber_random,500,93,1
absorber_random,500,97,8
absorber_random,500,98,369
absorber_random,1000,6,2
absorber_random,1000,7,1
absorber_random,1000,10,8
absorber_random,1000,11,8
absorber_random,1000,18,27
absorber_random,1000,34,2
absorber_random,1000,38,7
absorber_random,1000,41,1
absorber_random,1000,55,8
absorber_random,1000,61,2
absorber_random,1000,62,1
absorber_random,1000,67,6
absorber_random,1000,69,2
absorber_random,1000,71,1
absorber_random,1000,77,44
absorber_random,1000,79,21
absorber_random,1000,80,14
absorber_random,1000,81,1
absorber_random,1000,84,8
absorber_random,1000,86,1
absorber_random,1000,88,22
absorber_random,1000,89,2
absorber_random,1000,91,41
absorber_random,1000,93,3
absorber_random,1000,97,12
absorber_random,1000,98,755
absorber_margin,200,10,1
absorber_margin,200,11,2
absorber_margin,200,18,21
absorber_margin,200,23,1
absorber_margin,200,34,2
absorber_margin,200,55,2
absorber_margin,200,62,1
absorber_margin,200,67,4
absorber_margin,200,77,15
absorber_margin,200,79,16
absorber_margin,200,80,12
absorber_margin,200,84,4
absorber_margin,200,86,2
absorber_margin,200,88,3
absorber_margin,200,89,2
absorber_margin,200,91,34
absorber_margin,200,93,2
absorber_margin,200,97,4
absorber_margin,200,98,72
absorber_margin,500,7,2
absorber_margin,500,10,3
absorber_margin,500,11,6
absorber_margin,500,16,1
absorber_margin,500,18,46
absorber_margin,500,23,4
absorber_margin,500,34,7
absorber_margin,500,38,5
absorber_margin,500,41,1
absorber_margin,500,55,7
absorber_margin,500,61,1
absorber_margin,500,62,2
absorber_margin,500,67,10
absorber_margin,500,69,1
absorber_margin,500,71,1
absorber_margin,500,77,36
absorber_margin,500,79,54
absorber_margin,500,80,22
absorber_margin,500,81,1
absorber_margin,500,84,7
absorber_margin,500,86,3
absorber_margin,500,88,15
absorber_margin,500,89,7
absorber_margin,500,91,73
absorber_margin,500,93,2
absorber_margin,500,97,14
absorber_margin,500,98,169
absorber_margin,1000,6,1
absorber_margin,1000,7,4
absorber_margin,1000,10,7
absorber_margin,1000,11,12
absorber_margin,1000,16,2
absorber_margin,1000,18,78
absorber_margin,1000,23,6
absorber_margin,1000,34,12
absorber_margin,1000,38,11
absorber_margin,1000,41,2
absorber_margin,1000,55,13
absorber_margin,1000,61,1
absorber_margin,1000,62,2
absorber_margin,1000,67,20
absorber_margin,1000,69,1
absorber_margin,1000,71,5
absorber_margin,1000,77,65
absorber_margin,1000,79,125
absorber_margin,1000,80,35
absorber_margin,1000,81,6
absorber_margin,1000,84,12
absorber_margin,1000,86,4
absorber_margin,1000,88,28
absorber_margin,1000,89,16
absorber_margin,1000,91,156
absorber_margin,1000,93,6
absorber_margin,1000,95,3
absorber_margin,1000,97,32
absorber_margin,1000,98,333
absorber_margin,1000,101,2
absorber_margin_balanced,200,10,1
absorber_margin_balanced,200,11,2
absorber_margin_balanced,200,18,21
absorber_margin_balanced,200,23,1
absorber_margin_balanced,200,34,2
absorber_margin_balanced,200,55,2
absorber_margin_balanced,200,62,1
absorber_margin_balanced,200,67,4
absorber_margin_balanced,200,77,15
absorber_margin_balanced,200,79,16
absorber_margin_balanced,200,80,12
absorber_margin_balanced,200,84,4
absorber_margin_balanced,200,86,2
absorber_margin_balanced,200,88,3
absorber_margin_balanced,200,89,2
absorber_margin_balanced,200,91,34
absorber_margin_balanced,200,93,2
absorber_margin_balanced,200,97,4
absorber_margin_balanced,200,98,72
absorber_margin_balanced,500,7,2
absorber_margin_balanced,500,10,3
absorber_margin_balanced,500,11,6
absorber_margin_balanced,500,16,1
absorber_margin_balanced,500,18,46
absorber_margin_balanced,500,23,4
absorber_margin_balanced,500,34,7
absorber_margin_balanced,500,38,5
absorber_margin_balanced,500,41,1
absorber_margin_balanced,500,55,7
absorber_margin_balanced,500,61,1
absorber_margin_balanced,500,62,2
absorber_margin_balanced,500,67,10
absorber_margin_balanced,500,69,1
absorber_margin_balanced,500,71,1
absorber_margin_balanced,500,77,36
absorber_margin_balanced,500,79,54
absorber_margin_balanced,500,80,22
absorber_margin_balanced,500,81,1
absorber_margin_balanced,500,84,7
absorber_margin_balanced,500,86,3
absorber_margin_balanced,500,88,15
absorber_margin_balanced,500,89,7
