strategy,budget,class_id,support,recall,f1
random,200,56,10706,0.5433401830749113,0.6688128772635815
random,200,163,2116,0.15926275992438563,0.08605720122574055
random,200,174,2702,0.017024426350851222,0.009770603228547154
random,200,48,2986,0.0,0.0
random,200,38,92,0.2717391304347826,0.17301038062283736
random,200,69,1232,0.021915584415584416,0.022131147540983605
random,200,104,2391,0.05144291091593475,0.046179838558287965
random,200,47,34,0.0,0.0
random,200,66,4226,0.518220539517274,0.5841557748732995
random,200,10,1434,0.46582984658298465,0.49757914338919923
random,200,109,1824,0.9396929824561403,0.9011566771819137
random,200,26,1400,0.5292857142857142,0.5864661654135338
random,500,56,10706,0.5933121614048197,0.7170109493170786
random,500,163,2116,0.17296786389413987,0.1209517514871117
random,500,174,2702,0.15136935603256846,0.06094017730760635
random,500,48,2986,0.0,0.0
random,500,38,92,0.2717391304347826,0.18587360594795538
random,500,69,1232,0.012987012987012988,0.01927710843373494
random,500,104,2391,0.5968214136344626,0.3315135323498664
random,500,47,34,0.0,0.0
random,500,66,4226,0.5619971604353999,0.456423561064668
random,500,10,1434,0.44700139470013944,0.4947896565032806
random,500,109,1824,0.9320175438596491,0.9013785790031813
random,500,26,1400,0.4907142857142857,0.575859178541492
random,1000,56,10706,0.7771343172053055,0.8022756858396413
random,1000,163,2116,0.30765595463137996,0.2372016760794316
random,1000,174,2702,0.15136935603256846,0.08593339636516441
random,1000,48,2986,0.4159410582719357,0.550044286979628
random,1000,38,92,0.2717391304347826,0.1984126984126984
random,1000,69,1232,0.0,0.0
random,1000,104,2391,0.6039314094521121,0.4054471430577004
random,1000,47,34,0.058823529411764705,0.0449438202247191
random,1000,66,4226,0.5518220539517275,0.5338827838827839
random,1000,10,1434,0.7112970711297071,0.5438549720074647
random,1000,109,1824,0.9468201754385965,0.882473173224323
random,1000,26,1400,0.2814285714285714,0.4158311345646438
margin,200,56,10706,0.4833738090790211,0.6093970796043335
margin,200,163,2116,0.2948960302457467,0.07282488183462683
margin,200,174,2702,0.0,0.0
margin,200,48,2986,0.0,0.0
margin,200,38,92,0.2717391304347826,0.16835016835016836
margin,200,69,1232,0.012175324675324676,0.01254180602006689
margin,200,104,2391,0.4349644500209118,0.2594486715729076
margin,200,47,34,0.0,0.0
margin,200,66,4226,0.47231424514907716,0.5942244715689193
margin,200,10,1434,0.47280334728033474,0.47528916929547843
margin,200,109,1824,0.9528508771929824,0.6419205909510619
margin,200,26,1400,0.32357142857142857,0.4603658536585366
margin,500,56,10706,0.5575378292546236,0.6584303127240637
margin,500,163,2116,0.3005671077504726,0.13144569598015915
margin,500,174,2702,0.0,0.0
margin,500,48,2986,0.0,0.0
margin,500,38,92,0.2717391304347826,0.2242152466367713
margin,500,69,1232,0.0,0.0
margin,500,104,2391,0.616060225846926,0.4449478930675125
margin,500,47,34,0.0,0.0
margin,500,66,4226,0.48698532891623286,0.6227871084884249
margin,500,10,1434,0.4595536959553696,0.49829867674858225
margin,500,109,1824,0.9506578947368421,0.6274651709788311
margin,500,26,1400,0.18071428571428572,0.2988777318369758
margin,1000,56,10706,0.7179151877451896,0.7711060948081264
margin,1000,163,2116,0.2684310018903592,0.1899347935127905
margin,1000,174,2702,0.16136195410806808,0.10886392009987515
margin,1000,48,2986,0.0,0.0
margin,1000,38,92,0.2608695652173913,0.2711864406779661
margin,1000,69,1232,0.0,0.0
margin,1000,104,2391,0.6603931409452112,0.5445766511467495
margin,1000,47,34,0.0,0.0
margin,1000,66,4226,0.5560814008518694,0.6167979002624672
margin,1000,10,1434,0.689679218967922,0.5438548254055541
margin,1000,109,1824,0.9451754385964912,0.7383297644539615
margin,1000,26,1400,0.21071428571428572,0.3402537485582468
absorber_random,200,56,10706,0.4530169998131889,0.5806297138752544
absorber_random,200,163,2116,0.4220226843100189,0.12354731599335916
absorber_random,200,174,2702,0.0,0.0
absorber_random,200,48,2986,0.0,0.0
absorber_random,200,38,92,0.2717391304347826,0.14749262536873156
absorber_random,200,69,1232,0.4780844155844156,0.09420231907237105
absorber_random,200,104,2391,0.2810539523212045,0.14217708663916218
absorber_random,200,47,34,0.0,0.0
absorber_random,200,66,4226,0.497870326549929,0.5765173311412523
absorber_random,200,10,1434,0.4790794979079498,0.4437984496124031
absorber_random,200,109,1824,0.9292763157894737,0.897537728355838
absorber_random,200,26,1400,0.4992857142857143,0.5896246309574019
absorber_random,500,56,10706,0.48841770969549786,0.6039849841178169
absorber_random,500,163,2116,0.4966918714555766,0.1280770168169632
absorber_random,500,174,2702,0.16580310880829016,0.09144723412941416
absorber_random,500,48,2986,0.0,0.0
absorber_random,500,38,92,0.2717391304347826,0.12195121951219512
absorber_random,500,69,1232,0.512987012987013,0.16941428762900415
absorber_random,500,104,2391,0.2438310330405688,0.12902511895540555
absorber_random,500,47,34,0.0,0.0
absorber_random,500,66,4226,0.48248935163274964,0.5685208420465635
absorber_random,500,10,1434,0.6834030683403068,0.4868355688027819
absorber_random,500,109,1824,0.9232456140350878,0.9048898441698012
absorber_random,500,26,1400,0.49142857142857144,0.563011456628478
absorber_random,1000,56,10706,0.4945824771156361,0.6197331460674157
absorber_random,1000,163,2116,0.4952741020793951,0.19541301510348685
absorber_random,1000,174,2702,0.28127313101406365,0.15186332300929165
absorber_random,1000,48,2986,0.0,0.0
absorber_random,1000,38,92,0.2717391304347826,0.1026694045174538
absorber_random,1000,69,1232,0.5137987012987013,0.202139549736548
absorber_random,1000,104,2391,0.7457130907570054,0.30638370994071656
absorber_random,1000,47,34,0.0,0.0
absorber_random,1000,66,4226,0.4808329389493611,0.596244131455399
absorber_random,1000,10,1434,0.8158995815899581,0.5879396984924623
absorber_random,1000,109,1824,0.8914473684210527,0.8916918014806691
absorber_random,1000,26,1400,0.3657142857142857,0.4992686494392979
absorber_margin,200,56,10706,0.5000934055669718,0.5972780008924587
absorber_margin,200,163,2116,0.3284499054820416,0.1094833018273472
absorber_margin,200,174,2702,0.21650629163582533,0.07626621471872759
absorber_margin,200,48,2986,0.04989953114534494,0.0681454379144752
absorber_margin,200,38,92,0.2608695652173913,0.24870466321243523
absorber_margin,200,69,1232,0.021915584415584416,0.02120141342756184
absorber_margin,200,104,2391,0.3943956503554998,0.25383580080753704
absorber_margin,200,47,34,0.058823529411764705,0.02564102564102564
absorber_margin,200,66,4226,0.4900615238996687,0.6129032258064516
absorber_margin,200,10,1434,0.4665271966527197,0.4837310195227766
absorber_margin,200,109,1824,0.9314692982456141,0.9054090061284306
absorber_margin,200,26,1400,0.29428571428571426,0.4357482813326282
absorber_margin,500,56,10706,0.5048570894825332,0.610251778254488
absorber_margin,500,163,2116,0.4560491493383743,0.16647977227637367
absorber_margin,500,174,2702,0.26498889711324947,0.10900510009895714
absorber_margin,500,48,2986,0.030810448760884127,0.051728985099803206
absorber_margin,500,38,92,0.2717391304347826,0.2604166666666667
absorber_margin,500,69,1232,0.022727272727272728,0.01552967276760954
absorber_margin,500,104,2391,0.6666666666666666,0.35620111731843573
absorber_margin,500,47,34,0.0,0.0
absorber_margin,500,66,4226,0.4505442498816848,0.5902960781274221
absorber_margin,500,10,1434,0.7224546722454672,0.5760355852098972
absorber_margin,500,109,1824,0.9265350877192983,0.9115426105717368
absorber_margin,500,26,1400,0.29928571428571427,0.4452709883103082
absorber_margin,1000,56,10706,0.5012142723706333,0.6413673579154964
absorber_margin,1000,163,2116,0.3983931947069943,0.22630872483221476
absorber_margin,1000,174,2702,0.6761658031088082,0.25598991172761665
absorber_margin,1000,48,2986,0.030810448760884127,0.05330243337195829
absorber_margin,1000,38,92,0.2717391304347826,0.26595744680851063
absorber_margin,1000,69,1232,0.021915584415584416,0.03300733496332518
absorber_margin,1000,104,2391,0.6001672940192389,0.38333110725257113
absorber_margin,1000,47,34,0.0,0.0
absorber_margin,1000,66,4226,0.41859914813062,0.5670780573809906
absorber_margin,1000,10,1434,0.696652719665272,0.6128834355828221
absorber_margin,1000,109,1824,0.9199561403508771,0.905558553696708
absorber_margin,1000,26,1400,0.32785714285714285,0.47295208655332305
