method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support,collapsed_count,severe_collapsed_count,head_train_samples,selected_mean_proto_distance
static,,0,all,5,2,0.5,2.0,890,0,0,0.787239767457279,0.6836051344755893,0.18244870436374144,0.25812622807340385,31143,0.9480824979746415,0.9089863032292651,204902,7,4,,
active_head_ft,random,200,all,5,2,0.5,2.0,890,3,21,0.8077931719007169,0.6956199569708279,0.28369135921394856,0.29806385389616213,31143,0.945710632399879,0.9019797589260852,204902,6,4,1290,0.15459667146205902
active_head_ft,random,500,all,5,2,0.5,2.0,890,7,55,0.8143674931873384,0.7075760400971381,0.3855762129531516,0.3512690706446109,31143,0.9460278572195489,0.9040182566737103,204902,5,3,1890,0.15803518891334534
active_head_ft,random,1000,all,5,2,0.5,2.0,890,19,113,0.8232613376191036,0.7219755974314918,0.4867867578589089,0.4343540514743987,31143,0.9472577134434998,0.9057597589972456,204902,3,2,2890,0.15970678627490997
active_head_ft,margin,200,all,5,2,0.5,2.0,890,6,20,0.8094042072752596,0.7031778452112191,0.3673056545612176,0.329440161395367,31143,0.9499419234560912,0.9050187558816651,204902,4,4,1290,0.18895433843135834
active_head_ft,margin,500,all,5,2,0.5,2.0,890,13,60,0.8156571925784938,0.711683328951643,0.4093054619015509,0.36064406696338547,31143,0.9449004890142605,0.8984775513015324,204902,4,4,1890,0.189037024974823
active_head_ft,margin,1000,all,5,2,0.5,2.0,890,27,129,0.8256689377958384,0.7253268475879978,0.4593969752432328,0.39236829848788907,31143,0.9473016368800695,0.9007846838934739,204902,3,3,2890,0.18784062564373016
active_head_ft,absorber_random,200,all,5,2,0.5,2.0,890,11,200,0.7857134215361893,0.6877229978672859,0.37199370645088786,0.3454109844790949,31143,0.9473650818440035,0.8896801721631895,204902,3,3,1290,0.16592732071876526
active_head_ft,absorber_random,500,all,5,2,0.5,2.0,890,26,500,0.7973265233333963,0.7000738060980604,0.40875959284590435,0.38708822587409975,31143,0.945325082234434,0.8993299672378543,204902,2,2,1890,0.17037518322467804
active_head_ft,absorber_random,1000,all,5,2,0.5,2.0,890,44,1000,0.8066864017290198,0.7132809274502975,0.4727226021898982,0.4499318316892095,31143,0.9463402016573776,0.9044163174522524,204902,2,2,2890,0.1731216311454773
active_head_ft,absorber_margin,200,all,5,2,0.5,2.0,890,12,200,0.7973637866929155,0.6921258414350522,0.37851202517419646,0.3455906624416663,31143,0.9359010648993177,0.8876666531185725,204902,3,2,1290,0.1926114410161972
active_head_ft,absorber_margin,500,all,5,2,0.5,2.0,890,22,500,0.796438009981741,0.6952378779181215,0.42404392640400734,0.39155042084400854,31143,0.9389854662228773,0.8966981375368096,204902,3,1,1890,0.19213363528251648
active_head_ft,absorber_margin,1000,all,5,2,0.5,2.0,890,35,1000,0.8054063811325448,0.7099922513865871,0.4515300388530328,0.4192970055709433,31143,0.9372870933421831,0.9027180451115772,204902,3,1,2890,0.19846628606319427
active_head_ft,absorber_margin_balanced,200,all,5,2,0.5,2.0,890,12,200,0.7953830213615838,0.6908555181570668,0.37616799922936134,0.343247999178627,31143,0.9434802978985076,0.8917736662767929,204902,3,2,1290,0.1843550056219101
active_head_ft,absorber_margin_balanced,500,all,5,2,0.5,2.0,890,25,500,0.805640124024075,0.7060791595348231,0.42446135568185467,0.4039126649492592,31143,0.9420796283101189,0.8955022753304089,204902,3,1,1890,0.1819916069507599
active_head_ft,absorber_margin_balanced,1000,all,5,2,0.5,2.0,890,49,1000,0.8066351041172141,0.7203978286526455,0.5377131297562855,0.49227519896433997,31143,0.9422113986198281,0.894355606232779,204902,2,1,2890,0.18348804116249084
