strategy,budget,class_id,selected_count
random,200,1,1
random,200,8,2
random,200,12,2
random,200,14,1
random,200,16,1
random,200,17,2
random,200,18,2
random,200,19,3
random,200,20,1
random,200,23,1
random,200,25,4
random,200,29,4
random,200,34,1
random,200,35,1
random,200,40,1
random,200,42,1
random,200,45,1
random,200,46,3
random,200,49,1
random,200,53,1
random,200,56,2
random,200,59,2
random,200,60,7
random,200,61,5
random,200,62,3
random,200,63,3
random,200,71,6
random,200,72,1
random,200,73,1
random,200,75,1
random,200,77,1
random,200,78,1
random,200,79,2
random,200,82,4
random,200,83,4
random,200,84,1
random,200,86,4
random,200,87,1
random,200,91,1
random,200,93,1
random,200,96,8
random,200,97,5
random,200,98,6
random,200,99,2
random,200,100,2
random,200,101,4
random,200,102,5
random,200,107,1
random,200,108,1
random,200,110,3
random,200,111,1
random,200,113,1
random,200,117,8
random,200,122,10
random,200,124,2
random,200,125,1
random,200,127,1
random,200,129,2
random,200,130,1
random,200,131,2
random,200,132,2
random,200,133,4
random,200,134,3
random,200,136,3
random,200,138,3
random,200,140,4
random,200,142,3
random,200,146,2
random,200,148,2
random,200,149,1
random,200,151,1
random,200,153,6
random,200,154,1
random,200,156,3
random,200,158,2
random,200,169,1
random,200,172,2
random,200,174,1
random,200,175,4
random,200,176,1
random,500,1,1
random,500,2,4
random,500,8,2
random,500,9,1
random,500,12,2
random,500,14,2
random,500,16,2
random,500,17,4
random,500,18,5
random,500,19,8
random,500,20,1
random,500,21,1
random,500,23,5
random,500,24,2
random,500,25,8
random,500,27,2
random,500,28,1
random,500,29,6
random,500,34,1
random,500,35,2
random,500,39,1
random,500,40,1
random,500,41,1
random,500,42,1
random,500,45,1
random,500,46,3
random,500,49,3
random,500,50,2
random,500,51,6
random,500,52,1
random,500,53,2
random,500,54,2
random,500,56,2
random,500,59,4
random,500,60,14
random,500,61,8
random,500,62,6
random,500,63,4
random,500,64,1
random,500,66,2
random,500,68,1
random,500,71,12
random,500,72,2
random,500,73,2
random,500,75,2
random,500,76,1
random,500,77,8
random,500,78,1
random,500,79,6
random,500,81,2
random,500,82,11
random,500,83,8
random,500,84,1
random,500,86,10
random,500,87,1
random,500,90,1
random,500,91,3
random,500,92,1
random,500,93,7
random,500,95,1
random,500,96,20
random,500,97,12
random,500,98,15
random,500,99,9
random,500,100,8
random,500,101,14
random,500,102,9
random,500,104,1
random,500,105,1
random,500,107,1
random,500,108,3
random,500,110,5
random,500,111,2
random,500,113,2
random,500,115,3
random,500,116,1
random,500,117,23
random,500,122,19
random,500,124,8
random,500,125,1
random,500,127,2
random,500,129,8
random,500,130,1
random,500,131,9
random,500,132,6
random,500,133,6
random,500,134,4
random,500,135,1
random,500,136,6
random,500,138,5
random,500,139,1
random,500,140,9
random,500,142,6
random,500,146,2
random,500,148,3
random,500,149,10
random,500,151,2
random,500,153,19
random,500,154,1
random,500,155,2
random,500,156,9
random,500,158,3
random,500,159,1
random,500,164,1
random,500,169,2
random,500,170,1
random,500,171,1
random,500,172,5
random,500,174,2
random,500,175,7
random,500,176,2
random,1000,0,2
random,1000,1,1
random,1000,2,4
random,1000,4,1
random,1000,5,2
random,1000,8,3
random,1000,9,1
random,1000,10,1
random,1000,11,1
random,1000,12,3
random,1000,13,1
random,1000,14,4
random,1000,16,2
random,1000,17,5
random,1000,18,16
random,1000,19,13
random,1000,20,1
random,1000,21,1
random,1000,22,1
random,1000,23,9
random,1000,24,3
random,1000,25,18
random,1000,27,3
random,1000,28,3
random,1000,29,15
random,1000,30,1
random,1000,34,2
random,1000,35,3
random,1000,36,1
random,1000,39,2
random,1000,40,1
random,1000,41,2
random,1000,42,1
random,1000,45,3
random,1000,46,9
random,1000,48,1
random,1000,49,16
random,1000,50,4
random,1000,51,9
random,1000,52,2
random,1000,53,6
random,1000,54,2
random,1000,55,4
random,1000,56,7
random,1000,58,1
random,1000,59,4
random,1000,60,27
random,1000,61,19
random,1000,62,9
random,1000,63,7
random,1000,64,1
random,1000,65,1
random,1000,66,3
random,1000,68,1
random,1000,71,26
random,1000,72,3
random,1000,73,9
random,1000,74,1
random,1000,75,3
random,1000,76,4
random,1000,77,12
random,1000,78,7
random,1000,79,9
random,1000,81,2
random,1000,82,18
random,1000,83,14
random,1000,84,1
random,1000,86,25
random,1000,87,1
random,1000,90,3
random,1000,91,3
random,1000,92,1
random,1000,93,14
random,1000,95,2
random,1000,96,33
random,1000,97,23
random,1000,98,26
random,1000,99,19
random,1000,100,11
random,1000,101,25
random,1000,102,22
random,1000,103,1
random,1000,104,1
random,1000,105,1
random,1000,106,1
random,1000,107,1
random,1000,108,3
random,1000,109,2
random,1000,110,9
random,1000,111,3
random,1000,113,2
