strategy,budget,class_id,support,recall,f1
random,200,56,12137,0.12301227650984592,0.21722682962316311
random,200,163,1741,0.06892590465249857,0.07551919446192575
random,200,174,1507,0.0,0.0
random,200,48,3361,0.0859863135971437,0.14655172413793102
random,200,38,193,0.04145077720207254,0.07142857142857142
random,200,69,1866,0.0005359056806002144,0.0009049773755656109
random,200,104,1744,0.013188073394495414,0.019206680584551147
random,200,47,618,0.006472491909385114,0.011095700416088766
random,200,66,1955,0.0025575447570332483,0.004228329809725159
random,200,10,1004,0.18725099601593626,0.267425320056899
random,200,109,393,0.0,0.0
random,200,26,807,0.01858736059479554,0.02028397565922921
random,500,56,12137,0.5356348356265963,0.680056488310058
random,500,163,1741,0.053417576105686385,0.07008289374529013
random,500,174,1507,0.0026542800265428003,0.004087889626980072
random,500,48,3361,0.30020827134781314,0.44225290379136534
random,500,38,193,0.04145077720207254,0.0730593607305936
random,500,69,1866,0.011254019292604502,0.014994644769725098
random,500,104,1744,0.008600917431192661,0.013921113689095127
random,500,47,618,0.006472491909385114,0.010723860589812333
random,500,66,1955,0.0020460358056265983,0.0034453057708871662
random,500,10,1004,0.1852589641434263,0.2701525054466231
random,500,109,393,0.0,0.0
random,500,26,807,0.057001239157372985,0.07049808429118774
random,1000,56,12137,0.848479854988877,0.880020509314647
random,1000,163,1741,0.048822515795519814,0.06835544833132289
random,1000,174,1507,0.0026542800265428003,0.0045045045045045045
random,1000,48,3361,0.7473966081523357,0.8264517190327356
random,1000,38,193,0.04145077720207254,0.07272727272727272
random,1000,69,1866,0.01232583065380493,0.01834862385321101
random,1000,104,1744,0.006307339449541285,0.009963768115942028
random,1000,47,618,0.14401294498381878,0.2109004739336493
random,1000,66,1955,0.0025575447570332483,0.004233700254022015
random,1000,10,1004,0.3107569721115538,0.3786407766990291
random,1000,109,393,0.0,0.0
random,1000,26,807,0.06691449814126393,0.05304518664047151
margin,200,56,12137,0.5163549476806459,0.6432970642578526
margin,200,163,1741,0.0511200459506031,0.06477438136826782
margin,200,174,1507,0.0019907100199071004,0.0025157232704402514
margin,200,48,3361,0.009520975900029753,0.018109790605546124
margin,200,38,193,0.05699481865284974,0.09777777777777778
margin,200,69,1866,0.01339764201500536,0.019334880123743233
margin,200,104,1744,0.5556192660550459,0.49113025848960973
margin,200,47,618,0.006472491909385114,0.010973936899862825
margin,200,66,1955,0.0025575447570332483,0.00437636761487965
margin,200,10,1004,0.12649402390438247,0.1810406272273699
margin,200,109,393,0.0,0.0
margin,200,26,807,0.01486988847583643,0.014760147601476014
margin,500,56,12137,0.5016890500123589,0.6472495349455222
margin,500,163,1741,0.09592188397472717,0.11915804495183732
margin,500,174,1507,0.16323822163238222,0.18358208955223881
margin,500,48,3361,0.006248140434394526,0.012209302325581395
margin,500,38,193,0.17616580310880828,0.21052631578947367
margin,500,69,1866,0.031082529474812434,0.04449558879938627
margin,500,104,1744,0.7041284403669725,0.6200454430699318
margin,500,47,618,0.006472491909385114,0.011494252873563218
margin,500,66,1955,0.0010230179028132991,0.0014776505356483192
margin,500,10,1004,0.1254980079681275,0.18680504077094143
margin,500,109,393,0.0,0.0
margin,500,26,807,0.008674101610904586,0.010093727469358327
margin,1000,56,12137,0.6862486611188926,0.7773577861776098
margin,1000,163,1741,0.15393452039058012,0.18132611637347767
margin,1000,174,1507,0.18513603185136032,0.23574144486692014
margin,1000,48,3361,0.44213031835763167,0.5767514069474092
margin,1000,38,193,0.6010362694300518,0.4461538461538462
margin,1000,69,1866,0.020364415862808145,0.03175929795236105
margin,1000,104,1744,0.7230504587155964,0.6629863301787592
margin,1000,47,618,0.0016181229773462784,0.0028653295128939827
margin,1000,66,1955,0.0010230179028132991,0.0016842105263157896
margin,1000,10,1004,0.10956175298804781,0.17585931254996004
margin,1000,109,393,0.0,0.0
margin,1000,26,807,0.040892193308550186,0.05124223602484472
absorber_random,200,56,12137,0.4998764109747054,0.6195557824865969
absorber_random,200,163,1741,0.1826536473291212,0.16636149620716714
absorber_random,200,174,1507,0.0006635700066357001,0.0009285051067780873
absorber_random,200,48,3361,0.10443320440345136,0.17226993865030674
absorber_random,200,38,193,0.05699481865284974,0.09777777777777778
absorber_random,200,69,1866,0.11039657020364416,0.13642384105960265
absorber_random,200,104,1744,0.31479357798165136,0.3023960341503718
absorber_random,200,47,618,0.35760517799352753,0.36081632653061224
absorber_random,200,66,1955,0.0025575447570332483,0.0040650406504065045
absorber_random,200,10,1004,0.6045816733067729,0.5977351058591827
absorber_random,200,109,393,0.0,0.0
absorber_random,200,26,807,0.0161090458488228,0.01908957415565345
absorber_random,500,56,12137,0.72019444673313,0.775426923929918
absorber_random,500,163,1741,0.24411257897759908,0.2382286995515695
absorber_random,500,174,1507,0.07232913072329131,0.08681800079649542
absorber_random,500,48,3361,0.7149657839928593,0.7654085045389393
absorber_random,500,38,193,0.05699481865284974,0.09865470852017937
absorber_random,500,69,1866,0.31136120042872456,0.3811085601836668
absorber_random,500,104,1744,0.43176605504587157,0.41833333333333333
absorber_random,500,47,618,0.5792880258899676,0.551617873651772
absorber_random,500,66,1955,0.004092071611253197,0.006887645286267757
absorber_random,500,10,1004,0.6284860557768924,0.6278606965174129
absorber_random,500,109,393,0.0,0.0
absorber_random,500,26,807,0.080545229244114,0.055531824006834686
absorber_random,1000,56,12137,0.7469720688802834,0.8175300960367916
absorber_random,1000,163,1741,0.3141872487076393,0.2887305357614146
absorber_random,1000,174,1507,0.08825481088254811,0.10861576153532054
absorber_random,1000,48,3361,0.8354656352276109,0.864
absorber_random,1000,38,193,0.05699481865284974,0.09691629955947137
absorber_random,1000,69,1866,0.37942122186495175,0.3319268635724332
absorber_random,1000,104,1744,0.5573394495412844,0.5479143179255919
absorber_random,1000,47,618,0.5792880258899676,0.5941908713692946
absorber_random,1000,66,1955,0.004603580562659846,0.007795582503248159
absorber_random,1000,10,1004,0.6563745019920318,0.6511857707509882
absorber_random,1000,109,393,0.0,0.0
absorber_random,1000,26,807,0.10037174721189591,0.08589607635206786
absorber_margin,200,56,12137,0.3418472439647359,0.4993681169886261
absorber_margin,200,163,1741,0.2504307869040781,0.22929266368656323
absorber_margin,200,174,1507,0.0,0.0
absorber_margin,200,48,3361,0.02856292770008926,0.051821862348178135
absorber_margin,200,38,193,0.538860103626943,0.325508607198748
absorber_margin,200,69,1866,0.0053590568060021436,0.00968054211035818
absorber_margin,200,104,1744,0.5487385321100917,0.4762378701169445
absorber_margin,200,47,618,0.006472491909385114,0.011444921316165951
absorber_margin,200,66,1955,0.0010230179028132991,0.0014652014652014652
absorber_margin,200,10,1004,0.16135458167330677,0.22562674094707522
absorber_margin,200,109,393,0.0,0.0
absorber_margin,200,26,807,0.07187112763320942,0.0729559748427673
absorber_margin,500,56,12137,0.6605421438576254,0.7363828419215578
absorber_margin,500,163,1741,0.334290637564618,0.30093071354705275
absorber_margin,500,174,1507,0.21897810218978103,0.20999045497931912
absorber_margin,500,48,3361,0.3805415055043142,0.5140675241157556
absorber_margin,500,38,193,0.5129533678756477,0.48292682926829267
absorber_margin,500,69,1866,0.001607717041800643,0.0029910269192422734
absorber_margin,500,104,1744,0.6267201834862385,0.5593654042988742
absorber_margin,500,47,618,0.1488673139158576,0.23028785982478098
absorber_margin,500,66,1955,0.04808184143222506,0.040360669815371404
absorber_margin,500,10,1004,0.46215139442231074,0.5471698113207547
absorber_margin,500,109,393,0.0,0.0
absorber_margin,500,26,807,0.0644361833952912,0.07167470709855273
absorber_margin,1000,56,12137,0.7328829199967043,0.7991913746630728
absorber_margin,1000,163,1741,0.4549109707064905,0.4460715291467192
absorber_margin,1000,174,1507,0.27405441274054415,0.2297635605006954
absorber_margin,1000,48,3361,0.9134186254091045,0.880539222716191
absorber_margin,1000,38,193,0.533678756476684,0.5175879396984925
absorber_margin,1000,69,1866,0.0,0.0
absorber_margin,1000,104,1744,0.6238532110091743,0.6071428571428571
absorber_margin,1000,47,618,0.6990291262135923,0.6371681415929203
absorber_margin,1000,66,1955,0.3549872122762148,0.27003891050583656
absorber_margin,1000,10,1004,0.6225099601593626,0.6624271330153683
absorber_margin,1000,109,393,0.0,0.0
absorber_margin,1000,26,807,0.05080545229244114,0.06456692913385827
absorber_margin_balanced,200,56,12137,0.3527230781906567,0.5089158345221113
absorber_margin_balanced,200,163,1741,0.2739804709936818,0.21390134529147983
absorber_margin_balanced,200,174,1507,0.0,0.0
absorber_margin_balanced,200,48,3361,0.4254686105325796,0.49217002237136465
absorber_margin_balanced,200,38,193,0.7409326424870466,0.32389580973952437
absorber_margin_balanced,200,69,1866,0.0,0.0
absorber_margin_balanced,200,104,1744,0.5407110091743119,0.4929430214323053
absorber_margin_balanced,200,47,618,0.3106796116504854,0.34657039711191334
absorber_margin_balanced,200,66,1955,0.0025575447570332483,0.004182350480970306
absorber_margin_balanced,200,10,1004,0.11055776892430279,0.16933638443935928
absorber_margin_balanced,200,109,393,0.0,0.0
absorber_margin_balanced,200,26,807,0.06567534076827757,0.06343506882106523
absorber_margin_balanced,500,56,12137,0.5691686578231853,0.6921496918992035
absorber_margin_balanced,500,163,1741,0.5163699023549684,0.4334619093539055
absorber_margin_balanced,500,174,1507,0.22959522229595222,0.18374933616569306
absorber_margin_balanced,500,48,3361,0.4918179113359119,0.550816394535155
absorber_margin_balanced,500,38,193,0.6735751295336787,0.5316973415132924
absorber_margin_balanced,500,69,1866,0.00964630225080386,0.01646090534979424
absorber_margin_balanced,500,104,1744,0.5779816513761468,0.5853658536585366
absorber_margin_balanced,500,47,618,0.7524271844660194,0.5135284373274434
absorber_margin_balanced,500,66,1955,0.0010230179028132991,0.0015558148580318942
absorber_margin_balanced,500,10,1004,0.3296812749003984,0.4282018111254851
absorber_margin_balanced,500,109,393,0.0,0.0
absorber_margin_balanced,500,26,807,0.0644361833952912,0.07686622320768663
absorber_margin_balanced,1000,56,12137,0.6696053390458927,0.7762177650429799
absorber_margin_balanced,1000,163,1741,0.5404939689833429,0.48946684005201563
absorber_margin_balanced,1000,174,1507,0.29329794293297945,0.22453644907289816
absorber_margin_balanced,1000,48,3361,0.85599523951205,0.8403680443990069
absorber_margin_balanced,1000,38,193,0.7927461139896373,0.5850860420650096
absorber_margin_balanced,1000,69,1866,0.006430868167202572,0.010638297872340425
absorber_margin_balanced,1000,104,1744,0.5774082568807339,0.6179809757594354
absorber_margin_balanced,1000,47,618,0.7815533980582524,0.5777511961722488
absorber_margin_balanced,1000,66,1955,0.008695652173913044,0.010739102969046115
absorber_margin_balanced,1000,10,1004,0.5886454183266933,0.640650406504065
absorber_margin_balanced,1000,109,393,0.0,0.0
absorber_margin_balanced,1000,26,807,0.09293680297397769,0.11432926829268293
