strategy,budget,class_id,support,recall,f1
margin,200,56,12137,0.5039136524676608,0.6284422523633374
margin,200,163,1741,0.0591614014933946,0.07276580713528788
margin,200,174,1507,0.0026542800265428003,0.003334722801167153
margin,200,48,3361,0.005355548943766736,0.01021856372409878
margin,200,38,193,0.06217616580310881,0.10526315789473684
margin,200,69,1866,0.01232583065380493,0.01794071762870515
margin,200,104,1744,0.5951834862385321,0.48618266978922714
margin,200,47,618,0.006472491909385114,0.01098901098901099
margin,200,66,1955,0.0025575447570332483,0.004332755632582322
margin,200,10,1004,0.1254980079681275,0.18012866333095068
margin,200,109,393,0.0,0.0
margin,200,26,807,0.01486988847583643,0.014696876913655848
margin,500,56,12137,0.5466754552195765,0.6780440447601043
margin,500,163,1741,0.09304997128087306,0.11960132890365449
margin,500,174,1507,0.1453218314532183,0.16186252771618626
margin,500,48,3361,0.006545670931270455,0.012798138452588714
margin,500,38,193,0.17098445595854922,0.20952380952380953
margin,500,69,1866,0.03536977491961415,0.051182628925940284
margin,500,104,1744,0.7138761467889908,0.6158792975513233
margin,500,47,618,0.006472491909385114,0.011049723756906077
margin,500,66,1955,0.0010230179028132991,0.0014754703061600886
margin,500,10,1004,0.1254980079681275,0.18777943368107303
margin,500,109,393,0.0,0.0
margin,500,26,807,0.008674101610904586,0.01012292118582791
margin,1000,56,12137,0.6827881684106452,0.7751379665138902
margin,1000,163,1741,0.1723147616312464,0.1932367149758454
margin,1000,174,1507,0.18579960185799602,0.23850085178875638
margin,1000,48,3361,0.44094019637012793,0.5772151898734177
margin,1000,38,193,0.5751295336787565,0.4493927125506073
margin,1000,69,1866,0.018756698821007504,0.030329289428076257
margin,1000,104,1744,0.7064220183486238,0.675809105869446
margin,1000,47,618,0.0016181229773462784,0.0029985007496251873
margin,1000,66,1955,0.0010230179028132991,0.0016906170752324597
margin,1000,10,1004,0.11553784860557768,0.18310970797158643
margin,1000,109,393,0.0,0.0
margin,1000,26,807,0.04337050805452292,0.05529225908372828
absorber_margin,200,56,12137,0.35313504160830517,0.5108766911019728
absorber_margin,200,163,1741,0.2751292360712234,0.23759920634920634
absorber_margin,200,174,1507,0.0,0.0
absorber_margin,200,48,3361,0.25944659327581077,0.36454849498327757
absorber_margin,200,38,193,0.48704663212435234,0.29652996845425866
absorber_margin,200,69,1866,0.0010718113612004287,0.0019398642095053346
absorber_margin,200,104,1744,0.5470183486238532,0.47664251811141645
absorber_margin,200,47,618,0.0048543689320388345,0.008771929824561403
absorber_margin,200,66,1955,0.0010230179028132991,0.0014689680499449136
absorber_margin,200,10,1004,0.13545816733067728,0.19753086419753085
absorber_margin,200,109,393,0.0,0.0
absorber_margin,200,26,807,0.06319702602230483,0.06666666666666667
absorber_margin,500,56,12137,0.6873197660047787,0.7544883100438656
absorber_margin,500,163,1741,0.38253877082136706,0.32432432432432434
absorber_margin,500,174,1507,0.22030524220305242,0.2038060159607121
absorber_margin,500,48,3361,0.38202915798869386,0.5128819652486519
absorber_margin,500,38,193,0.5077720207253886,0.47115384615384615
absorber_margin,500,69,1866,0.0,0.0
absorber_margin,500,104,1744,0.6336009174311926,0.547843331680714
absorber_margin,500,47,618,0.15210355987055016,0.23354037267080746
absorber_margin,500,66,1955,0.04808184143222506,0.040085287846481875
absorber_margin,500,10,1004,0.47310756972111556,0.5529685681024447
absorber_margin,500,109,393,0.0,0.0
absorber_margin,500,26,807,0.06691449814126393,0.07366984993178717
absorber_margin,1000,56,12137,0.7415341517673231,0.8019603475161506
absorber_margin,1000,163,1741,0.446869615163699,0.4452074391988555
absorber_margin,1000,174,1507,0.2899800928998009,0.21474201474201474
absorber_margin,1000,48,3361,0.9050877714965784,0.8914285714285715
absorber_margin,1000,38,193,0.5233160621761658,0.5
absorber_margin,1000,69,1866,0.0,0.0
absorber_margin,1000,104,1744,0.5980504587155964,0.6151577705691537
absorber_margin,1000,47,618,0.686084142394822,0.6262924667651403
absorber_margin,1000,66,1955,0.3636828644501279,0.2737774355025029
absorber_margin,1000,10,1004,0.5876494023904383,0.6504961411245865
absorber_margin,1000,109,393,0.0,0.0
absorber_margin,1000,26,807,0.05204460966542751,0.06521739130434782
absorber_margin_balanced,200,56,12137,0.3467908049765181,0.505524861878453
absorber_margin_balanced,200,163,1741,0.28087306145893165,0.22797202797202798
absorber_margin_balanced,200,174,1507,0.0006635700066357001,0.0009910802775024777
absorber_margin_balanced,200,48,3361,0.3933353168699792,0.4818662292691817
absorber_margin_balanced,200,38,193,0.7253886010362695,0.30335861321776814
absorber_margin_balanced,200,69,1866,0.0005359056806002144,0.0009935419771485345
absorber_margin_balanced,200,104,1744,0.5051605504587156,0.4662609155861339
absorber_margin_balanced,200,47,618,0.30906148867313915,0.335676625659051
absorber_margin_balanced,200,66,1955,0.0025575447570332483,0.004205214465937763
absorber_margin_balanced,200,10,1004,0.11752988047808766,0.17974105102817975
absorber_margin_balanced,200,109,393,0.0,0.0
absorber_margin_balanced,200,26,807,0.0644361833952912,0.06368646662584201
absorber_margin_balanced,500,56,12137,0.4971574524182253,0.6374729280016903
absorber_margin_balanced,500,163,1741,0.5157955198161975,0.43740867023867513
absorber_margin_balanced,500,174,1507,0.23755806237558064,0.18112825701998483
