method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support,collapsed_count,severe_collapsed_count,head_train_samples,selected_mean_proto_distance
static,,0,all,5,2,0.5,2.0,890,0,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,
active_head_ft,margin,200,all,5,2,0.5,2.0,890,10,36,0.7795385379250304,0.6460726422612729,0.2730366683744419,0.12785793318356337,27326,0.937789584662764,0.8919571171801592,144172,9,5,1290,0.19158145785331726
active_head_ft,margin,500,all,5,2,0.5,2.0,890,20,82,0.7929096173073595,0.663796652451803,0.31182756349264434,0.17160994373029784,27326,0.943914213578226,0.9011250548200544,144172,7,5,1890,0.18453998863697052
active_head_ft,margin,1000,all,5,2,0.5,2.0,890,39,155,0.8086884431946397,0.6868826143681939,0.43478738198053135,0.265226076323351,27326,0.9401409427628111,0.8952698271845618,144172,5,3,2890,0.18442761898040771
active_head_ft,absorber_margin,200,all,5,2,0.5,2.0,890,13,200,0.764858539224881,0.6463584755541621,0.25173827124350434,0.18021459766236178,27326,0.9424298754265739,0.8953193195669552,144172,6,5,1290,0.20104551315307617
active_head_ft,absorber_margin,500,all,5,2,0.5,2.0,890,37,500,0.7751454963577733,0.6664377577804339,0.4590499890214448,0.3095634893303029,27326,0.9432830230557945,0.8973268356815238,144172,4,2,1890,0.1994195431470871
active_head_ft,absorber_margin,1000,all,5,2,0.5,2.0,890,76,1000,0.7874910540805862,0.6825709783482428,0.5916709361048086,0.42368996484594357,27326,0.9414657492439586,0.8940813211115787,144172,3,2,2890,0.19974380731582642
active_head_ft,absorber_margin_balanced,200,all,5,2,0.5,2.0,890,22,200,0.7604125967614072,0.6455554087225167,0.27113371880260556,0.21418971899643555,27326,0.9418194933829037,0.8955044714913145,144172,5,4,1290,0.18888713419437408
active_head_ft,absorber_margin_balanced,500,all,5,2,0.5,2.0,890,61,500,0.7746648539292896,0.6687786591283894,0.4036082851496743,0.32833261493715243,27326,0.9401686874011598,0.8911723156991463,144172,4,3,1890,0.18830853700637817
active_head_ft,absorber_margin_balanced,1000,all,5,2,0.5,2.0,890,108,1000,0.7752792600524928,0.6798102383769276,0.541645319475957,0.4030187137122457,27326,0.9437616180673085,0.892070403907476,144172,4,3,2890,0.1879744678735733
