strategy,budget,class_id,support,recall,f1
random,50,56,12137,0.00032957073411881023,0.0006584362139917696
random,50,163,1741,0.0005743825387708214,0.0011448196908986834
random,50,174,1507,0.0,0.0
random,50,48,3361,0.0,0.0
random,50,38,193,0.05699481865284974,0.09606986899563319
random,50,69,1866,0.0,0.0
random,50,104,1744,0.0034403669724770644,0.006535947712418301
random,50,47,618,0.0,0.0
random,50,66,1955,0.0,0.0
random,50,10,1004,0.035856573705179286,0.06824644549763033
random,50,109,393,0.0,0.0
random,50,26,807,0.0037174721189591076,0.005623242736644799
random,100,56,12137,0.00032957073411881023,0.0006584904107333937
random,100,163,1741,0.0,0.0
random,100,174,1507,0.0,0.0
random,100,48,3361,0.07110978875334721,0.0918877354863514
random,100,38,193,0.05181347150259067,0.08968609865470852
random,100,69,1866,0.0,0.0
random,100,104,1744,0.0040137614678899085,0.007387862796833773
random,100,47,618,0.0,0.0
random,100,66,1955,0.0,0.0
random,100,10,1004,0.008964143426294821,0.01761252446183953
random,100,109,393,0.0,0.0
random,100,26,807,0.0037174721189591076,0.005905511811023622
random,200,56,12137,0.00032957073411881023,0.000658598830987075
random,200,163,1741,0.0005743825387708214,0.0011467889908256881
random,200,174,1507,0.0,0.0
random,200,48,3361,0.06664683130020826,0.09991079393398751
random,200,38,193,0.02072538860103627,0.03980099502487562
random,200,69,1866,0.0,0.0
random,200,104,1744,0.0005733944954128441,0.0011235955056179776
random,200,47,618,0.0,0.0
random,200,66,1955,0.0,0.0
random,200,10,1004,0.00796812749003984,0.015717092337917484
random,200,109,393,0.0,0.0
random,200,26,807,0.0012391573729863693,0.002185792349726776
random,500,56,12137,0.7328829199967043,0.6612645429877709
random,500,163,1741,0.0005743825387708214,0.0011448196908986834
random,500,174,1507,0.003981420039814201,0.005139186295503212
random,500,48,3361,0.39125260339184764,0.45212308750214886
random,500,38,193,0.025906735751295335,0.04975124378109453
random,500,69,1866,0.16345123258306538,0.17082049845981517
random,500,104,1744,0.0005733944954128441,0.0011370096645821489
random,500,47,618,0.0,0.0
random,500,66,1955,0.0,0.0
random,500,10,1004,0.0,0.0
random,500,109,393,0.0,0.0
random,500,26,807,0.058240396530359353,0.06275033377837116
random,1000,56,12137,0.9455384361868666,0.7459213519662008
random,1000,163,1741,0.0,0.0
random,1000,174,1507,0.0046449900464499,0.00708502024291498
random,1000,48,3361,0.766736090449271,0.6755800235941801
random,1000,38,193,0.015544041450777202,0.03015075376884422
random,1000,69,1866,0.06109324758842444,0.084070796460177
random,1000,104,1744,0.0,0.0
random,1000,47,618,0.215210355987055,0.26362735381565905
random,1000,66,1955,0.0,0.0
random,1000,10,1004,0.39741035856573703,0.45914844649021863
random,1000,109,393,0.0,0.0
random,1000,26,807,0.1449814126394052,0.05473684210526316
margin,50,56,12137,0.00032957073411881023,0.0006581653640477169
margin,50,163,1741,0.0034462952326249283,0.00686106346483705
margin,50,174,1507,0.0,0.0
margin,50,48,3361,0.0,0.0
margin,50,38,193,0.046632124352331605,0.08530805687203792
margin,50,69,1866,0.0,0.0
margin,50,104,1744,0.0011467889908256881,0.0021598272138228943
margin,50,47,618,0.0,0.0
margin,50,66,1955,0.0,0.0
margin,50,10,1004,0.043824701195219126,0.08270676691729323
margin,50,109,393,0.0,0.0
margin,50,26,807,0.0024783147459727386,0.004405286343612335
margin,100,56,12137,0.282277333772761,0.38967242948134667
margin,100,163,1741,0.0034462952326249283,0.006864988558352402
margin,100,174,1507,0.0006635700066357001,0.0009208103130755065
margin,100,48,3361,0.0,0.0
margin,100,38,193,0.04145077720207254,0.0761904761904762
margin,100,69,1866,0.0,0.0
margin,100,104,1744,0.6261467889908257,0.3461172741679873
margin,100,47,618,0.0,0.0
margin,100,66,1955,0.0,0.0
margin,100,10,1004,0.027888446215139442,0.05384615384615385
margin,100,109,393,0.0,0.0
margin,100,26,807,0.0037174721189591076,0.006243496357960458
margin,200,56,12137,0.72851610776963,0.6119242880376483
margin,200,163,1741,0.006318207926479035,0.012542759407069556
margin,200,174,1507,0.0072992700729927005,0.0033893082729933755
margin,200,48,3361,0.05504314192204701,0.0834272829763247
margin,200,38,193,0.046632124352331605,0.08571428571428572
margin,200,69,1866,0.13558413719185422,0.055998229305002215
margin,200,104,1744,0.779243119266055,0.502960769800148
margin,200,47,618,0.0,0.0
margin,200,66,1955,0.0,0.0
margin,200,10,1004,0.0,0.0
margin,200,109,393,0.0,0.0
margin,200,26,807,0.0037174721189591076,0.006528835690968444
margin,500,56,12137,0.7259619345802093,0.6923620933521923
margin,500,163,1741,0.12234348075818495,0.12266052404261446
margin,500,174,1507,0.15262110152621103,0.04537384099427895
margin,500,48,3361,0.060398690865813745,0.10096990798308879
margin,500,38,193,0.6217616580310881,0.23904382470119523
margin,500,69,1866,0.48767416934619506,0.2751322751322751
margin,500,104,1744,0.7155963302752294,0.566500226963232
margin,500,47,618,0.0,0.0
margin,500,66,1955,0.001534526854219949,0.002471169686985173
margin,500,10,1004,0.0,0.0
margin,500,109,393,0.0,0.0
margin,500,26,807,0.0,0.0
margin,1000,56,12137,0.7833896350004119,0.6844965983945862
margin,1000,163,1741,0.23032739804709937,0.21005762179151388
margin,1000,174,1507,0.13470471134704712,0.08023715415019762
margin,1000,48,3361,0.517108003570366,0.5433797092387056
margin,1000,38,193,0.8808290155440415,0.26356589147286824
margin,1000,69,1866,0.5868167202572347,0.33262454434993927
margin,1000,104,1744,0.7161697247706422,0.6249687265449086
margin,1000,47,618,0.0,0.0
