strategy,budget,class_id,selected_count
random,200,2,1
random,200,14,2
random,200,17,4
random,200,18,2
random,200,25,7
random,200,27,4
random,200,28,1
random,200,29,3
random,200,30,1
random,200,31,2
random,200,37,1
random,200,40,1
random,200,42,1
random,200,45,1
random,200,49,2
random,200,51,1
random,200,52,1
random,200,53,1
random,200,54,3
random,200,55,1
random,200,56,1
random,200,60,1
random,200,61,1
random,200,62,1
random,200,63,2
random,200,66,2
random,200,71,14
random,200,72,2
random,200,73,1
random,200,75,1
random,200,77,3
random,200,78,7
random,200,81,1
random,200,82,9
random,200,83,3
random,200,86,5
random,200,87,3
random,200,90,2
random,200,93,2
random,200,95,6
random,200,96,3
random,200,97,2
random,200,98,2
random,200,99,1
random,200,100,2
random,200,101,6
random,200,102,7
random,200,106,1
random,200,110,2
random,200,115,1
random,200,117,4
random,200,119,1
random,200,122,7
random,200,124,2
random,200,128,1
random,200,129,3
random,200,130,1
random,200,131,4
random,200,132,2
random,200,133,7
random,200,136,1
random,200,138,8
random,200,140,5
random,200,142,1
random,200,149,5
random,200,151,1
random,200,153,5
random,200,154,1
random,200,156,1
random,200,165,1
random,200,170,1
random,200,171,1
random,200,175,3
random,500,2,3
random,500,14,2
random,500,17,4
random,500,18,4
random,500,23,2
random,500,24,1
random,500,25,17
random,500,27,8
random,500,28,2
random,500,29,9
random,500,30,2
random,500,31,3
random,500,36,1
random,500,37,1
random,500,39,5
random,500,40,1
random,500,42,1
random,500,43,1
random,500,45,1
random,500,46,1
random,500,48,3
random,500,49,5
random,500,51,4
random,500,52,1
random,500,53,1
random,500,54,4
random,500,55,3
random,500,56,2
random,500,59,4
random,500,60,5
random,500,61,3
random,500,62,4
random,500,63,5
random,500,65,1
random,500,66,2
random,500,67,1
random,500,68,1
random,500,71,33
random,500,72,3
random,500,73,1
random,500,74,1
random,500,75,3
random,500,77,10
random,500,78,14
random,500,79,1
random,500,81,1
random,500,82,16
random,500,83,10
random,500,85,1
random,500,86,8
random,500,87,5
random,500,90,3
random,500,93,6
random,500,95,15
random,500,96,9
random,500,97,7
random,500,98,11
random,500,99,3
random,500,100,5
random,500,101,9
random,500,102,11
random,500,104,1
random,500,106,1
random,500,110,2
random,500,111,1
random,500,115,5
random,500,116,2
random,500,117,16
random,500,119,4
random,500,122,17
random,500,124,6
random,500,128,1
random,500,129,9
random,500,130,1
random,500,131,9
random,500,132,5
random,500,133,13
random,500,134,2
random,500,136,6
random,500,138,18
random,500,140,9
random,500,142,8
random,500,143,1
random,500,145,1
random,500,149,7
random,500,151,2
random,500,153,15
random,500,154,1
random,500,156,10
random,500,158,1
random,500,159,1
random,500,165,3
random,500,170,1
random,500,171,2
random,500,172,3
random,500,175,10
random,500,177,2
random,1000,0,3
random,1000,1,3
random,1000,2,4
random,1000,4,1
random,1000,10,1
random,1000,12,1
random,1000,14,3
random,1000,15,1
random,1000,16,1
random,1000,17,7
random,1000,18,13
random,1000,19,1
random,1000,23,5
random,1000,24,3
random,1000,25,29
random,1000,27,12
random,1000,28,9
random,1000,29,16
random,1000,30,3
random,1000,31,6
random,1000,34,1
random,1000,35,1
random,1000,36,1
random,1000,37,1
random,1000,39,6
random,1000,40,2
random,1000,41,1
random,1000,42,1
random,1000,43,2
random,1000,45,2
random,1000,46,1
random,1000,48,4
random,1000,49,11
random,1000,50,1
random,1000,51,7
random,1000,52,1
random,1000,53,1
random,1000,54,5
random,1000,55,5
random,1000,56,7
random,1000,59,8
random,1000,60,13
random,1000,61,4
random,1000,62,5
random,1000,63,7
random,1000,65,1
random,1000,66,3
random,1000,67,1
random,1000,68,1
random,1000,71,57
random,1000,72,5
random,1000,73,6
random,1000,74,3
random,1000,75,7
random,1000,76,2
random,1000,77,24
random,1000,78,24
random,1000,79,2
random,1000,80,2
random,1000,81,2
random,1000,82,28
random,1000,83,15
random,1000,84,1
random,1000,85,2
random,1000,86,18
random,1000,87,7
random,1000,90,3
random,1000,91,1
random,1000,93,18
random,1000,95,35
random,1000,96,25
random,1000,97,18
random,1000,98,34
random,1000,99,5
random,1000,100,9
random,1000,101,23
random,1000,102,25
random,1000,103,1
random,1000,104,1
random,1000,106,2
random,1000,107,1
random,1000,108,2
random,1000,109,1
random,1000,110,3
random,1000,111,1
random,1000,113,1
random,1000,114,1
random,1000,115,8
