method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support,collapsed_count,severe_collapsed_count,head_train_samples,selected_mean_proto_distance,period,input_dir,delta_macro_f1_vs_static,delta_collapse_f1_vs_static,delta_stable_f1_vs_static
static,,0,all,5,2,0.5,2.0,890,0,0,0.831152399116993,0.7401953796542524,0.2736330905132714,0.5034284741114535,23886,0.9531574773000766,0.8321626795809953,146256,4,2,,,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.0,0.0,0.0
active_head_ft,random,200,all,5,2,0.5,2.0,890,3,22,0.8482690356486576,0.7443674855719629,0.4687264506405426,0.559459545856621,23886,0.9534378076796849,0.835624881918581,146256,3,1,1290,0.1619994044303894,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.004172105917710445,0.05603107174516753,0.0034622023375856514
active_head_ft,random,500,all,5,2,0.5,2.0,890,8,59,0.8601671118783735,0.7616923090093919,0.6325881269362806,0.6321045156919274,23886,0.9530754293840936,0.840206303053143,146256,2,1,1890,0.16128243505954742,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.02149692935513947,0.12867604158047385,0.00804362347214771
active_head_ft,random,1000,all,5,2,0.5,2.0,890,18,116,0.8663460159472018,0.775560800594584,0.6544000669848447,0.642302330289862,23886,0.9542719614921781,0.8528958568101833,146256,2,0,2890,0.1562509685754776,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.03536542094033157,0.13887385617840842,0.020733177229187993
active_head_ft,margin,200,all,5,2,0.5,2.0,890,6,29,0.8536739013010547,0.7530162068910102,0.5015490245331994,0.5715246344068207,23886,0.9520088064763155,0.8423366294754556,146256,3,0,1290,0.18373042345046997,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.012820827236757815,0.06809616029536714,0.010173949894460299
active_head_ft,margin,500,all,5,2,0.5,2.0,890,19,67,0.860923726053396,0.7708440035515263,0.5957883278908147,0.6098116772427755,23886,0.9510652554425117,0.8465966655813102,146256,1,0,1890,0.18432287871837616,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.030648623897273852,0.10638320313132199,0.014433986000314869
active_head_ft,margin,1000,all,5,2,0.5,2.0,890,38,119,0.8636620126071088,0.7768977573728509,0.6584191576655781,0.6635368905642769,23886,0.9473457499179521,0.8488211157996854,146256,1,0,2890,0.18704353272914886,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.03670237771859852,0.16010841645282337,0.01665843621869012
active_head_ft,absorber_random,200,all,5,2,0.5,2.0,890,7,200,0.8331106157860947,0.7453112440891042,0.489366155907226,0.5804131304627544,23886,0.9546548517667651,0.8414970910284995,146256,2,1,1290,0.17664834856987,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.005115864434851791,0.07698465635130092,0.009334411447504132
active_head_ft,absorber_random,500,all,5,2,0.5,2.0,890,15,500,0.8330013791957238,0.7505552537305369,0.49284099472494347,0.596601527061179,23886,0.9554616562739306,0.8433418879875723,146256,2,0,1890,0.1776563674211502,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.01035987407628447,0.09317305294972544,0.011179208406576935
active_head_ft,absorber_random,1000,all,5,2,0.5,2.0,890,36,1000,0.8366470666289588,0.7542325519604516,0.5484802813363476,0.606569063431963,23886,0.9572735477518871,0.8421834461811393,146256,2,0,2890,0.17607122659683228,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.014037172306199164,0.10314058932050951,0.010020766600143949
active_head_ft,absorber_margin,200,all,5,2,0.5,2.0,890,8,200,0.8306430751373499,0.7449031481853562,0.5132713723520054,0.5993221846623582,23886,0.9542924734711739,0.8359821445378495,146256,1,1,1290,0.19418220221996307,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.004707768531103773,0.09589371055090468,0.003819464956854146
active_head_ft,absorber_margin,500,all,5,2,0.5,2.0,890,25,500,0.8367348579991342,0.7577009076464892,0.5726366909486729,0.6335420897931119,23886,0.9574786675418444,0.8366443723213715,146256,0,0,1890,0.19627997279167175,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.017505527992236813,0.13011361568165836,0.004481692740376131
