class_id,absorber_class,pair_source,first_collapse_period,collapse_pattern,num_periods,min_cosine_distance,mean_cosine_distance,min_absorber_rank,mean_absorber_rank,absorber_nearest_any_period,final_recall,final_f1
7,5,final,M-2022-11,gradual,5,0.03181028366088867,0.355403459072113,1.0,128.0,1,0.21212121212121213,0.125
10,156,final,M-2022-11,gradual,5,0.09066122770309448,0.17918457984924316,5.0,28.4,0,0.09760956175298804,0.16184971098265896
26,13,final,M-2022-12,abrupt,5,0.1303936243057251,0.24106382131576537,5.0,29.6,0,0.022304832713754646,0.024539877300613498
38,45,final,M-2022-8,abrupt,5,0.13120955228805542,0.26794272661209106,11.0,66.4,0,0.05181347150259067,0.08968609865470852
47,5,final,M-2022-11,gradual,5,0.0932685136795044,0.24628856182098388,2.0,42.8,0,0.0,0.0
48,14,final,M-2022-7,abrupt,5,0.19349157810211182,0.2172494649887085,14.0,45.0,0,0.0008925914906277894,0.0017709563164108619
50,124,final,M-2022-7,abrupt,5,0.17794322967529297,0.2977165937423706,41.0,93.2,0,0.13023560209424084,0.186155285313377
56,96,final,M-2022-5,abrupt,5,0.30557674169540405,0.39173409938812254,39.0,84.2,0,0.00041196341764851283,0.0007871536523929471
66,71,final,M-2022-11,abrupt,5,0.24793249368667603,0.3500764012336731,60.0,124.2,0,0.0010230179028132991,0.001658374792703151
69,105,final,M-2022-9,abrupt,5,0.08072090148925781,0.34254586696624756,1.0,100.2,1,0.00482315112540193,0.008430913348946136
104,2,final,M-2022-9,gradual,5,0.17964768409729004,0.25855509042739866,34.0,54.0,0,0.00974770642201835,0.016456921587608905
109,71,final,M-2022-12,abrupt,5,0.35073620080947876,0.414275324344635,95.0,131.6,0,0.0,0.0
121,14,final,M-2022-9,gradual,5,0.1266704797744751,0.20181875228881835,12.0,27.2,0,0.0,0.0
163,46,final,M-2022-5,gradual,5,0.16180884838104248,0.26065845489501954,6.0,56.0,0,0.015508328546812177,0.025738798856053385
174,2,final,M-2022-7,abrupt,4,0.19670772552490234,0.23595356941223145,14.0,38.5,0,0.0,0.0
