prototype_period,split,class_id,absorber_class,pair_source,first_collapse_period,collapse_pattern,reference_recall,final_recall,final_f1,final_top_confusion_rate,first_collapse_top_confusion_rate,valid_pair,class_support,absorber_support,raw_l2_distance,cosine_similarity,cosine_distance,normalized_l2_distance,absorber_neighbor_rank,num_valid_neighbors,absorber_rank_percentile,nearest_class,nearest_cosine_distance,absorber_is_nearest,distance_z_vs_class_neighbors
M-2022-1,train,56,96,final,M-2022-5,abrupt,0.9524469982167625,0.00041196341764851283,0.0007871536523929471,0.25236878965147896,0.36252736940882074,1,1454,10701,10.512368202209473,0.5526154041290283,0.4473845958709717,0.9459223747253418,131,176,0.7443181818181818,164,0.2207028865814209,0,0.6863964089690384
M-2022-1,train,163,46,final,M-2022-5,gradual,0.3659695817490494,0.015508328546812177,0.025738798856053385,0.41815048822515793,0.3468067906224737,1,1242,1841,7.522669792175293,0.7580316066741943,0.24196839332580566,0.6956555843353271,59,176,0.3352272727272727,116,0.0746912956237793,0,-0.5230155990905715
M-2022-1,train,174,2,final,M-2022-7,abrupt,0.9500706547338672,0.0,0.0,0.291970802919708,0.21649484536082475,1,12198,3933,6.15015983581543,0.7966176271438599,0.20338237285614014,0.637781023979187,42,176,0.23863636363636365,78,0.06091362237930298,0,-0.7824004300377385
M-2022-1,train,48,14,final,M-2022-7,abrupt,0.9944011197760448,0.0008925914906277894,0.0017709563164108619,0.389764950907468,0.4735437972432192,1,8538,315,7.295655727386475,0.7721612453460693,0.22783875465393066,0.6750389337539673,48,176,0.2727272727272727,18,0.10898900032043457,0,-0.7860277073924202
M-2022-1,train,50,124,final,M-2022-7,abrupt,0.5846898372195336,0.13023560209424084,0.186155285313377,0.11780104712041885,0.28582554517133957,1,14535,1798,8.426680564880371,0.6900509595870972,0.30994904041290283,0.7873362302780151,106,176,0.6022727272727273,110,0.07651937007904053,0,0.19699783872008253
M-2022-1,train,38,45,final,M-2022-8,abrupt,0.6753246753246753,0.05181347150259067,0.08968609865470852,0.46113989637305697,0.8602261048304214,1,3721,3992,4.895035743713379,0.8687904477119446,0.13120955228805542,0.5122684240341187,11,176,0.0625,85,0.09860038757324219,0,-1.4687071137548184
M-2022-1,train,121,14,final,M-2022-9,gradual,0.9476995674400315,0.0,0.0,0.4375,0.7515151515151515,1,23696,315,6.220534324645996,0.8183304071426392,0.18166959285736084,0.6027764081954956,34,176,0.19318181818181818,116,0.06527650356292725,0,-0.8994372840919795
M-2022-1,train,69,105,final,M-2022-9,abrupt,0.8020477815699659,0.00482315112540193,0.008430913348946136,0.3767416934619507,0.32507739938080493,1,510,2080,10.82291030883789,0.524118185043335,0.47588181495666504,0.9755837321281433,159,176,0.9034090909090909,81,0.0762518048286438,0,1.303398789757364
M-2022-1,train,104,2,final,M-2022-9,gradual,0.6286054118346714,0.00974770642201835,0.016456921587608905,0.2121559633027523,0.2101628021706956,1,2169,3933,5.695374011993408,0.8101434707641602,0.18985652923583984,0.6162086725234985,55,176,0.3125,159,0.02983391284942627,0,-0.6540738426411665
M-2022-1,train,47,5,final,M-2022-11,gradual,0.9700442823651992,0.0,0.0,0.45145631067961167,0.3493975903614458,1,2918,1594,7.77651834487915,0.7839270234107971,0.21607297658920288,0.6573781967163086,21,176,0.11931818181818182,93,0.10813313722610474,0,-1.310874372474206
M-2022-1,train,66,71,final,M-2022-11,abrupt,0.9201786754709652,0.0010230179028132991,0.001658374792703151,0.13861892583120206,0.35346142116498935,1,1410,3382,6.975959300994873,0.752067506313324,0.24793249368667603,0.7041769027709961,60,176,0.3409090909090909,158,0.08764761686325073,0,-0.4637162355100525
M-2022-1,train,10,156,final,M-2022-11,gradual,0.8128712871287128,0.09760956175298804,0.16184971098265896,0.3645418326693227,0.34739941118743867,1,734,1156,4.277029037475586,0.9093387722969055,0.09066122770309448,0.4258197844028473,5,176,0.028409090909090908,132,0.05597853660583496,0,-1.525665724750843
M-2022-1,train,7,5,final,M-2022-11,gradual,0.6666666666666666,0.21212121212121213,0.125,0.48484848484848486,0.7884615384615384,1,1122,1594,9.832290649414062,0.5905207991600037,0.40947920083999634,0.9049631357192993,162,176,0.9204545454545454,150,0.09714615345001221,0,1.3601087982987867
M-2022-1,train,109,71,final,M-2022-12,abrupt,0.9480449919657205,0.0,0.0,0.24936386768447838,0.24936386768447838,1,3845,3382,8.599250793457031,0.6298016309738159,0.3701983690261841,0.8604630827903748,109,176,0.6193181818181818,167,0.045966148376464844,0,0.3453458586580129
M-2022-1,train,26,13,final,M-2022-12,abrupt,0.8839947666812037,0.022304832713754646,0.024539877300613498,0.21561338289962825,0.21561338289962825,1,5030,4338,8.418550491333008,0.7768129110336304,0.22318708896636963,0.6681123971939087,24,176,0.13636363636363635,4,0.08773624897003174,0,-1.3240140323115899
