period,true_class,pred_class,rank,count,support,rate,is_absorber,is_correct
m12,56,96,1,3063,12137,0.25236878965147896,1,0
m12,56,165,2,3015,12137,0.24841394084205323,0,0
m12,56,118,3,2489,12137,0.20507538930542968,0,0
m12,56,14,4,1140,12137,0.09392765922386093,0,0
m12,56,71,5,576,12137,0.047458185713108676,0,0
m12,48,14,1,1310,3361,0.389764950907468,1,0
m12,48,177,2,1096,3361,0.32609342457601903,0,0
m12,48,170,3,577,3361,0.1716750966974115,0,0
m12,48,6,4,200,3361,0.05950609937518596,0,0
m12,48,5,5,41,3361,0.012198750371913121,0,0
m12,66,71,1,271,1955,0.13861892583120206,1,0
m12,66,142,2,266,1955,0.1360613810741688,0,0
m12,66,49,3,240,1955,0.12276214833759591,0,0
m12,66,78,4,154,1955,0.07877237851662404,0,0
m12,66,108,5,140,1955,0.07161125319693094,0,0
m12,69,105,1,703,1866,0.3767416934619507,1,0
m12,69,39,2,198,1866,0.10610932475884244,0,0
m12,69,60,3,181,1866,0.0969989281886388,0,0
m12,69,125,4,151,1866,0.08092175777063237,0,0
m12,69,18,5,136,1866,0.07288317256162916,0,0
m12,104,2,1,370,1744,0.2121559633027523,1,0
m12,104,117,2,299,1744,0.17144495412844038,0,0
m12,104,133,3,272,1744,0.1559633027522936,0,0
m12,104,19,4,254,1744,0.14564220183486237,0,0
m12,104,110,5,111,1744,0.06364678899082568,0,0
m12,163,46,1,728,1741,0.41815048822515793,1,0
m12,163,26,2,200,1741,0.11487650775416428,0,0
m12,163,155,3,118,1741,0.06777713957495692,0,0
m12,163,140,4,104,1741,0.05973578403216542,0,0
m12,163,13,5,96,1741,0.05514072372199885,0,0
