strategy,budget,class_id,selected_count
margin,1000,0,1
margin,1000,1,5
margin,1000,2,8
margin,1000,6,1
margin,1000,9,2
margin,1000,11,6
margin,1000,12,1
margin,1000,13,3
margin,1000,14,9
margin,1000,15,1
margin,1000,16,1
margin,1000,17,2
margin,1000,18,16
margin,1000,19,34
margin,1000,21,1
margin,1000,23,4
margin,1000,24,4
margin,1000,25,36
margin,1000,26,1
margin,1000,27,3
margin,1000,28,8
margin,1000,29,29
margin,1000,32,2
margin,1000,33,1
margin,1000,34,4
margin,1000,35,1
margin,1000,38,3
margin,1000,39,1
margin,1000,40,1
margin,1000,41,1
margin,1000,42,3
margin,1000,43,3
margin,1000,45,3
margin,1000,46,9
margin,1000,48,4
margin,1000,49,8
margin,1000,51,3
margin,1000,52,1
margin,1000,53,4
margin,1000,54,7
margin,1000,55,20
margin,1000,56,12
margin,1000,60,11
margin,1000,61,12
margin,1000,62,3
margin,1000,63,7
margin,1000,66,1
margin,1000,67,4
margin,1000,68,1
margin,1000,69,3
margin,1000,70,1
margin,1000,71,31
margin,1000,72,2
margin,1000,73,1
margin,1000,74,2
margin,1000,75,4
margin,1000,77,18
margin,1000,78,3
margin,1000,79,4
margin,1000,80,1
margin,1000,82,22
margin,1000,83,6
margin,1000,84,1
margin,1000,86,16
margin,1000,87,1
margin,1000,91,2
margin,1000,92,1
margin,1000,93,3
margin,1000,94,1
margin,1000,96,36
margin,1000,97,9
margin,1000,99,8
margin,1000,100,7
margin,1000,101,80
margin,1000,102,2
margin,1000,103,1
margin,1000,104,8
margin,1000,105,3
margin,1000,110,3
margin,1000,112,1
margin,1000,115,10
margin,1000,116,4
margin,1000,117,57
margin,1000,118,1
margin,1000,119,1
margin,1000,120,2
margin,1000,122,33
margin,1000,123,3
margin,1000,124,9
margin,1000,125,1
margin,1000,126,1
margin,1000,127,6
margin,1000,128,1
margin,1000,129,27
margin,1000,130,4
margin,1000,131,8
margin,1000,132,1
margin,1000,133,2
margin,1000,135,1
margin,1000,136,8
margin,1000,137,1
margin,1000,138,32
margin,1000,139,2
margin,1000,140,14
margin,1000,141,3
margin,1000,142,7
margin,1000,143,10
margin,1000,144,1
margin,1000,146,5
margin,1000,148,2
margin,1000,149,32
margin,1000,150,2
margin,1000,152,1
margin,1000,153,43
margin,1000,154,2
margin,1000,155,7
margin,1000,156,7
margin,1000,158,6
margin,1000,159,4
margin,1000,163,3
margin,1000,164,1
margin,1000,165,2
margin,1000,168,6
margin,1000,170,1
margin,1000,171,5
margin,1000,172,11
margin,1000,173,2
margin,1000,174,4
margin,1000,175,16
margin,1000,176,1
