strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
margin,1000,56,12125,0.6823092783505155,0.7461555806087937,12137,0.6823762049929967,0.746260587493242
margin,1000,163,1738,0.16628308400460298,0.17900278724063176,1741,0.16771970132107983,0.1805255023183926
margin,1000,174,1503,0.19294743845642048,0.24136496046608405,1507,0.19442601194426012,0.2429519071310116
margin,1000,48,3357,0.43818885910038724,0.5667501444808322,3361,0.43885748289199644,0.5674168109251779
margin,1000,38,190,0.7263157894736842,0.32701421800947866,193,0.7305699481865285,0.33176470588235296
margin,1000,69,1863,0.12560386473429952,0.1484771573604061,1866,0.1264737406216506,0.14950902755780804
margin,1000,104,1736,0.6526497695852534,0.6583381754793725,1744,0.654243119266055,0.659919028340081
margin,1000,47,618,0.0,0.0,618,0.0,0.0
margin,1000,66,1954,0.0020470829068577278,0.003426124197002141,1955,0.0020460358056265983,0.003424657534246575
margin,1000,10,1004,0.0099601593625498,0.01904761904761905,1004,0.0099601593625498,0.01904761904761905
margin,1000,109,393,0.0,0.0,393,0.0,0.0
margin,1000,26,806,0.031017369727047148,0.04205214465937763,807,0.0322180916976456,0.0436607892527288
