class_id,absorber,budget,selected_mean,selected_std,recall_mean,recall_std,f1_mean,f1_std
56,96,200,3.0,0.0,0.6030,0.0511,0.6937,0.0263
56,96,500,3.0,0.0,0.5971,0.0579,0.7047,0.0303
56,96,1000,12.0,0.0,0.7220,0.0297,0.7835,0.0071
163,46,200,0.0,0.0,0.0403,0.0163,0.0474,0.0152
163,46,500,1.0,0.0,0.0960,0.0349,0.1097,0.0354
163,46,1000,3.0,0.0,0.1434,0.0277,0.1682,0.0212
174,2,200,2.0,0.0,0.0025,0.0016,0.0034,0.0021
174,2,500,4.0,0.0,0.1670,0.0285,0.2061,0.0338
174,2,1000,4.0,0.0,0.1953,0.0049,0.2616,0.0107
48,14,200,1.0,0.0,0.0154,0.0098,0.0294,0.0183
48,14,500,1.0,0.0,0.0119,0.0038,0.0231,0.0073
48,14,1000,4.0,0.0,0.4370,0.0080,0.5678,0.0060
38,45,200,0.0,0.0,0.0653,0.0041,0.0961,0.0142
38,45,500,1.0,0.0,0.1844,0.0026,0.1807,0.0369
38,45,1000,3.0,0.0,0.6558,0.0848,0.4097,0.0512
69,105,200,1.0,0.0,0.0128,0.0043,0.0157,0.0033
69,105,500,2.0,0.0,0.0327,0.0147,0.0396,0.0132
69,105,1000,3.0,0.0,0.0313,0.0155,0.0421,0.0192
104,2,200,3.0,0.0,0.6006,0.0378,0.5275,0.0247
104,2,500,7.0,0.0,0.6796,0.0338,0.6397,0.0269
104,2,1000,8.0,0.0,0.7035,0.0389,0.6640,0.0279
47,5,200,0.0,0.0,0.0026,0.0030,0.0044,0.0050
47,5,500,0.0,0.0,0.0032,0.0018,0.0058,0.0032
47,5,1000,0.0,0.0,0.0019,0.0016,0.0036,0.0029
66,71,200,0.0,0.0,0.0026,0.0016,0.0042,0.0026
66,71,500,1.0,0.0,0.0027,0.0026,0.0039,0.0037
66,71,1000,1.0,0.0,0.0014,0.0004,0.0025,0.0007
10,156,200,0.0,0.0,0.1058,0.0221,0.1610,0.0251
10,156,500,0.0,0.0,0.0980,0.0272,0.1540,0.0374
10,156,1000,0.0,0.0,0.0735,0.0269,0.1208,0.0394
109,71,200,0.0,0.0,0.0000,0.0000,0.0000,0.0000
109,71,500,0.0,0.0,0.0000,0.0000,0.0000,0.0000
109,71,1000,0.0,0.0,0.0000,0.0000,0.0000,0.0000
26,13,200,0.0,0.0,0.0119,0.0030,0.0124,0.0028
26,13,500,0.0,0.0,0.0089,0.0029,0.0104,0.0029
26,13,1000,1.0,0.0,0.0347,0.0104,0.0456,0.0099
