method,strategy,budget,n_seeds,strict_overall_macro_f1_mean,strict_overall_macro_f1_std,strict_bad_macro_f1_mean,strict_bad_macro_f1_std,strict_stable_macro_f1_mean,strict_stable_macro_f1_std,strict_collapsed_count_mean,strict_collapsed_count_std,full_overall_macro_f1_mean,full_overall_macro_f1_std,full_bad_macro_f1_mean,full_bad_macro_f1_std,full_stable_macro_f1_mean,full_stable_macro_f1_std,full_collapsed_count_mean,full_collapsed_count_std
active_head_ft,absorber_margin,1000,3,0.6441,0.0034,0.2796,0.0019,0.8753,0.0032,5.0000,0.0000,0.6445,0.0034,0.2810,0.0019,0.8754,0.0032,5.0000,0.0000
active_head_ft,absorber_margin,200,3,0.6294,0.0049,0.1574,0.0082,0.8618,0.0032,6.6667,0.5774,0.6295,0.0049,0.1578,0.0082,0.8618,0.0032,6.6667,0.5774
active_head_ft,absorber_margin,500,3,0.6340,0.0033,0.2290,0.0012,0.8681,0.0057,6.0000,0.0000,0.6342,0.0033,0.2296,0.0012,0.8681,0.0057,6.0000,0.0000
active_head_ft,margin,1000,3,0.6600,0.0022,0.2671,0.0037,0.8846,0.0028,5.3333,0.5774,0.6603,0.0022,0.2678,0.0037,0.8847,0.0028,5.3333,0.5774
active_head_ft,margin,200,3,0.6353,0.0029,0.1009,0.0008,0.8666,0.0024,10.0000,0.0000,0.6354,0.0029,0.1010,0.0008,0.8666,0.0024,10.0000,0.0000
active_head_ft,margin,500,3,0.6478,0.0021,0.1607,0.0048,0.8742,0.0033,8.0000,0.0000,0.6480,0.0021,0.1609,0.0049,0.8742,0.0033,8.0000,0.0000
active_head_ft,random,1000,3,0.6521,0.0021,0.1931,0.0342,0.8753,0.0093,7.3333,1.1547,0.6523,0.0021,0.1935,0.0339,0.8754,0.0093,7.3333,1.1547
active_head_ft,random,200,3,0.6261,0.0046,0.0582,0.0347,0.8610,0.0071,10.6667,1.5275,0.6261,0.0046,0.0582,0.0348,0.8610,0.0071,10.6667,1.5275
active_head_ft,random,500,3,0.6413,0.0044,0.1232,0.0292,0.8688,0.0103,9.0000,1.0000,0.6414,0.0044,0.1235,0.0291,0.8688,0.0103,9.0000,1.0000
static,,0,3,0.6208,0.0000,0.0298,0.0000,0.8711,0.0000,12.0000,0.0000,0.6208,0.0000,0.0298,0.0000,0.8711,0.0000,12.0000,0.0000
