strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
random,200,56,12134,0.6020273611340037,0.6737686773657997,12137,0.6020433385515366,0.6737977776753192
random,200,163,1741,0.014933946008041356,0.023508137432188065,1741,0.014933946008041356,0.023508137432188065
random,200,174,1507,0.0,0.0,1507,0.0,0.0
random,200,48,3360,0.008333333333333333,0.010494752623688156,3361,0.008330853912526033,0.010492786209480982
random,200,38,193,0.05181347150259067,0.09049773755656108,193,0.05181347150259067,0.09049773755656108
random,200,69,1866,0.005894962486602358,0.010124252185918085,1866,0.005894962486602358,0.010124252185918085
random,200,104,1744,0.005733944954128441,0.0103359173126615,1744,0.005733944954128441,0.0103359173126615
random,200,47,618,0.0,0.0,618,0.0,0.0
random,200,66,1953,0.0035842293906810036,0.002609992542878449,1955,0.0035805626598465474,0.002609019754006709
random,200,10,1004,0.13047808764940239,0.20711462450592885,1004,0.13047808764940239,0.20711462450592885
random,200,109,393,0.0,0.0,393,0.0,0.0
random,200,26,806,0.1662531017369727,0.11662315056570931,807,0.16728624535315986,0.11739130434782609
random,500,56,12132,0.7015331355093967,0.76414077931406,12137,0.7015737002554173,0.7641911599730761
random,500,163,1741,0.007466973004020678,0.013131313131313131,1741,0.007466973004020678,0.013131313131313131
random,500,174,1507,0.0,0.0,1507,0.0,0.0
random,500,48,3359,0.0741292051205716,0.0848381601362862,3361,0.07438262421898245,0.08513536523071684
random,500,38,192,0.109375,0.1693548387096774,193,0.11398963730569948,0.176
random,500,69,1866,0.003215434083601286,0.006066734074823054,1866,0.003215434083601286,0.006066734074823054
random,500,104,1744,0.005733944954128441,0.01016260162601626,1744,0.005733944954128441,0.01016260162601626
random,500,47,618,0.0,0.0,618,0.0,0.0
random,500,66,1953,0.010752688172043012,0.008641975308641974,1955,0.011253196930946292,0.009047912811022003
random,500,10,1004,0.11553784860557768,0.18634538152610441,1004,0.11553784860557768,0.18634538152610441
random,500,109,393,0.0,0.0,393,0.0,0.0
random,500,26,806,0.16501240694789082,0.1286266924564797,807,0.16604708798017348,0.1294685990338164
random,1000,56,12127,0.7860146779912591,0.8469877376932646,12137,0.7861085935568921,0.8470724020064812
random,1000,163,1739,0.013801035077630822,0.015194681861348529,1741,0.014933946008041356,0.016440088523553588
random,1000,174,1506,0.0,0.0,1507,0.0,0.0
random,1000,48,3357,0.5507893952934168,0.584017687934302,3361,0.550728949717346,0.5840959293152413
random,1000,38,192,0.11458333333333333,0.1685823754789272,193,0.11917098445595854,0.17490494296577946
random,1000,69,1866,0.0,0.0,1866,0.0,0.0
random,1000,104,1744,0.006880733944954129,0.01288936627282492,1744,0.006880733944954129,0.01288936627282492
random,1000,47,618,0.0,0.0,618,0.0,0.0
random,1000,66,1953,0.03533026113671275,0.031724137931034485,1955,0.03580562659846547,0.03216172754422238
random,1000,10,1004,0.053784860557768925,0.09473684210526316,1004,0.053784860557768925,0.09473684210526316
random,1000,109,393,0.0,0.0,393,0.0,0.0
random,1000,26,806,0.14392059553349876,0.12386545648691938,807,0.1449814126394052,0.1248
margin,200,56,12128,0.8887697889182058,0.8048534627590069,12137,0.8888522699184312,0.8049544844053126
margin,200,163,1741,0.013210798391728892,0.021759697256385997,1741,0.013210798391728892,0.021759697256385997
margin,200,174,1507,0.0,0.0,1507,0.0,0.0
margin,200,48,3360,0.006845238095238095,0.009841677364142062,3361,0.006843201428146385,0.00983957219251337
margin,200,38,193,0.03626943005181347,0.06635071090047394,193,0.03626943005181347,0.06635071090047394
margin,200,69,1866,0.005894962486602358,0.011077542799597181,1866,0.005894962486602358,0.011077542799597181
margin,200,104,1744,0.009174311926605505,0.01574028529267093,1744,0.009174311926605505,0.01574028529267093
margin,200,47,618,0.0,0.0,618,0.0,0.0
margin,200,66,1954,0.040429887410440124,0.05109961190168176,1955,0.04092071611253197,0.051712992889463474
margin,200,10,1004,0.09262948207171315,0.14329738058551617,1004,0.09262948207171315,0.14329738058551617
margin,200,109,393,0.0,0.0,393,0.0,0.0
margin,200,26,806,0.14516129032258066,0.08268551236749117,807,0.14622057001239158,0.08333333333333333
margin,500,56,12117,0.937360732854667,0.8536961178548611,12137,0.9374639532009558,0.8539157191639462
margin,500,163,1741,0.013210798391728892,0.023711340206185566,1741,0.013210798391728892,0.023711340206185566
margin,500,174,1507,0.0,0.0,1507,0.0,0.0
margin,500,48,3359,0.4108365584995534,0.4178019981834696,3361,0.411187146682535,0.4181543116490166
margin,500,38,193,0.03626943005181347,0.06829268292682927,193,0.03626943005181347,0.06829268292682927
margin,500,69,1866,0.0005359056806002144,0.001021972406745018,1866,0.0005359056806002144,0.001021972406745018
margin,500,104,1744,0.00974770642201835,0.016666666666666666,1744,0.00974770642201835,0.016666666666666666
margin,500,47,618,0.0,0.0,618,0.0,0.0
