method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count,head_train_samples,selected_mean_proto_distance
static,,0,stable_absorber,5,2,0.5,2.0,150,0,0,0.7453570016981188,0.6208135812807901,0.007941154944009368,0.02980100365637331,27326,0.9324418056210637,0.8710874372627309,144172,12,7,0.7453570016981188,0.6208135812807901,0.007941154944009368,0.02980100365637331,27326,0.9324418056210637,0.8710874372627309,144172,12,7,,
active_head_ft,random,200,stable_absorber,5,2,0.5,2.0,150,7,23,0.7690511697022514,0.6312824852642338,0.28046414583257073,0.09542310350761109,27319,0.9391336922137743,0.8645377972770826,144152,9,7,0.7690822979242444,0.631317680862804,0.2805020859254922,0.09548929641499088,27326,0.93914213578226,0.8645424995717462,144172,9,7,550,0.16038058698177338
active_head_ft,random,500,stable_absorber,5,2,0.5,2.0,150,11,48,0.7773527306046817,0.637345968255379,0.3324180853011166,0.11427570635695017,27315,0.9346608846487424,0.8701442981888977,144125,8,6,0.777427036438893,0.6374755445270454,0.3325770328624753,0.11496242228390735,27326,0.9346821851677163,0.8701570350804196,144172,8,6,1150,0.16221794486045837
active_head_ft,random,1000,stable_absorber,5,2,0.5,2.0,150,21,97,0.79117913765316,0.6497614714523787,0.4276872367698224,0.15649985714699036,27305,0.9329585285441611,0.8740098891489639,144075,8,5,0.7913210789666792,0.6499705630169916,0.4279440825587353,0.15725844156111382,27326,0.9330036345476237,0.8740476714794212,144172,8,5,2150,0.16156664490699768
active_head_ft,margin,200,stable_absorber,5,2,0.5,2.0,150,12,26,0.7690405879236207,0.6361990567163166,0.4081423445851944,0.10055882343558052,27314,0.9386900096414624,0.864496961390223,144169,10,6,0.7690664276553794,0.6363020229051626,0.40836565907926514,0.10067216663793892,27326,0.9386912854090947,0.8644986759563864,144172,10,6,550,0.1932758390903473
active_head_ft,margin,500,stable_absorber,5,2,0.5,2.0,150,28,70,0.7809195987991493,0.6484820757995792,0.49117151439665907,0.16400790935029733,27298,0.9315348811398367,0.874649871921976,144161,8,5,0.780969885031238,0.6486685077211544,0.4916197028471053,0.16426894742509093,27326,0.9315331687151458,0.8746527599990335,144172,8,5,1150,0.19055908918380737
active_head_ft,margin,1000,stable_absorber,5,2,0.5,2.0,150,69,136,0.7933640844362059,0.6608540966218955,0.5604431889056022,0.2657741874506783,27257,0.935767405721897,0.887797767188235,144148,6,2,0.7934446720862375,0.661184307040706,0.5613335285076484,0.2664761225029356,27326,0.9357642260633132,0.8878261126764867,144172,6,2,2150,0.19354501366615295
active_head_ft,absorber_margin,200,stable_absorber,5,2,0.5,2.0,150,25,200,0.7502790944113847,0.6290301780085734,0.43302443133951135,0.1480649840106442,27301,0.9321009918845807,0.8633919253999819,144170,7,5,0.7503002125860301,0.6291147255086331,0.4333967649857279,0.14842913734428959,27326,0.9320949976417058,0.8633913796709816,144172,7,5,550,0.19960203766822815
active_head_ft,absorber_margin,500,stable_absorber,5,2,0.5,2.0,150,35,500,0.7539057509134525,0.636361261130331,0.45601113920340036,0.2300694292768399,27291,0.9380566576954025,0.872918592633417,144164,6,4,0.7539601988771407,0.6365827886570303,0.4564883261362805,0.23069835570802455,27326,0.938053158727076,0.8729418635458683,144172,6,4,1150,0.19770076870918274
active_head_ft,absorber_margin,1000,stable_absorber,5,2,0.5,2.0,150,62,1000,0.771787640416297,0.6474352404180166,0.489399941314554,0.27872780299307837,27264,0.9357289029169991,0.8785701528119094,144155,5,3,0.7718701751548673,0.6478240557776623,0.49026568103637563,0.28000889067638707,27326,0.9357295452653774,0.878598615182111,144172,5,3,2150,0.20405177772045135
