baseline_norm,norm,period,group,delta_macro_f1,delta_macro_recall,delta_collapsed_count,delta_severe_count
gn,in,M-2022-7,stable,-0.03757585067173197,-0.0434078858812208,-1,0
gn,in,M-2022-7,final_collapsed,-0.039771144912195466,-0.05116304186630266,0,0
gn,in,M-2022-7,abrupt_collapsed,-0.061565310055064604,-0.08030652019337298,0,0
gn,in,M-2022-7,gradual_collapsed,-0.004900480683604769,-0.004533476542990245,0,0
gn,in,M-2022-7,absorber,-0.09559411844627397,-0.15299432860095374,0,0
gn,in,M-2022-7,degraded_noncollapsed,-0.06648823012811045,-0.06847689210676144,0,0
gn,in,M-2022-10,stable,-0.06945709163572555,-0.07845312350471878,0,0
gn,in,M-2022-10,final_collapsed,-0.03480070388002798,-0.04454857842777743,0,1
gn,in,M-2022-10,abrupt_collapsed,-0.06600879987399855,-0.0813208010294783,1,1
gn,in,M-2022-10,gradual_collapsed,0.015132249710324897,0.014286977734944056,-1,0
gn,in,M-2022-10,absorber,-0.08905111707370061,-0.1237582515542549,0,0
gn,in,M-2022-10,degraded_noncollapsed,-0.08690815612202152,-0.07718328531771629,6,0
gn,in,M-2022-12,stable,-0.04863616436641538,-0.05850888233225504,0,0
gn,in,M-2022-12,final_collapsed,0.009660940187399696,0.011682406733381178,-1,-1
gn,in,M-2022-12,abrupt_collapsed,-0.0056637882771481424,-0.003209525689873069,0,0
gn,in,M-2022-12,gradual_collapsed,0.03418050573067624,0.035509498610587976,-1,-1
gn,in,M-2022-12,absorber,-0.06956870652797331,-0.11713784504160163,0,0
gn,in,M-2022-12,degraded_noncollapsed,-0.08215479965888944,-0.07894388311035594,8,0
gn,bn,M-2022-7,stable,-0.004313160237916391,0.004452087312044717,-1,0
gn,bn,M-2022-7,final_collapsed,-0.006438719488479072,0.0028760724148490513,0,0
gn,bn,M-2022-7,abrupt_collapsed,-0.01760453047750271,0.01057488667539408,0,0
gn,bn,M-2022-7,gradual_collapsed,0.01142657809395875,-0.009442030402023127,0,0
gn,bn,M-2022-7,absorber,-0.06853415474727687,-0.02431919918912162,0,0
gn,bn,M-2022-7,degraded_noncollapsed,-0.051373740613676055,-0.05266554517613764,3,0
gn,bn,M-2022-10,stable,-0.024206817934561364,-0.01957532127716577,0,0
gn,bn,M-2022-10,final_collapsed,-0.011781387484947975,0.00285236793224089,0,2
gn,bn,M-2022-10,abrupt_collapsed,-0.021536587458855894,0.005615014889994829,0,1
gn,bn,M-2022-10,gradual_collapsed,0.003826932473304623,-0.001567867200165357,0,1
gn,bn,M-2022-10,absorber,-0.06498342964688852,-0.02714718077272993,0,0
gn,bn,M-2022-10,degraded_noncollapsed,-0.0961270810312303,-0.06373114175750838,6,0
gn,bn,M-2022-12,stable,-0.03359202832248109,-0.02169137812931876,0,0
gn,bn,M-2022-12,final_collapsed,0.007456955874865754,0.006550185877714734,-1,-1
gn,bn,M-2022-12,abrupt_collapsed,0.0037814987317325265,0.0062384727171041245,0,0
gn,bn,M-2022-12,gradual_collapsed,0.013337687303878895,0.007048926934691724,-1,-1
gn,bn,M-2022-12,absorber,-0.0544536475949714,-0.021412140098172938,0,0
gn,bn,M-2022-12,degraded_noncollapsed,-0.07590418904665686,-0.05343404796038431,2,0
gn,ln,M-2022-7,stable,0.00467312853824553,0.016496325422517333,-1,0
gn,ln,M-2022-7,final_collapsed,-0.019884640971310208,0.0027337833618253926,0,0
gn,ln,M-2022-7,abrupt_collapsed,-0.02957965711654509,0.0006729643133414065,0,0
gn,ln,M-2022-7,gradual_collapsed,-0.004372615138934333,0.006031093839399482,0,0
gn,ln,M-2022-7,absorber,0.00209383416325426,-0.014110682777269123,0,0
gn,ln,M-2022-7,degraded_noncollapsed,0.024162680748896714,0.011632717093878586,-1,0
gn,ln,M-2022-10,stable,-0.006968963165120745,-0.00729461264080411,0,0
gn,ln,M-2022-10,final_collapsed,-0.008961339226289416,-0.007826706090579977,0,1
gn,ln,M-2022-10,abrupt_collapsed,-0.015294100133975752,-0.014835646715615047,0,1
gn,ln,M-2022-10,gradual_collapsed,0.0011710782260087454,0.0033875989094762082,0,0
gn,ln,M-2022-10,absorber,-0.00022928385992548872,-0.010849189247806756,0,0
gn,ln,M-2022-10,degraded_noncollapsed,0.004476513717966091,0.013175303996581234,1,0
gn,ln,M-2022-12,stable,-0.012226771066427,-0.00192957184502196,0,0
gn,ln,M-2022-12,final_collapsed,0.0034189936008216966,0.003208897549297946,-1,-1
gn,ln,M-2022-12,abrupt_collapsed,0.0018280280153437703,0.002805123434353813,0,0
gn,ln,M-2022-12,gradual_collapsed,0.0059645385375863835,0.003854936133208562,-1,-1
gn,ln,M-2022-12,absorber,-0.0042627328131245035,-0.00946029645801949,0,0
gn,ln,M-2022-12,degraded_noncollapsed,0.00807593270912238,0.007341257351074881,1,0
