norm,period,accuracy,macro_f1,weighted_f1,final_collapsed_macro_f1,final_collapsed_macro_recall,final_collapsed_count,final_severe_count,stable_macro_f1,stable_macro_recall,abrupt_collapsed_macro_f1,abrupt_collapsed_macro_recall,gradual_collapsed_macro_f1,gradual_collapsed_macro_recall,absorber_macro_f1,absorber_macro_recall,degraded_noncollapsed_macro_f1,degraded_noncollapsed_macro_recall
gn,M-2022-7,0.831152399116993,0.7401953796542524,0.8217379332951572,0.4647032068721109,0.44828898626501384,5,3,0.8321626795809953,0.8542687126724958,0.49435223108225457,0.4781869813735789,0.417264768135881,0.4004521940913099,0.6673034281735701,0.7314726855936468,0.621791470449608,0.6242982390763937
gn,M-2022-10,0.787239767457279,0.6836051344755893,0.7819478516474094,0.23925027618338698,0.22255730908879628,8,5,0.9089863032292651,0.907498637792221,0.3125594482932385,0.3036043174010853,0.1219556008076246,0.09288209578913381,0.5992688799050511,0.6437226250511057,0.5391570837447538,0.4857153926945837
gn,M-2022-12,0.7519431632771048,0.6286470835004149,0.7457866861078043,0.02545529273016126,0.01570266345189657,13,9,0.9027706369575663,0.9006693107357598,0.015859171758221886,0.010158628519104606,0.04080908628526425,0.024573119344363716,0.5476293403449638,0.6246972639373156,0.4579563008236093,0.396883267827643
in,M-2022-7,0.7856623959404199,0.6710228859537605,0.7797692015257536,0.42493206195991545,0.3971259443987112,5,3,0.7945868289092634,0.810860826791275,0.43278692102718996,0.3978804611802059,0.4123642874522762,0.39591871754831964,0.5717093097272962,0.578478356992693,0.5553032403214976,0.5558213469696323
in,M-2022-10,0.7416439335976612,0.6138315161243769,0.7351345777334424,0.204449572303359,0.17800873066101885,8,6,0.8395292115935395,0.8290455142875022,0.24655064841923996,0.22228351637160698,0.1370878505179495,0.10716907352407787,0.5102177628313505,0.5199643734968508,0.4522489276227323,0.4085321073768674
in,M-2022-12,0.7064264764451202,0.5656856591315009,0.698967538541724,0.035116232917560955,0.02738507018527775,12,8,0.8541344725911509,0.8421604284035048,0.010195383481073744,0.006949102829231537,0.07498959201594049,0.06008261795495169,0.4780606338169905,0.507559418895714,0.37580150116471983,0.31793938471728705
bn,M-2022-7,0.8127430179054186,0.7042600372271309,0.8117450570208254,0.45826448738363185,0.4511650586798629,5,3,0.8278495193430789,0.8587207999845405,0.47674770060475186,0.488761868048973,0.42869134622983973,0.39101016368928676,0.5987692734262933,0.7071534864045251,0.570417729835932,0.5716326939002561
bn,M-2022-10,0.7661191856455731,0.6380998799922868,0.7615839547504545,0.227468888698439,0.22540967702103717,8,7,0.8847794852947037,0.8879233165150552,0.2910228608343826,0.3092193322910801,0.12578253328092923,0.09131422858896845,0.5342854502581625,0.6165754442783757,0.4430300027135235,0.4219842509370753
bn,M-2022-12,0.7322390908905413,0.5817238380274391,0.7288593189498354,0.03291224860502701,0.022252849329611305,12,8,0.8691786086350852,0.8789779326064411,0.019640670489954413,0.01639710123620873,0.054146773589143146,0.03162204627905544,0.4931756927499924,0.6032851238391427,0.3820521117769524,0.3434492198672587
ln,M-2022-7,0.8344167637286268,0.7460077767912169,0.8273327063674001,0.4448185659008007,0.45102276962683924,5,3,0.8368358081192409,0.8707650380950132,0.4647725739657095,0.4788599456869203,0.41289215299694665,0.40648328793070937,0.6693972623368244,0.7173620028163776,0.6459541511985047,0.6359309561702723
ln,M-2022-10,0.7963973590440835,0.6867022564153066,0.7911125302747903,0.23028893695709757,0.2147306029982163,8,6,0.9020173400641444,0.9002040251514168,0.29726534815926275,0.28876867068547024,0.12312667903363335,0.09626969469861002,0.5990395960451256,0.6328734358032989,0.5436335974627199,0.4988906966911649
ln,M-2022-12,0.7591837845150008,0.6273992213599445,0.7524187424508613,0.028874286330982955,0.018911561001194517,12,8,0.8905438658911393,0.8987397388907379,0.017687199773565657,0.012963751953458419,0.046773624822850635,0.028428055477572278,0.5433666075318393,0.6152369674792961,0.46603223353273165,0.4042245251787179
