true_class,pred_class,oracle_rank,oracle_confusion_count,oracle_confusion_rate,best_beta,best_top_absorbers,support,static_count,static_rate,best_count,best_rate,delta_count,delta_rate
5,14,1,104,0.0962962962962963,0.5,5,1080,104,0.0962962962962963,104,0.0962962962962963,0,0.0
5,6,2,59,0.05462962962962963,0.5,5,1080,59,0.05462962962962963,59,0.05462962962962963,0,0.0
5,124,3,53,0.049074074074074076,0.5,5,1080,53,0.049074074074074076,53,0.049074074074074076,0,0.0
5,151,4,30,0.027777777777777776,0.5,5,1080,30,0.027777777777777776,29,0.026851851851851852,-1,-0.0009259259259259238
5,83,5,20,0.018518518518518517,0.5,5,1080,20,0.018518518518518517,20,0.018518518518518517,0,0.0
6,5,1,942,0.5593824228028503,0.5,5,1684,942,0.5593824228028503,944,0.5605700712589073,2,0.001187648456057011
6,14,2,64,0.03800475059382423,0.5,5,1684,64,0.03800475059382423,64,0.03800475059382423,0,0.0
6,151,3,36,0.021377672209026127,0.5,5,1684,36,0.021377672209026127,35,0.020783847980997625,-1,-0.0005938242280285021
6,149,4,15,0.008907363420427554,0.5,5,1684,15,0.008907363420427554,14,0.00831353919239905,-1,-0.0005938242280285038
6,83,5,9,0.005344418052256532,0.5,5,1684,9,0.005344418052256532,9,0.005344418052256532,0,0.0
10,156,1,366,0.3645418326693227,0.5,5,1004,366,0.3645418326693227,364,0.36254980079681276,-2,-0.0019920318725099584
10,138,2,250,0.24900398406374502,0.5,5,1004,250,0.24900398406374502,248,0.24701195219123506,-2,-0.0019920318725099584
10,117,3,107,0.10657370517928287,0.5,5,1004,107,0.10657370517928287,107,0.10657370517928287,0,0.0
10,132,4,34,0.03386454183266932,0.5,5,1004,34,0.03386454183266932,34,0.03386454183266932,0,0.0
10,61,5,31,0.030876494023904383,0.5,5,1004,31,0.030876494023904383,31,0.030876494023904383,0,0.0
11,153,1,446,0.2550028587764437,0.5,5,1749,446,0.2550028587764437,444,0.2538593481989708,-2,-0.0011435105774728616
11,93,2,270,0.15437392795883362,0.5,5,1749,270,0.15437392795883362,269,0.1538021726700972,-1,-0.0005717552887364308
11,133,3,131,0.07489994282447113,0.5,5,1749,131,0.07489994282447113,131,0.07489994282447113,0,0.0
11,148,4,49,0.02801600914808462,0.5,5,1749,49,0.02801600914808462,49,0.02801600914808462,0,0.0
11,176,5,39,0.022298456260720412,0.5,5,1749,39,0.022298456260720412,39,0.022298456260720412,0,0.0
12,156,1,55,0.20912547528517111,0.5,5,263,55,0.20912547528517111,55,0.20912547528517111,0,0.0
12,117,2,47,0.17870722433460076,0.5,5,263,47,0.17870722433460076,47,0.17870722433460076,0,0.0
12,63,3,28,0.10646387832699619,0.5,5,263,28,0.10646387832699619,28,0.10646387832699619,0,0.0
12,125,4,16,0.060836501901140684,0.5,5,263,16,0.060836501901140684,15,0.057034220532319393,-1,-0.0038022813688212906
12,50,5,8,0.030418250950570342,0.5,5,263,8,0.030418250950570342,8,0.030418250950570342,0,0.0
14,129,1,1203,0.20666552138807764,0.5,5,5821,1203,0.20666552138807764,1195,0.20529118708125751,-8,-0.0013743343068201297
14,63,2,343,0.058924583404913244,0.5,5,5821,343,0.058924583404913244,341,0.05858099982820821,-2,-0.0003435835767050324
14,61,3,297,0.05102216114069748,0.5,5,5821,297,0.05102216114069748,297,0.05102216114069748,0,0.0
14,153,4,256,0.04397869781824429,0.5,5,5821,256,0.04397869781824429,257,0.0441504896065968,1,0.00017179178835251274
14,86,5,179,0.0307507301151005,0.5,5,5821,179,0.0307507301151005,180,0.030922521903453015,1,0.0001717917883525162
26,13,1,174,0.21561338289962825,0.5,5,807,174,0.21561338289962825,174,0.21561338289962825,0,0.0
26,49,2,98,0.12143742255266418,0.5,5,807,98,0.12143742255266418,98,0.12143742255266418,0,0.0
26,136,3,74,0.09169764560099132,0.5,5,807,74,0.09169764560099132,74,0.09169764560099132,0,0.0
26,46,4,65,0.080545229244114,0.5,5,807,65,0.080545229244114,65,0.080545229244114,0,0.0
26,61,5,57,0.07063197026022305,0.5,5,807,57,0.07063197026022305,57,0.07063197026022305,0,0.0
28,49,1,1062,0.1826311263972485,0.5,5,5815,1062,0.1826311263972485,1063,0.18280309544282028,1,0.00017196904557179038
28,117,2,397,0.06827171109200345,0.5,5,5815,397,0.06827171109200345,395,0.06792777300085985,-2,-0.00034393809114359464
28,158,3,322,0.05537403267411866,0.5,5,5815,322,0.05537403267411866,321,0.05520206362854686,-1,-0.00017196904557179732
28,95,4,267,0.04591573516766982,0.5,5,5815,267,0.04591573516766982,266,0.045743766122098024,-1,-0.00017196904557179732
28,142,5,262,0.045055889939810835,0.5,5,5815,262,0.045055889939810835,262,0.045055889939810835,0,0.0
38,45,1,89,0.46113989637305697,0.5,5,193,89,0.46113989637305697,89,0.46113989637305697,0,0.0
38,39,2,52,0.2694300518134715,0.5,5,193,52,0.2694300518134715,52,0.2694300518134715,0,0.0
38,105,3,7,0.03626943005181347,0.5,5,193,7,0.03626943005181347,7,0.03626943005181347,0,0.0
38,133,4,7,0.03626943005181347,0.5,5,193,7,0.03626943005181347,7,0.03626943005181347,0,0.0
38,125,5,5,0.025906735751295335,0.5,5,193,5,0.025906735751295335,5,0.025906735751295335,0,0.0
47,5,1,279,0.45145631067961167,0.5,5,618,279,0.45145631067961167,284,0.459546925566343,5,0.008090614886731351
47,6,2,96,0.1553398058252427,0.5,5,618,96,0.1553398058252427,96,0.1553398058252427,0,0.0
47,7,3,59,0.09546925566343042,0.5,5,618,59,0.09546925566343042,57,0.09223300970873786,-2,-0.00323624595469256
47,151,4,43,0.06957928802588997,0.5,5,618,43,0.06957928802588997,42,0.06796116504854369,-1,-0.0016181229773462869
47,102,5,33,0.05339805825242718,0.5,5,618,33,0.05339805825242718,33,0.05339805825242718,0,0.0
48,14,1,1310,0.389764950907468,0.5,5,3361,1310,0.389764950907468,1327,0.39482296935435884,17,0.005058018446890855
48,177,2,1096,0.32609342457601903,0.5,5,3361,1096,0.32609342457601903,1093,0.32520083308539127,-3,-0.0008925914906277588
48,170,3,577,0.1716750966974115,0.5,5,3361,577,0.1716750966974115,561,0.1669146087473966,-16,-0.00476048795001488
48,6,4,200,0.05950609937518596,0.5,5,3361,200,0.05950609937518596,202,0.06010116036893782,2,0.00059506099375186
48,5,5,41,0.012198750371913121,0.5,5,3361,41,0.012198750371913121,42,0.012496280868789051,1,0.00029753049687593
56,96,1,3063,0.25236878965147896,0.5,5,12137,3063,0.25236878965147896,3052,0.2514624701326522,-11,-0.0009063195188267481
56,165,2,3015,0.24841394084205323,0.5,5,12137,3015,0.24841394084205323,3015,0.24841394084205323,0,0.0
56,118,3,2489,0.20507538930542968,0.5,5,12137,2489,0.20507538930542968,2514,0.20713520639367225,25,0.0020598170882425715
56,14,4,1140,0.09392765922386093,0.5,5,12137,1140,0.09392765922386093,1155,0.09516354947680646,15,0.001235890252945529
56,71,5,576,0.047458185713108676,0.5,5,12137,576,0.047458185713108676,573,0.047211007662519566,-3,-0.00024717805058910997
66,71,1,271,0.13861892583120206,0.5,5,1955,271,0.13861892583120206,270,0.13810741687979539,-1,-0.0005115089514066695
66,142,2,266,0.1360613810741688,0.5,5,1955,266,0.1360613810741688,266,0.1360613810741688,0,0.0
66,49,3,240,0.12276214833759591,0.5,5,1955,240,0.12276214833759591,240,0.12276214833759591,0,0.0
66,78,4,154,0.07877237851662404,0.5,5,1955,154,0.07877237851662404,154,0.07877237851662404,0,0.0
66,108,5,140,0.07161125319693094,0.5,5,1955,140,0.07161125319693094,140,0.07161125319693094,0,0.0
69,105,1,703,0.3767416934619507,0.5,5,1866,703,0.3767416934619507,703,0.3767416934619507,0,0.0
69,39,2,198,0.10610932475884244,0.5,5,1866,198,0.10610932475884244,197,0.10557341907824223,-1,-0.0005359056806002044
69,60,3,181,0.0969989281886388,0.5,5,1866,181,0.0969989281886388,181,0.0969989281886388,0,0.0
69,125,4,151,0.08092175777063237,0.5,5,1866,151,0.08092175777063237,151,0.08092175777063237,0,0.0
69,18,5,136,0.07288317256162916,0.5,5,1866,136,0.07288317256162916,136,0.07288317256162916,0,0.0
104,2,1,370,0.2121559633027523,0.5,5,1744,370,0.2121559633027523,370,0.2121559633027523,0,0.0
104,117,2,299,0.17144495412844038,0.5,5,1744,299,0.17144495412844038,299,0.17144495412844038,0,0.0
104,133,3,272,0.1559633027522936,0.5,5,1744,272,0.1559633027522936,272,0.1559633027522936,0,0.0
104,19,4,254,0.14564220183486237,0.5,5,1744,254,0.14564220183486237,254,0.14564220183486237,0,0.0
104,110,5,111,0.06364678899082568,0.5,5,1744,111,0.06364678899082568,111,0.06364678899082568,0,0.0
109,71,1,98,0.24936386768447838,0.5,5,393,98,0.24936386768447838,98,0.24936386768447838,0,0.0
109,158,2,79,0.2010178117048346,0.5,5,393,79,0.2010178117048346,79,0.2010178117048346,0,0.0
109,140,3,62,0.15776081424936386,0.5,5,393,62,0.15776081424936386,62,0.15776081424936386,0,0.0
109,116,4,27,0.06870229007633588,0.5,5,393,27,0.06870229007633588,27,0.06870229007633588,0,0.0
109,142,5,26,0.06615776081424936,0.5,5,393,26,0.06615776081424936,26,0.06615776081424936,0,0.0
118,25,1,971,0.37679472254559565,0.5,5,2577,971,0.37679472254559565,971,0.37679472254559565,0,0.0
118,96,2,20,0.007760962359332557,0.5,5,2577,20,0.007760962359332557,20,0.007760962359332557,0,0.0
118,117,3,13,0.005044625533566162,0.5,5,2577,13,0.005044625533566162,13,0.005044625533566162,0,0.0
118,90,4,12,0.004656577415599534,0.5,5,2577,12,0.004656577415599534,12,0.004656577415599534,0,0.0
118,124,5,12,0.004656577415599534,0.5,5,2577,12,0.004656577415599534,12,0.004656577415599534,0,0.0
139,133,1,147,0.1510791366906475,0.5,5,973,147,0.1510791366906475,146,0.1500513874614594,-1,-0.0010277492291880796
139,32,2,105,0.1079136690647482,0.5,5,973,105,0.1079136690647482,106,0.10894141829393628,1,0.0010277492291880796
139,61,3,83,0.08530318602261049,0.5,5,973,83,0.08530318602261049,83,0.08530318602261049,0,0.0
