strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
margin,4000,56,12095,0.9802397684993799,0.9662591687041565,12137,0.980308148636401,0.9663350253807107
margin,4000,163,1726,0.3006952491309386,0.3732470334412082,1741,0.30557151062607696,0.3786476868327402
margin,4000,174,1486,0.3573351278600269,0.3949423577538118,1507,0.36496350364963503,0.40293040293040294
margin,4000,48,3351,0.8021486123545211,0.8823239783357951,3361,0.8027372805712586,0.8827089808604613
margin,4000,38,189,0.8412698412698413,0.6057142857142858,193,0.844559585492228,0.6116322701688556
margin,4000,69,1857,0.3134087237479806,0.37439691219041493,1866,0.3167202572347267,0.3779980812280141
margin,4000,104,1725,0.8197101449275362,0.7720447720447721,1744,0.8216743119266054,0.774385301269927
margin,4000,47,614,0.7671009771986971,0.7388235294117647,618,0.7686084142394822,0.7404520654715511
margin,4000,66,1942,0.3861997940267765,0.4336513443191674,1955,0.38925831202046035,0.4368541905855339
margin,4000,10,997,0.6248746238716149,0.713631156930126,1004,0.6274900398406374,0.7159090909090909
margin,4000,109,392,0.0,0.0,393,0.0,0.0
margin,4000,26,800,0.19125,0.2056451612903226,807,0.1970260223048327,0.21157684630738524
