weight_config,weights,period,precision,recall,f1,n_detected,n_actual,tp
manual,"['0.40', '0.20', '0.15', '0.15', '0.10']",M-2022-7,0.2,0.8,0.32000000000000006,20,5,4
manual,"['0.40', '0.20', '0.15', '0.15', '0.10']",M-2022-9,0.35,0.875,0.4999999999999999,20,8,7
manual,"['0.40', '0.20', '0.15', '0.15', '0.10']",M-2022-11,0.45,0.9,0.6,20,10,9
manual,"['0.40', '0.20', '0.15', '0.15', '0.10']",M-2022-12,0.5,0.8333333333333334,0.625,20,12,10
equal,"['0.20', '0.20', '0.20', '0.20', '0.20']",M-2022-7,0.15,0.6,0.24,20,5,3
equal,"['0.20', '0.20', '0.20', '0.20', '0.20']",M-2022-9,0.35,0.875,0.4999999999999999,20,8,7
equal,"['0.20', '0.20', '0.20', '0.20', '0.20']",M-2022-11,0.45,0.9,0.6,20,10,9
equal,"['0.20', '0.20', '0.20', '0.20', '0.20']",M-2022-12,0.45,0.75,0.5625000000000001,20,12,9
adaptive,"['0.30', '0.00', '0.00', '0.40', '0.30']",M-2022-7,0.2,0.8,0.32000000000000006,20,5,4
adaptive,"['0.30', '0.00', '0.00', '0.40', '0.30']",M-2022-9,0.4,1.0,0.5714285714285715,20,8,8
adaptive,"['0.30', '0.00', '0.00', '0.40', '0.30']",M-2022-11,0.45,0.9,0.6,20,10,9
adaptive,"['0.30', '0.00', '0.00', '0.40', '0.30']",M-2022-12,0.5,0.8333333333333334,0.625,20,12,10
