class,recall,support
0,0.8589473684210527,950
1,0.7109400064164261,3117
2,0.6353996737357259,3678
3,0.9690444145356663,743
4,0.9482163406214039,869
5,0.6981481481481482,1080
6,0.3503562945368171,1684
7,0.21212121212121213,33
8,0.8266199649737302,1142
9,0.16703296703296702,910
10,0.09760956175298804,1004
11,0.1755288736420812,1749
12,0.3155893536121673,263
13,0.5403669724770642,1090
14,0.271602817385329,5821
15,0.7874125874125875,715
16,0.17706576728499157,1186
17,0.9004939163956149,8301
18,0.857822121755398,25658
19,0.521494593651901,22936
20,0.7804444444444445,1125
21,0.7871121718377089,2095
22,0.7523553162853297,743
23,0.8885412592882284,5114
24,0.43187289359653347,4154
25,0.8508942852988222,34385
26,0.022304832713754646,807
27,0.8528015194681862,7371
28,0.26345657781599313,5815
29,0.7660038316707406,30274
30,0.8418604651162791,645
31,0.967436974789916,952
32,0.3196392785571142,998
33,0.5396825396825397,630
34,0.4806451612903226,1240
35,0.667741935483871,930
36,0.2638888888888889,216
37,0.8521939953810623,866
38,0.05181347150259067,193
39,0.9638634842739238,4483
40,0.4871099050203528,737
41,0.6485330073349633,1636
42,0.2853185595567867,1444
43,0.8032128514056225,1992
44,0.9102455546147333,1181
45,0.7785372522214627,1463
46,0.630188679245283,7420
47,0.0,618
48,0.0008925914906277894,3361
49,0.8057218895542249,31563
50,0.13023560209424084,1528
51,0.9335337054529841,11645
52,0.6671899529042387,1274
53,0.8163487738419618,5505
54,0.20955954967410625,5063
55,0.5045532857494462,4063
56,0.00041196341764851283,12137
57,0.9725439725439725,2331
58,0.0,15
59,0.9875621890547264,6030
60,0.8679412356610988,24845
61,0.870020964360587,10494
62,0.9525888958203369,11221
63,0.66442097596504,5492
64,0.8452674897119341,1215
65,0.9502840909090909,2112
66,0.0010230179028132991,1955
67,0.1528127623845508,1191
68,0.8851540616246498,2499
69,0.00482315112540193,1866
70,0.2511013215859031,908
71,0.8484556474108638,39434
72,0.5972246313963573,5765
73,0.9207572837546764,8821
74,0.486922406277245,2294
75,0.36991332451887765,6807
76,0.8859485650391353,2683
77,0.6887527839643652,17960
78,0.7527815732968963,10246
79,0.6299149840595112,7528
80,0.22274881516587677,1055
81,0.9410933081998115,2122
82,0.7516226114072302,27579
83,0.9062516000204802,19531
84,0.8457899716177862,1057
85,0.6971428571428572,350
86,0.7919137999209174,20232
87,0.9497626582278481,5056
88,0.5301204819277109,83
89,0.8010610079575596,377
90,0.9575980392156863,4080
91,0.916452442159383,2334
92,0.7845982142857143,896
93,0.7950967879174644,18804
94,0.55,760
95,0.9811090798293723,3282
96,0.6118726583357638,44573
97,0.7724278027890633,18214
98,0.9942549885508669,48912
99,0.8791458920442229,18452
100,0.7171547632827874,17278
101,0.5692285923165814,42403
102,0.9585071534563373,35717
103,0.38589211618257263,1446
104,0.00974770642201835,1744
105,0.34156378600823045,3159
106,0.9432799013563502,1622
107,0.9776908023483366,2555
108,0.8914706715783508,3529
109,0.0,393
110,0.8474426807760141,5670
111,0.30985915492957744,1136
112,0.5466297322253001,1083
113,0.9647453833240067,3574
114,0.8957189901207464,911
115,0.7780218400903728,15934
116,0.711104331909701,3278
117,0.7460584437648657,58860
118,0.5564610011641443,2577
119,0.8683446272991288,1033
120,0.824360105913504,1133
121,0.0,16
122,0.8031333283518892,40149
123,0.32647462277091904,1458
124,0.8530052611999788,18817
125,0.8985890652557319,2268
126,0.821483771251932,2588
127,0.6434204041399705,4058
128,0.9621069604944907,3721
129,0.5850464279963502,18631
130,0.8670420095279342,4618
131,0.9253227870187275,17194
132,0.8811386839555854,13419
133,0.9643823529411765,34000
134,0.9877322749413675,5543
135,0.5443376068376068,1872
136,0.7886634009797061,12861
137,0.5,1286
138,0.5374139010644959,12776
139,0.1736896197327852,973
140,0.7276743748824968,21276
141,0.6166394779771615,1226
142,0.755079006772009,15948
143,0.35091743119266056,3052
144,0.9832377591530658,2267
145,0.9921671018276762,1149
146,0.7993589743589744,4680
147,0.5912087912087912,2730
148,0.835568669527897,3728
149,0.7013312817768264,29896
150,0.6088303640588691,1291
151,0.8337155963302753,872
152,0.6090534979423868,729
153,0.7830505613235418,59235
154,0.5048335123523093,1862
155,0.6700884955752212,5650
156,0.8908370044052863,11350
157,0.81875,800
158,0.795458641196612,5549
159,0.3488505747126437,1740
160,0.7318702290076335,1048
161,0.7005988023952096,334
162,0.6101694915254238,59
163,0.015508328546812177,1741
164,0.6749555950266429,1689
165,0.7578673080777711,4989
166,0.5073569482288829,1835
167,0.21818181818181817,55
168,0.802653399668325,4221
169,0.9540612516644474,1502
170,0.6758872651356994,1916
171,0.6438918396909705,4142
172,0.6520331054336093,5558
173,0.6359918200408998,978
174,0.0,1507
175,0.66867415323311,22084
176,0.49112709832134294,2085
177,0.7833482542524619,1117
