period,true_class,pred_class,rank_for_class,confusion_count,confusion_rate,delta_count_from_ref,delta_rate_from_ref
W-2022-45,71,98,1,122,0.35777126099706746,0.0,0.0
W-2022-45,71,18,2,33,0.0967741935483871,0.0,0.0
W-2022-45,71,91,3,30,0.08797653958944282,0.0,0.0
W-2022-45,71,97,4,23,0.06744868035190615,0.0,0.0
W-2022-45,71,77,5,21,0.06158357771260997,0.0,0.0
W-2022-46,71,98,1,43,0.36134453781512604,-79.0,0.0035732768180585794
W-2022-46,71,18,2,11,0.09243697478991597,-22.0,-0.004337218758471123
W-2022-46,71,97,3,8,0.06722689075630252,-15.0,-0.00022178959560363587
W-2022-46,71,67,4,6,0.05042016806722689,-5.0,0.01816210355109786
W-2022-46,71,77,5,6,0.05042016806722689,-15.0,-0.01116340964538308
W-2022-47,71,98,1,460,0.3205574912891986,338.0,-0.03721376970786888
W-2022-47,71,91,2,225,0.156794425087108,195.0,0.06881788549766518
W-2022-47,71,18,3,212,0.14773519163763066,179.0,0.050960998089243564
W-2022-47,71,77,4,96,0.06689895470383275,75.0,0.005315376991222781
W-2022-47,71,67,5,82,0.05714285714285714,71.0,0.02488479262672811
