class_id,reference_support,reference_recall,reference_f1,final_support,final_recall,final_f1,delta_final_recall_from_ref,delta_final_f1_from_ref,min_recall,first_collapse_period,first_collapse_recall,collapse_pattern,num_supported_periods,num_collapsed_periods,recall_slope_per_period,final_top_confusion_target,final_top_confusion_rate,first_collapse_top_confusion_target,first_collapse_top_confusion_rate
56,10094,0.9524469982167625,0.9605355180337696,12137,0.00041196341764851283,0.0007871536523929471,-0.952035034799114,-0.9597483643813767,0.0002938295788442703,M-2022-5,0.018246272547179646,abrupt,9,8,-0.06441997339023686,96,0.25236878965147896,96,0.36252736940882074
163,3156,0.3659695817490494,0.4535637149028078,1741,0.015508328546812177,0.025738798856053385,-0.35046125320223726,-0.4278249160467544,0.008684324793747287,M-2022-5,0.07558609539207761,gradual,9,8,-0.028046276284371983,46,0.41815048822515793,46,0.3468067906224737
174,4246,0.9500706547338672,0.9677341969533405,1507,0.0,0.0,-0.9500706547338672,-0.9677341969533405,0.0,M-2022-7,0.0,abrupt,9,6,-0.13901517675482716,2,0.291970802919708,2,0.21649484536082475
48,5001,0.9944011197760448,0.9893564110215856,3361,0.0008925914906277894,0.0017709563164108619,-0.993508528285417,-0.9875854547051747,0.0,M-2022-7,0.09626500666963095,abrupt,9,6,-0.15053774437853315,14,0.389764950907468,6,0.4735437972432192
50,4546,0.5846898372195336,0.6881553398058252,1528,0.13023560209424084,0.186155285313377,-0.45445423512529276,-0.5020000544924482,0.016355140186915886,M-2022-7,0.016355140186915886,abrupt,9,3,-0.05790267088687975,124,0.11780104712041885,128,0.28582554517133957
38,77,0.6753246753246753,0.7703703703703704,193,0.05181347150259067,0.08968609865470852,-0.6235112038220847,-0.6806842717156618,0.030832476875642344,M-2022-8,0.030832476875642344,abrupt,9,2,-0.08001007294035917,45,0.46113989637305697,45,0.8602261048304214
121,2543,0.9476995674400315,0.9521928091663374,16,0.0,0.0,-0.9476995674400315,-0.9521928091663374,0.00975609756097561,M-2022-9,0.012121212121212121,gradual,5,2,-0.1750905212331554,14,0.4375,14,0.7515151515151515
69,879,0.8020477815699659,0.8274647887323944,1866,0.00482315112540193,0.008430913348946136,-0.797224630444564,-0.8190338753834482,0.00482315112540193,M-2022-9,0.04643962848297214,abrupt,9,4,-0.1270541902530777,105,0.3767416934619507,125,0.32507739938080493
104,3363,0.6286054118346714,0.7134660816739791,1744,0.00974770642201835,0.016456921587608905,-0.6188577054126531,-0.6970091600863701,0.00974770642201835,M-2022-9,0.027627035027133696,gradual,9,4,-0.06239217684865956,2,0.2121559633027523,117,0.2101628021706956
47,3839,0.9700442823651992,0.9816791880848821,618,0.0,0.0,-0.9700442823651992,-0.9816791880848821,0.0,M-2022-11,0.0,gradual,6,2,-0.14582703037333886,5,0.45145631067961167,6,0.3493975903614458
66,5149,0.9201786754709652,0.8980288097043214,1955,0.0010230179028132991,0.001658374792703151,-0.9191556575681519,-0.8963704349116183,0.0010230179028132991,M-2022-11,0.003354681305275999,abrupt,9,2,-0.11116409966812371,71,0.13861892583120206,142,0.35346142116498935
10,2020,0.8128712871287128,0.8247112004018081,1004,0.09760956175298804,0.16184971098265896,-0.7152617253757247,-0.6628614894191491,0.09760956175298804,M-2022-11,0.09911678115799803,gradual,9,2,-0.09985437289169699,156,0.3645418326693227,156,0.34739941118743867
7,36,0.6666666666666666,0.676056338028169,33,0.21212121212121213,0.125,-0.4545454545454545,-0.551056338028169,0.057692307692307696,M-2022-11,0.057692307692307696,gradual,2,1,-0.07852564102564101,5,0.48484848484848486,5,0.7884615384615384
109,1867,0.9480449919657205,0.9493161705551086,393,0.0,0.0,-0.9480449919657205,-0.9493161705551086,0.0,M-2022-12,0.0,abrupt,9,1,-0.07919733491097865,71,0.24936386768447838,71,0.24936386768447838
26,2293,0.8839947666812037,0.8592623993217465,807,0.022304832713754646,0.024539877300613498,-0.8616899339674491,-0.8347225220211331,0.022304832713754646,M-2022-12,0.022304832713754646,abrupt,9,1,-0.05792845177109737,13,0.21561338289962825,13,0.21561338289962825
58,2286,0.9908136482939632,0.9914642153644123,15,0.0,0.0,-0.9908136482939632,-0.9914642153644123,0.9803921568627451,,,not_collapsed,8,0,-0.0007565252142570365,51,0.7333333333333333,,
67,854,0.3758782201405152,0.4533898305084746,1191,0.1528127623845508,0.1558219178082192,-0.2230654577559644,-0.2975679127002554,0.14952153110047847,,,not_collapsed,9,0,-0.034765784618689316,46,0.26700251889168763,,
9,1547,0.6108597285067874,0.660377358490566,910,0.16703296703296702,0.23937007874015748,-0.4438267614738204,-0.4210072797504085,0.16703296703296702,,,not_collapsed,9,0,-0.06681168172739001,89,0.13736263736263737,,
139,2846,0.7347153900210822,0.7053466014504975,973,0.1736896197327852,0.16774193548387098,-0.561025770288297,-0.5376046659666266,0.1736896197327852,,,not_collapsed,9,0,-0.06100641983229819,133,0.1510791366906475,,
11,1685,0.7804154302670623,0.7888422315536893,1749,0.1755288736420812,0.22343522561863174,-0.604886556624981,-0.5654070059350575,0.16890343698854338,,,not_collapsed,9,0,-0.10033761749716798,153,0.2550028587764437,,
16,2008,0.39143426294820716,0.5181278839815425,1186,0.17706576728499157,0.22592791823561054,-0.21436849566321559,-0.292199965745932,0.12288401253918495,,,not_collapsed,9,0,-0.027781159001134467,61,0.1281618887015177,,
54,6663,0.794987242983641,0.8164932562620424,5063,0.20955954967410625,0.3268134914523333,-0.5854276933095347,-0.4896797648097091,0.20624690133862172,,,not_collapsed,9,0,-0.06204099955439661,149,0.6336164329448943,,
167,668,0.8502994011976048,0.8881939014855356,55,0.21818181818181817,0.11009174311926606,-0.6321175830157867,-0.7781021583662695,0.14864864864864866,,,not_collapsed,6,0,-0.09819588173724836,14,0.32727272727272727,,
80,6096,0.7791994750656168,0.822795773428027,1055,0.22274881516587677,0.31480241125251174,-0.5564506598997401,-0.5079933621755153,0.21269095182138661,,,not_collapsed,9,0,-0.05967326608336167,175,0.43886255924170614,,
70,2642,0.6669190007570023,0.7456622936944562,908,0.2511013215859031,0.36075949367088606,-0.4158176791710992,-0.3849028000235702,0.2511013215859031,,,not_collapsed,9,0,-0.057967865270748466,71,0.23788546255506607,,
28,16366,0.8812782598069168,0.8738034654065189,5815,0.26345657781599313,0.3217811384162991,-0.6178216819909237,-0.5520223269902198,0.26345657781599313,,,not_collapsed,9,0,-0.07793004322792908,49,0.1826311263972485,,
36,826,0.8861985472154964,0.7254707631318137,216,0.2638888888888889,0.3619047619047619,-0.6223096583266075,-0.3635660012270518,0.2638888888888889,,,not_collapsed,9,0,-0.04550690955094921,104,0.17592592592592593,,
14,10401,0.7543505432169983,0.7850710426255754,5821,0.271602817385329,0.2579329472224488,-0.48274772583166936,-0.5271380954031266,0.271602817385329,,,not_collapsed,9,0,-0.059752256626640125,129,0.20666552138807764,,
42,1839,0.8123980424143556,0.8443063012150325,1444,0.2853185595567867,0.40711462450592883,-0.5270794828575689,-0.43719167670910364,0.2323943661971831,,,not_collapsed,9,0,-0.07475795776690158,160,0.5173130193905817,,
111,2817,0.6109336173233937,0.6628153283265935,1136,0.30985915492957744,0.26626323751891073,-0.30107446239381624,-0.3965520908076828,0.30985915492957744,,,not_collapsed,9,0,-0.0317898105636775,16,0.10299295774647887,,
12,2788,0.8371592539454806,0.8371592539454806,263,0.3155893536121673,0.23184357541899442,-0.5215699003333134,-0.6053156785264862,0.1856594110115237,,,not_collapsed,9,0,-0.07538235552176137,156,0.20912547528517111,,
32,2331,0.6344916344916345,0.6773528738264255,998,0.3196392785571142,0.3008015087223008,-0.31485235593452027,-0.3765513651041247,0.3196392785571142,,,not_collapsed,9,0,-0.03107911711641628,153,0.16733466933867736,,
