period,true_class,pred_class,rank_for_class,confusion_count,confusion_rate,delta_count_from_ref,delta_rate_from_ref
M-2022-4,104,115,1,401,0.1192387749033601,0.0,0.0
M-2022-4,104,116,2,142,0.04222420457924472,0.0,0.0
M-2022-4,104,133,3,109,0.03241153731787095,0.0,0.0
M-2022-4,104,149,4,56,0.016651798988997917,0.0,0.0
M-2022-4,104,28,5,40,0.011894142134998514,0.0,0.0
M-2022-4,7,14,1,4,0.1111111111111111,0.0,0.0
M-2022-4,7,5,2,3,0.08333333333333333,0.0,0.0
M-2022-4,7,6,3,2,0.05555555555555555,0.0,0.0
M-2022-4,7,2,4,1,0.027777777777777776,0.0,0.0
M-2022-4,7,96,5,1,0.027777777777777776,0.0,0.0
M-2022-4,38,68,1,8,0.1038961038961039,0.0,0.0
M-2022-4,38,126,2,5,0.06493506493506493,0.0,0.0
M-2022-4,38,25,3,2,0.025974025974025976,0.0,0.0
M-2022-4,38,81,4,1,0.012987012987012988,0.0,0.0
M-2022-4,38,83,5,1,0.012987012987012988,0.0,0.0
M-2022-4,50,25,1,467,0.10272767267927849,0.0,0.0
M-2022-4,50,28,2,216,0.0475142982842059,0.0,0.0
M-2022-4,50,117,3,128,0.028156621205455347,0.0,0.0
M-2022-4,50,153,4,128,0.028156621205455347,0.0,0.0
M-2022-4,50,138,5,68,0.014958205015398152,0.0,0.0
M-2022-4,163,46,1,290,0.09188846641318124,0.0,0.0
M-2022-4,163,130,2,213,0.06749049429657794,0.0,0.0
M-2022-4,163,25,3,189,0.05988593155893536,0.0,0.0
M-2022-4,163,9,4,82,0.025982256020278833,0.0,0.0
M-2022-4,163,26,5,80,0.025348542458808618,0.0,0.0
M-2022-4,10,12,1,108,0.053465346534653464,0.0,0.0
M-2022-4,10,156,2,62,0.030693069306930693,0.0,0.0
M-2022-4,10,25,3,37,0.018316831683168316,0.0,0.0
M-2022-4,10,138,4,25,0.012376237623762377,0.0,0.0
M-2022-4,10,117,5,18,0.00891089108910891,0.0,0.0
M-2022-4,69,104,1,28,0.03185437997724687,0.0,0.0
M-2022-4,69,28,2,19,0.02161547212741752,0.0,0.0
M-2022-4,69,29,3,12,0.013651877133105802,0.0,0.0
M-2022-4,69,105,4,12,0.013651877133105802,0.0,0.0
M-2022-4,69,115,5,12,0.013651877133105802,0.0,0.0
M-2022-4,174,117,1,98,0.023080546396608573,0.0,0.0
M-2022-4,174,71,2,19,0.004474799811587376,0.0,0.0
M-2022-4,174,100,3,14,0.003297220913801225,0.0,0.0
M-2022-4,174,150,4,12,0.002826189354686764,0.0,0.0
M-2022-4,174,149,5,9,0.002119642016015073,0.0,0.0
M-2022-4,109,107,1,42,0.022495982860203535,0.0,0.0
M-2022-4,109,65,2,35,0.018746652383502947,0.0,0.0
M-2022-4,109,106,3,3,0.0016068559185859668,0.0,0.0
M-2022-4,109,117,4,2,0.0010712372790573112,0.0,0.0
M-2022-4,109,130,5,2,0.0010712372790573112,0.0,0.0
M-2022-4,56,87,1,222,0.021993263324747374,0.0,0.0
M-2022-4,56,101,2,79,0.007826431543491183,0.0,0.0
M-2022-4,56,96,3,28,0.0027739251040221915,0.0,0.0
M-2022-4,56,130,4,23,0.0022785813354468,0.0,0.0
M-2022-4,56,14,5,17,0.0016841688131563305,0.0,0.0
M-2022-4,121,119,1,55,0.02162799842705466,0.0,0.0
M-2022-4,121,124,2,30,0.011797090051120724,0.0,0.0
M-2022-4,121,120,3,14,0.005505308690523005,0.0,0.0
M-2022-4,121,96,4,8,0.0031458906802988595,0.0,0.0
M-2022-4,121,71,5,4,0.0015729453401494297,0.0,0.0
M-2022-4,47,48,1,65,0.016931492576191715,0.0,0.0
M-2022-4,47,96,2,13,0.003386298515238343,0.0,0.0
M-2022-4,47,28,3,9,0.0023443605105496223,0.0,0.0
M-2022-4,47,53,4,7,0.0018233915082052619,0.0,0.0
M-2022-4,47,117,5,3,0.0007814535035165407,0.0,0.0
M-2022-4,26,13,1,30,0.013083296990841693,0.0,0.0
M-2022-4,26,46,2,23,0.01003052769297863,0.0,0.0
M-2022-4,26,136,3,18,0.007849978194505015,0.0,0.0
M-2022-4,26,117,4,12,0.005233318796336677,0.0,0.0
M-2022-4,26,155,5,11,0.004797208896641954,0.0,0.0
M-2022-4,66,133,1,52,0.010099048358904641,0.0,0.0
M-2022-4,66,115,2,38,0.007380073800738007,0.0,0.0
M-2022-4,66,140,3,23,0.004466886774130899,0.0,0.0
M-2022-4,66,129,4,19,0.0036900369003690036,0.0,0.0
M-2022-4,66,141,5,19,0.0036900369003690036,0.0,0.0
M-2022-4,48,47,1,7,0.0013997200559888023,0.0,0.0
M-2022-4,48,149,2,4,0.0007998400319936012,0.0,0.0
M-2022-4,48,96,3,3,0.0005998800239952009,0.0,0.0
M-2022-4,48,27,4,2,0.0003999200159968006,0.0,0.0
M-2022-4,48,83,5,2,0.0003999200159968006,0.0,0.0
M-2022-5,56,96,1,3477,0.36252736940882074,3449.0,0.35975344430479855
M-2022-5,56,165,2,1492,0.15556250651652592,1488.0,0.1551662315016656
M-2022-5,56,87,3,1325,0.13815034928578876,1103.0,0.11615708596104138
M-2022-5,56,118,4,714,0.07444479199249296,699.0,0.07295876068676678
M-2022-5,56,14,5,426,0.04441664060056303,409.0,0.042732471787406696
M-2022-5,163,46,1,858,0.3468067906224737,568.0,0.2549183242092925
M-2022-5,163,26,2,265,0.10711398544866613,185.0,0.08176544298985751
M-2022-5,163,155,3,150,0.060630557801131774,88.0,0.040985437395555095
M-2022-5,163,143,4,93,0.037590945836701695,38.0,0.02016382289627077
M-2022-5,163,25,5,68,0.0274858528698464,-121.0,-0.03240007868908896
M-2022-5,104,115,1,909,0.2941747572815534,508.0,0.1749359823781933
M-2022-5,104,116,2,360,0.11650485436893204,218.0,0.07428064978968732
M-2022-5,104,133,3,293,0.09482200647249191,184.0,0.06241046915462096
M-2022-5,104,149,4,131,0.042394822006472495,75.0,0.025743023017474578
M-2022-5,104,162,5,88,0.0284789644012945,51.0,0.017476882926420877
M-2022-5,7,5,1,27,0.25961538461538464,24.0,0.17628205128205132
M-2022-5,7,6,2,15,0.14423076923076922,13.0,0.08867521367521367
M-2022-5,7,14,3,4,0.038461538461538464,0.0,-0.07264957264957264
M-2022-5,7,170,4,2,0.019230769230769232,2.0,0.019230769230769232
M-2022-5,7,177,5,1,0.009615384615384616,1.0,0.009615384615384616
M-2022-5,38,126,1,14,0.11965811965811966,9.0,0.054723054723054734
M-2022-5,38,86,2,6,0.05128205128205128,6.0,0.05128205128205128
M-2022-5,38,68,3,4,0.03418803418803419,-4.0,-0.06970806970806971
M-2022-5,38,61,4,2,0.017094017094017096,2.0,0.017094017094017096
M-2022-5,38,63,5,2,0.017094017094017096,2.0,0.017094017094017096
M-2022-5,50,138,1,842,0.11338540263937517,774.0,0.09842719762397702
M-2022-5,50,29,2,732,0.09857258281712901,722.0,0.09637284678545281
M-2022-5,50,127,3,398,0.05359547535685429,394.0,0.05271558094418381
M-2022-5,50,122,4,312,0.04201454349582548,260.0,0.030575916131109243
M-2022-5,50,117,5,192,0.025855103689738757,64.0,-0.0023015175157165904
M-2022-5,10,12,1,141,0.06023067065356685,33.0,0.006765324118913389
M-2022-5,10,156,2,51,0.021785561725758223,-11.0,-0.00890750758117247
M-2022-5,10,138,3,45,0.019222554463904314,20.0,0.006846316840141937
M-2022-5,10,125,4,20,0.00854335753951303,8.0,0.0026027634801070888
M-2022-5,10,117,5,17,0.007261853908586074,-1.0,-0.0016490371805228362
M-2022-5,121,119,1,103,0.041649818034775576,48.0,0.020021819607720915
M-2022-5,121,120,2,60,0.02426202992317024,46.0,0.018756721232647235
M-2022-5,121,115,3,35,0.014152850788515973,35.0,0.014152850788515973
M-2022-5,121,124,4,25,0.010109179134654266,-5.0,-0.0016879109164664573
M-2022-5,121,116,5,11,0.004448038819247877,11.0,0.004448038819247877
M-2022-5,69,104,1,34,0.039673278879813305,6.0,0.007818898902566436
M-2022-5,69,105,2,21,0.024504084014002333,9.0,0.01085220688089653
M-2022-5,69,112,3,11,0.012835472578763127,3.0,0.0037342211566925923
M-2022-5,69,25,4,9,0.010501750291715286,4.0,0.004813468152921202
M-2022-5,69,28,5,8,0.009334889148191364,-11.0,-0.012280582979226157
M-2022-5,174,117,1,166,0.03855085926614027,68.0,0.015470312869531697
M-2022-5,174,100,2,22,0.005109150023223409,8.0,0.0018119291094221843
M-2022-5,174,150,3,19,0.004412447747329308,7.0,0.0015862583926425436
M-2022-5,174,71,4,17,0.003947979563399907,-2.0,-0.0005268202481874687
M-2022-5,174,119,5,9,0.0020901068276823038,8.0,0.0018545910481250734
M-2022-5,66,115,1,229,0.035344960642074395,191.0,0.027964886841336387
M-2022-5,66,133,2,111,0.017132273498996757,59.0,0.007033225140092116
M-2022-5,66,143,3,73,0.011267170859700571,71.0,0.010878745922819623
M-2022-5,66,32,4,64,0.009878067603025158,57.0,0.008518580323941842
M-2022-5,66,140,5,39,0.006019447445593456,16.0,0.0015525606714625571
M-2022-5,109,65,1,64,0.028712427097353072,29.0,0.009965774713850125
