period,class_id,support,precision,recall,f1,delta_recall_from_ref,delta_f1_from_ref,is_collapsed,top_confusion_target,top_confusion_count,top_confusion_rate
M-2022-4,0,1414,0.9046951646811493,0.9130127298444131,0.908834917282647,0.0,0.0,0,25,28,0.019801980198019802
M-2022-5,0,1621,0.9164603960396039,0.9136335595311537,0.9150447945628668,0.0006208296867405982,0.006209877280219822,0,82,28,0.01727328809376928
M-2022-6,0,1356,0.8956965718453683,0.9056047197640118,0.9006233956729006,-0.007408010080401262,-0.008211521609746364,0,25,32,0.02359882005899705
M-2022-7,0,627,0.8763358778625954,0.9154704944178629,0.8954758190327613,0.0024577645734498166,-0.013359098249885681,0,25,13,0.02073365231259968
M-2022-8,0,862,0.9112903225806451,0.9176334106728539,0.9144508670520232,0.004620680828440804,0.005615949769376183,0,129,9,0.010440835266821345
M-2022-9,0,1520,0.9164420485175202,0.8947368421052632,0.9054593874833555,-0.0182758877391499,-0.0033755297992914546,0,82,48,0.031578947368421054
M-2022-10,0,1642,0.9252396166134186,0.881851400730816,0.9030246336139695,-0.031161329113597036,-0.0058102836686775294,0,82,52,0.031668696711327646
M-2022-11,0,1567,0.9065969954278249,0.8857689853222719,0.8960619754680439,-0.027243744522141178,-0.01277294181460309,0,82,46,0.029355456285896617
M-2022-12,0,950,0.9036544850498339,0.8589473684210527,0.8807339449541285,-0.05406536142336038,-0.028100972328518492,0,82,34,0.035789473684210524
M-2022-4,1,10792,0.961175136973361,0.9428280207561156,0.9519131817756572,0.0,0.0,0,153,70,0.0064862861378799114
M-2022-5,1,10263,0.9483921415306422,0.9454350579752508,0.946911291109593,0.0026070372191352442,-0.005001890666064157,0,153,65,0.0063334307707298065
M-2022-6,1,9294,0.9525777681096367,0.9423283839035937,0.9474253569883168,-0.0004996368525218564,-0.004487824787340444,0,116,73,0.007854529804174736
M-2022-7,1,5041,0.9311765917988872,0.8964491172386432,0.9134829189407722,-0.046378903517472425,-0.03843026283488504,0,116,81,0.01606824042848641
M-2022-8,1,5146,0.8605823068309071,0.8960357559269335,0.877951256664128,-0.046792264829182084,-0.07396192511152921,0,116,97,0.018849591916051303
M-2022-9,1,3720,0.8276704962111953,0.9102150537634408,0.8669824606324414,-0.0326129669926748,-0.08493072114321576,0,151,35,0.009408602150537635
M-2022-10,1,4956,0.8567593480345158,0.9015334947538337,0.8785763445088979,-0.041294526002281895,-0.07333683726675932,0,116,46,0.009281678773204197
M-2022-11,1,7396,0.8934010152284264,0.9042725797728501,0.898803924203736,-0.038555440983265465,-0.0531092575719212,0,116,145,0.019605191995673336
M-2022-12,1,3117,0.7545114061967995,0.7109400064164261,0.7320779649818302,-0.23188801433968953,-0.219835216793827,0,2,86,0.027590632017965994
M-2022-4,2,7583,0.7204069934078533,0.6629302386918107,0.6904745553190028,0.0,0.0,0,117,373,0.049188975339575364
M-2022-5,2,8750,0.7628157959283787,0.7108571428571429,0.7359204921911974,0.047926904165332185,0.04544593687219456,0,117,341,0.038971428571428574
M-2022-6,2,7505,0.7428906861466215,0.7588274483677548,0.7507745039878716,0.09589720967594417,0.060299948668868786,0,117,283,0.03770819453697535
M-2022-7,2,4913,0.6682960893854749,0.7791573376755546,0.7194812517620525,0.11622709898374395,0.02900669644304965,0,117,173,0.035212700997353956
M-2022-8,2,5944,0.624072187454519,0.721399730820996,0.6692157627779945,0.058469492129185285,-0.021258792541008265,0,117,308,0.051816958277254375
M-2022-9,2,5358,0.5021926722308672,0.6625606569615529,0.571336605777742,-0.0003695817302578064,-0.11913794954126078,0,117,232,0.04329973870847331
M-2022-10,2,5086,0.40220765781303897,0.6877703499803381,0.5075818036711891,0.024840111288527478,-0.1828927516478137,0,117,175,0.034408179315768776
M-2022-11,2,7710,0.46429763096429766,0.7219195849546044,0.5651335160930043,0.05898934626279373,-0.12534103922599849,0,117,293,0.038002594033722435
M-2022-12,2,3678,0.38136422976501305,0.6353996737357259,0.47664695084642056,-0.027530564956084747,-0.21382760447258226,0,156,173,0.04703643284393692
M-2022-4,3,1593,0.9379267535692116,0.9485247959824231,0.9431960049937578,0.0,0.0,0,2,28,0.017576898932831136
M-2022-5,3,1684,0.8531618435155413,0.9453681710213777,0.8969014084507042,-0.0031566249610454067,-0.04629459654305357,0,2,40,0.023752969121140142
M-2022-6,3,1306,0.6410126582278481,0.9693721286370597,0.7717159402621152,0.020847332654636563,-0.17148006473164257,0,94,6,0.004594180704441042
M-2022-7,3,814,0.5692857142857143,0.9791154791154791,0.7199638663053297,0.030590683133056018,-0.22323213868842806,0,140,4,0.004914004914004914
M-2022-8,3,961,0.7017024426350851,0.9864724245577523,0.8200692041522492,0.037947628575329184,-0.12312680084150862,0,17,1,0.001040582726326743
M-2022-9,3,1029,0.7961321514907332,0.9601554907677357,0.8704845814977974,0.011630694785312534,-0.07271142349596038,0,140,7,0.006802721088435374
M-2022-10,3,1139,0.8167655786350149,0.9666374012291484,0.8854041013268998,0.01811260524672531,-0.057791903666857936,0,53,5,0.004389815627743635
M-2022-11,3,1321,0.7635919364691509,0.9462528387585163,0.8451656524678837,-0.0022719572239068286,-0.09803035252587411,0,53,16,0.012112036336109008
M-2022-12,3,743,0.8551068883610451,0.9690444145356663,0.9085173501577287,0.020519618553243135,-0.034678654836029055,0,94,4,0.005383580080753701
M-2022-4,4,3737,0.9523684899241036,0.9737757559539738,0.9629531622122255,0.0,0.0,0,28,9,0.002408348943002408
M-2022-5,4,4052,0.9586374695863747,0.9723593287265548,0.9654496446949277,-0.0014164272274189704,0.002496482482702178,0,94,14,0.0034550839091806516
M-2022-6,4,3168,0.9281454979129398,0.9826388888888888,0.9546151487273843,0.00886313293491503,-0.0083380134848412,0,28,9,0.002840909090909091
M-2022-7,4,1306,0.8729050279329609,0.9571209800918836,0.9130752373995618,-0.016654775862090188,-0.04987792481266373,0,94,31,0.023736600306278714
M-2022-8,4,537,0.7709580838323353,0.9590316573556797,0.8547717842323651,-0.014744098598294064,-0.10818137797986038,0,107,5,0.00931098696461825
M-2022-9,4,1001,0.8570167696381289,0.97002997002997,0.9100281162136832,-0.003745785924003764,-0.05292504599854231,0,94,6,0.005994005994005994
M-2022-10,4,972,0.8296557811120918,0.9670781893004116,0.8931116389548693,-0.006697566653562248,-0.06984152325735615,0,107,8,0.00823045267489712
M-2022-11,4,1300,0.6075322101090188,0.943076923076923,0.7389993972272453,-0.030698832877050775,-0.2239537649849802,0,170,17,0.013076923076923076
M-2022-12,4,869,0.6099185788304959,0.9482163406214039,0.7423423423423423,-0.02555941533256989,-0.22061081986988318,0,107,8,0.009205983889528193
M-2022-4,5,2093,0.9365671641791045,0.9593884376493073,0.9478404531508142,0.0,0.0,0,6,30,0.01433349259436216
M-2022-5,5,2200,0.8490642799023597,0.9486363636363636,0.8960927436668098,-0.010752074012943647,-0.05174770948400442,0,6,32,0.014545454545454545
M-2022-6,5,1778,0.46020573903627504,0.9561304836895388,0.6213450292397661,-0.003257953959768467,-0.32649542391104813,0,6,21,0.011811023622047244
M-2022-7,5,949,0.4429637526652452,0.8756585879873551,0.5883185840707965,-0.08372984966195218,-0.3595218690800177,0,14,35,0.0368809272918862
M-2022-8,5,2001,0.5752364574376613,0.6686656671664168,0.6184423388028657,-0.2907227704828904,-0.3293981143479485,0,14,257,0.12843578210894552
M-2022-9,5,2682,0.5613440197287299,0.6789709172259508,0.6145798177522781,-0.28041752042335644,-0.3332606353985361,0,14,344,0.12826249067859807
M-2022-10,5,2902,0.532555615843733,0.6764300482425913,0.5959319975713419,-0.2829583894067159,-0.35190845557947237,0,14,369,0.12715368711233632
M-2022-11,5,2225,0.4620051085568327,0.6503370786516854,0.5402277394063841,-0.3090513589976218,-0.4076127137444301,0,14,220,0.09887640449438202
M-2022-12,5,1080,0.31640788921527485,0.6981481481481482,0.4354605833092694,-0.2612402895011591,-0.5123798698415448,0,14,104,0.0962962962962963
M-2022-4,6,2729,0.9723736822973464,0.9802125320630267,0.9762773722627737,0.0,0.0,0,5,33,0.012092341517039208
M-2022-5,6,2812,0.9679783950617284,0.8922475106685633,0.9285714285714286,-0.08796502139446338,-0.047705943691345065,0,5,277,0.09850640113798008
M-2022-6,6,2765,0.7159468438538206,0.311754068716094,0.4343663391282439,-0.6684584633469327,-0.5419110331345298,0,5,1882,0.6806509945750452
M-2022-7,6,1455,0.17620481927710843,0.3216494845360825,0.22768182923862806,-0.6585630475269442,-0.7485955430241455,0,5,976,0.6707903780068728
M-2022-8,6,1603,0.17114192977279433,0.3618215845290081,0.23237179487179488,-0.6183909475340186,-0.7439055773909788,0,5,896,0.5589519650655022
M-2022-9,6,1625,0.24173131890567578,0.36430769230769233,0.29062346588119786,-0.6159048397553344,-0.6856539063815759,0,5,912,0.5612307692307692
M-2022-10,6,2429,0.33285968028419183,0.3857554549197201,0.35736079328756676,-0.5944570771433066,-0.6189165789752069,0,5,1308,0.5384932070811034
M-2022-11,6,2352,0.46554288547347544,0.399234693877551,0.42984664682993823,-0.5809778381854758,-0.5464307254328354,0,5,1200,0.5102040816326531
M-2022-12,6,1684,0.6045081967213115,0.3503562945368171,0.44360902255639095,-0.6298562375262096,-0.5326683497063827,0,5,942,0.5593824228028503
M-2022-4,7,36,0.6857142857142857,0.6666666666666666,0.676056338028169,0.0,0.0,0,14,4,0.1111111111111111
M-2022-5,7,104,0.859375,0.5288461538461539,0.6547619047619048,-0.13782051282051277,-0.021294433266264234,0,5,27,0.25961538461538464
M-2022-6,7,30,0.4444444444444444,0.13333333333333333,0.20512820512820512,-0.5333333333333333,-0.4709281328999639,0,5,24,0.8
M-2022-7,7,13,0.7142857142857143,0.38461538461538464,0.5,-0.282051282051282,-0.176056338028169,0,5,6,0.46153846153846156
M-2022-8,7,14,0.5,0.07142857142857142,0.125,-0.5952380952380952,-0.551056338028169,0,5,8,0.5714285714285714
M-2022-9,7,17,0.25,0.058823529411764705,0.09523809523809523,-0.6078431372549019,-0.5808182427900738,0,5,15,0.8823529411764706
M-2022-10,7,39,0.25,0.02564102564102564,0.046511627906976744,-0.641025641025641,-0.6295447101211923,0,5,32,0.8205128205128205
M-2022-11,7,52,0.16666666666666666,0.057692307692307696,0.08571428571428572,-0.6089743589743589,-0.5903420523138833,1,5,41,0.7884615384615384
M-2022-12,7,33,0.08860759493670886,0.21212121212121213,0.125,-0.4545454545454545,-0.551056338028169,0,5,16,0.48484848484848486
M-2022-4,8,1574,0.9174122505161735,0.8468869123252859,0.8807400066072019,0.0,0.0,0,28,47,0.02986022871664549
M-2022-5,8,2060,0.9057097957045573,0.8393203883495146,0.8712522045855379,-0.007566523975771289,-0.009487802021663994,0,28,72,0.03495145631067961
M-2022-6,8,1732,0.8878950506857484,0.8596997690531177,0.8735699618656497,0.012812856727831834,-0.0071700447415521396,0,28,55,0.03175519630484989
