class_id,absorber,support,static_recall,static_f1,margin_recall_mean,margin_recall_std,margin_f1_mean,margin_f1_std,badge_recall_mean,badge_recall_std,badge_f1_mean,badge_f1_std,margin_selected_mean,margin_selected_std,badge_selected_mean,badge_selected_std,status
56,96,12137,0.0004,0.0008,0.7220,0.0297,0.7835,0.0071,0.7930,0.0151,0.8291,0.0186,12.0,0.0,13.6,3.0,recovered
163,46,1741,0.0155,0.0257,0.1434,0.0277,0.1682,0.0212,0.2259,0.1253,0.2353,0.1097,3.0,0.0,4.8,2.0,partial
174,2,1507,0.0000,0.0000,0.1953,0.0049,0.2616,0.0107,0.0288,0.0357,0.0442,0.0538,4.0,0.0,1.6,0.5,partial
48,14,3361,0.0009,0.0018,0.4370,0.0080,0.5678,0.0060,0.7216,0.2093,0.7668,0.1302,4.0,0.0,4.8,1.3,recovered
38,45,193,0.0518,0.0897,0.6558,0.0848,0.4097,0.0512,0.2425,0.2482,0.2095,0.1880,3.0,0.0,1.2,0.7,recovered
69,105,1866,0.0048,0.0084,0.0313,0.0155,0.0421,0.0192,0.1566,0.1817,0.1767,0.1961,3.0,0.0,2.4,1.6,partial
104,2,1744,0.0097,0.0165,0.7035,0.0389,0.6640,0.0279,0.6040,0.1382,0.5943,0.0653,8.0,0.0,3.6,1.4,recovered
47,5,618,0.0000,0.0000,0.0019,0.0016,0.0036,0.0029,0.4043,0.1798,0.4619,0.1505,0.0,0.0,2.2,1.2,recovered
66,71,1955,0.0010,0.0017,0.0014,0.0004,0.0025,0.0007,0.1333,0.1052,0.1436,0.1082,1.0,0.0,4.2,1.9,partial
10,156,1004,0.0976,0.1618,0.0735,0.0269,0.1208,0.0394,0.3890,0.1926,0.4411,0.1725,0.0,0.0,1.8,1.3,recovered
109,71,393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0,1.6,0.5,failed
26,13,807,0.0223,0.0245,0.0347,0.0104,0.0456,0.0099,0.1249,0.1251,0.0871,0.0618,1.0,0.0,2.6,2.2,partial
