strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
margin,200,56,12134,0.6696884786550189,0.6715424982438742,12137,0.6696877317294224,0.6715690324712881
margin,200,163,1741,0.011487650775416428,0.021367521367521368,1741,0.011487650775416428,0.021367521367521368
margin,200,174,1505,0.00132890365448505,0.00140597539543058,1507,0.0013271400132714001,0.0014049877063575693
margin,200,48,3360,0.018154761904761906,0.031995803829006034,3361,0.018446890806307646,0.032503276539973786
margin,200,38,193,0.06217616580310881,0.10619469026548672,193,0.06217616580310881,0.10619469026548672
margin,200,69,1865,0.02520107238605898,0.026651545222568754,1866,0.025187566988210074,0.026643990929705215
margin,200,104,1741,0.7064905226881103,0.47897196261682246,1744,0.7069954128440367,0.4795799299883314
margin,200,47,618,0.0016181229773462784,0.003129890453834116,618,0.0016181229773462784,0.003129890453834116
margin,200,66,1955,0.0020460358056265983,0.0036330608537693005,1955,0.0020460358056265983,0.0036330608537693005
margin,200,10,1004,0.018924302788844622,0.034926470588235295,1004,0.018924302788844622,0.034926470588235295
margin,200,109,393,0.0,0.0,393,0.0,0.0
margin,200,26,807,0.013630731102850062,0.017741935483870968,807,0.013630731102850062,0.017741935483870968
margin,500,56,12134,0.6889731333443218,0.7230582944127314,12137,0.6889676196753728,0.7230749275800943
margin,500,163,1740,0.11264367816091954,0.11607936037903464,1741,0.11315336013785181,0.11660254513169577
margin,500,174,1503,0.1270791749833666,0.06551191905333562,1507,0.12873258128732581,0.06646111682082904
margin,500,48,3360,0.01904761904761905,0.03601575689364097,3361,0.019339482296935436,0.03655793025871766
margin,500,38,192,0.21354166666666666,0.1474820143884892,193,0.21243523316062177,0.14721723518850988
margin,500,69,1864,0.12446351931330472,0.11218568665377177,1866,0.12486602357984995,0.11258758154143512
margin,500,104,1737,0.7150259067357513,0.6249056603773585,1744,0.7161697247706422,0.6262221108047129
margin,500,47,618,0.0,0.0,618,0.0,0.0
margin,500,66,1954,0.0005117707267144319,0.0008302200083022001,1955,0.0005115089514066496,0.0008298755186721991
margin,500,10,1004,0.01593625498007968,0.030476190476190476,1004,0.01593625498007968,0.030476190476190476
margin,500,109,393,0.0,0.0,393,0.0,0.0
margin,500,26,807,0.009913258983890954,0.017241379310344827,807,0.009913258983890954,0.017241379310344827
margin,1000,56,12125,0.772701030927835,0.7377455805346668,12137,0.7729257641921398,0.7379931558037998
margin,1000,163,1738,0.2008055235903337,0.18392621870882742,1741,0.20218265364732912,0.18521441725861615
margin,1000,174,1503,0.1596806387225549,0.16973125884016974,1507,0.1612475116124751,0.17136812411847674
margin,1000,48,3357,0.4682752457551385,0.547068035496781,3361,0.4689080630764653,0.5476976542137272
margin,1000,38,190,0.8736842105263158,0.308263695450325,193,0.8756476683937824,0.3120960295475531
margin,1000,69,1863,0.08749329039184112,0.09711051534107834,1866,0.08842443729903537,0.09815585960737656
margin,1000,104,1736,0.7004608294930875,0.6642993717563507,1744,0.7018348623853211,0.6657601305412021
margin,1000,47,618,0.0,0.0,618,0.0,0.0
margin,1000,66,1954,0.0010235414534288639,0.0017977528089887641,1955,0.0010230179028132991,0.0017969451931716084
margin,1000,10,1004,0.0099601593625498,0.019417475728155338,1004,0.0099601593625498,0.019417475728155338
margin,1000,109,393,0.0,0.0,393,0.0,0.0
margin,1000,26,806,0.03225806451612903,0.044293015332197615,807,0.03345724907063197,0.04591836734693878
