class,group,reference_support,target_support,static_f1,best_proto_f1,delta_f1,static_recall,best_proto_recall,delta_recall
0,other,1414,950,0.8807339449541285,0.8842443729903537,0.003510428036225255,0.8589473684210527,0.868421052631579,0.0094736842105263
1,other,10792,3117,0.7320779649818302,0.7265372168284789,-0.00554074815335126,0.7109400064164261,0.7202438241899262,0.00930381777350009
2,other,7583,3678,0.47664695084642056,0.46794682422451994,-0.008700126621900617,0.6353996737357259,0.6460032626427407,0.010603588907014738
3,other,1593,743,0.9085173501577287,0.8995633187772926,-0.008954031380436156,0.9690444145356663,0.9703903095558546,0.0013458950201883368
4,other,3737,869,0.7423423423423423,0.7342781222320638,-0.00806422011027852,0.9482163406214039,0.953970080552359,0.005753739930955071
5,bad,2093,1080,0.4354605833092694,0.4396694214876033,0.004208838178333896,0.6981481481481482,0.7388888888888889,0.040740740740740744
6,bad,2729,1684,0.44360902255639095,0.4425373134328358,-0.0010717091235551424,0.3503562945368171,0.3521377672209026,0.0017814726840855166
7,other,36,33,0.125,0.1111111111111111,-0.013888888888888895,0.21212121212121213,0.21212121212121213,0.0
8,stable,1574,1142,0.8680459770114942,0.8698010849909584,0.00175510797946421,0.8266199649737302,0.8423817863397548,0.015761821366024553
9,other,1547,910,0.23937007874015748,0.25188536953242835,0.012515290792270872,0.16703296703296702,0.1835164835164835,0.01648351648351648
10,bad,2020,1004,0.16184971098265896,0.19464720194647203,0.03279749096381307,0.09760956175298804,0.11952191235059761,0.02191235059760957
11,bad,1685,1749,0.22343522561863174,0.23144565599718608,0.00801043037855434,0.1755288736420812,0.18810748999428245,0.012578616352201255
12,bad,2788,263,0.23184357541899442,0.22572178477690288,-0.006121790642091535,0.3155893536121673,0.3269961977186312,0.01140684410646392
13,other,2093,1090,0.3990514905149051,0.37229949689257175,-0.02675199362233338,0.5403669724770642,0.5770642201834862,0.03669724770642202
14,bad,10401,5821,0.2579329472224488,0.2549432057214977,-0.002989741500951104,0.271602817385329,0.2602645593540629,-0.01133825803126609
15,stable,751,715,0.8106551475881929,0.8065902578796562,-0.00406488970853669,0.7874125874125875,0.7874125874125875,0.0
16,other,2008,1186,0.22592791823561054,0.21512247071352503,-0.01080544752208551,0.17706576728499157,0.1703204047217538,-0.006745362563237767
17,other,10007,8301,0.8305555555555556,0.831231433215627,0.0006758776600713778,0.9004939163956149,0.8932658715817371,-0.007228044813877843
18,other,21926,25658,0.8718385454833535,0.8675293885211893,-0.004309156962164162,0.857822121755398,0.8556785408059865,-0.002143580949411472
19,other,13185,22936,0.6062648892493284,0.5913503971756399,-0.014914492073688557,0.521494593651901,0.5112050924311127,-0.01028950122078831
20,other,1281,1125,0.5622798591098302,0.506872852233677,-0.0554070068761533,0.7804444444444445,0.7866666666666666,0.006222222222222129
21,other,2620,2095,0.828643216080402,0.8476885644768857,0.01904534839648364,0.7871121718377089,0.8315035799522673,0.04439140811455844
22,other,4636,743,0.6884236453201971,0.6906906906906907,0.0022670453704936033,0.7523553162853297,0.7738896366083445,0.021534320323014833
23,other,12840,5114,0.8492664236987197,0.8419209143699881,-0.007345509328731681,0.8885412592882284,0.8930387172467735,0.00449745795854517
24,other,10253,4154,0.5630001569119724,0.5722145804676754,0.00921442355570301,0.43187289359653347,0.45064997592681755,0.01877708233028408
25,other,54557,34385,0.8588748146952195,0.8599720002333314,0.001097185538111889,0.8508942852988222,0.8574960011632979,0.006601715864475777
26,bad,2293,807,0.024539877300613498,0.029320987654320986,0.0047811103537074885,0.022304832713754646,0.023543990086741014,0.0012391573729863686
27,other,19386,7371,0.9089068825910931,0.9131089904570567,0.004202107865963645,0.8528015194681862,0.8632478632478633,0.010446343779677125
28,bad,16366,5815,0.3217811384162991,0.3279166666666667,0.006135528250367617,0.26345657781599313,0.2706792777300086,0.0072226999140154735
29,other,29653,30274,0.8087042946068944,0.8019345444459853,-0.006769750160909083,0.7660038316707406,0.7640549646561405,-0.0019488670146000642
30,other,8131,645,0.8975206611570248,0.8953009068425392,-0.0022197543144856224,0.8418604651162791,0.8418604651162791,0.0
31,other,7973,952,0.8941747572815534,0.896887159533074,0.002712402251520585,0.967436974789916,0.9684873949579832,0.0010504201680672232
32,other,2331,998,0.3008015087223008,0.30428769017980634,0.0034861814575055106,0.3196392785571142,0.3306613226452906,0.011022044088176364
33,other,204,630,0.6793206793206793,0.6512096774193549,-0.02811100190132443,0.5396825396825397,0.5126984126984127,-0.026984126984127
34,other,588,1240,0.5924453280318092,0.6133205558217537,0.02087522778994455,0.4806451612903226,0.5161290322580645,0.035483870967741915
35,other,875,930,0.7747972551466001,0.772215269086358,-0.0025819860602421807,0.667741935483871,0.6634408602150538,-0.004301075268817178
36,other,826,216,0.3619047619047619,0.34782608695652173,-0.014078674948240166,0.2638888888888889,0.24074074074074073,-0.023148148148148168
37,other,1989,866,0.9060773480662984,0.9023941068139963,-0.0036832412523020164,0.8521939953810623,0.848729792147806,-0.0034642032332563577
38,bad,77,193,0.08968609865470852,0.09734513274336283,0.007659034088654315,0.05181347150259067,0.05699481865284974,0.005181347150259072
39,other,4388,4483,0.9025587467362924,0.9043532858936794,0.0017945391573869207,0.9638634842739238,0.9638634842739238,0.0
40,other,2334,737,0.6259808195292066,0.6284722222222222,0.002491402693015621,0.4871099050203528,0.49118046132971505,0.004070556309362261
41,other,2121,1636,0.6569659442724458,0.6638905413444378,0.006924597071992,0.6485330073349633,0.6821515892420538,0.03361858190709044
42,other,1839,1444,0.40711462450592883,0.40331222601071604,-0.0038023984952128,0.2853185595567867,0.2867036011080332,0.0013850415512465242
43,other,2042,1992,0.7986024457199901,0.7899732294962278,-0.008629216223762226,0.8032128514056225,0.8147590361445783,0.011546184738955856
44,stable,2910,1181,0.9479717813051146,0.9464442493415277,-0.0015275319635869034,0.9102455546147333,0.9127857747671465,0.002540220152413175
45,other,2192,1463,0.788781163434903,0.7838906868033082,-0.004890476631594809,0.7785372522214627,0.7450444292549556,-0.03349282296650713
46,other,9798,7420,0.6391033964327205,0.644848980704984,0.00574558427226346,0.630188679245283,0.6373315363881401,0.0071428571428571175
47,bad,3839,618,0.0,0.0,0.0,0.0,0.0,0.0
48,bad,5001,3361,0.0017709563164108619,0.0017647058823529412,-6.250434057920645e-06,0.0008925914906277894,0.0008925914906277894,0.0
49,other,40220,31563,0.8421558075999669,0.8429141816602349,0.0007583740602680189,0.8057218895542249,0.7992903082723442,-0.006431581281880705
50,other,4546,1528,0.186155285313377,0.19675174013921112,0.010596454825834128,0.13023560209424084,0.1387434554973822,0.008507853403141363
51,other,21842,11645,0.8603878116343491,0.8904469044690447,0.030059092834695655,0.9335337054529841,0.9325032202662087,-0.0010304851867753984
52,other,2301,1274,0.6664053312426499,0.6520257478227944,-0.014379583419855457,0.6671899529042387,0.6758241758241759,0.008634222919937207
53,other,9775,5505,0.8221734357848518,0.8318156476491358,0.009642211864284045,0.8163487738419618,0.8130790190735695,-0.003269754768392308
54,other,6663,5063,0.3268134914523333,0.44845432927682194,0.12164083782448865,0.20955954967410625,0.3166107051155441,0.10705115544143787
55,other,8193,4063,0.6650446066504461,0.8420757363253857,0.1770311296749396,0.5045532857494462,0.7388629091804085,0.2343096234309623
