period,setting,accuracy,macro_f1,weighted_f1,delta_macro_f1_vs_raw,delta_accuracy_vs_raw,total_w1_before,total_w1_after,total_w1_reduction,setting_region_w1_before,setting_region_w1_after,setting_region_w1_reduction,elapsed_s
M-2022-7,raw,0.831152399116993,0.7401951887155069,0.8217378765056158,0.0,0.0,5453.54070529009,5453.54070529009,0.0,0.0,0.0,0.0,6.8585381507873535
M-2022-7,all,0.3743685387897122,0.301751068117827,0.3971239288878283,-0.43844412059767995,-0.4567838603272808,5453.54070529009,165.00572536145557,5288.534979928634,5453.54070529009,165.00572536145557,5288.534979928634,23.369866132736206
M-2022-7,size_all,0.817402662156022,0.7206541764451789,0.8092474289295308,-0.019541012270328006,-0.013749736960971037,5453.54070529009,1229.9095330515925,4223.631172238498,4285.849544847567,62.21837260907005,4223.631172238497,11.535755395889282
M-2022-7,direction_front_0_9,0.6454515358128475,0.5370243376821641,0.654969477708998,-0.20317085103334287,-0.18570086330414548,5453.54070529009,5456.047292858207,-2.506587568116629,0.4535750793828871,2.9601626474979685,-2.5065875681150813,8.00611424446106
M-2022-7,ipt_tail_20_29,0.8077268468690648,0.7141615207953526,0.7984780772254189,-0.02603366792015438,-0.023425552247928194,5453.54070529009,4908.060111635313,545.4805936547773,574.2014726172969,28.72087896251902,545.4805936547779,8.195438861846924
M-2022-7,size_direction_front_ipt_tail,0.5841744997567307,0.48307535294361753,0.59799727715543,-0.2571198357718894,-0.24697789936026227,5453.54070529009,686.9355269649296,4766.6051783251605,4860.5045925442455,93.89941421908703,4766.605178325159,13.952032089233398
M-2022-10,raw,0.787240251397013,0.6836046203393884,0.7819481571312793,0.0,0.0,6017.488177098722,6017.488177098722,0.0,0.0,0.0,0.0,9.331558227539062
M-2022-10,all,0.47683114326406706,0.3799899174249692,0.4816491759412851,-0.3036147029144192,-0.310409108132946,6017.488177098722,168.77202870978303,5848.7161483889395,6017.488177098722,168.77202870978303,5848.7161483889395,49.37709975242615
M-2022-10,size_all,0.7733961874259875,0.6601943218830031,0.7677838555291752,-0.023410298456385314,-0.013844063971025555,6017.488177098722,1572.1473343747712,4445.340842723951,4498.595601410921,53.25475868697066,4445.34084272395,32.402040004730225
M-2022-10,direction_front_0_9,0.6606900109515562,0.5393173657893615,0.6601250680139044,-0.1442872545500269,-0.12655024044545682,6017.488177098722,6019.105885707584,-1.6177086088619035,0.5239001361782479,2.141608745039954,-1.6177086088617059,27.057501792907715
M-2022-10,ipt_tail_20_29,0.7552121519202971,0.6530219393837774,0.7507108702746226,-0.030582680955611008,-0.03202809947671592,6017.488177098722,5294.903137157908,722.5850399408146,767.9860724346447,45.40103249383012,722.5850399408146,27.69102382659912
M-2022-10,size_direction_front_ipt_tail,0.5935704734817964,0.47712227010160085,0.5947855751261144,-0.20648235023778755,-0.19366977791521667,6017.488177098722,851.180003042818,5166.308174055905,5267.105573981744,100.79739992584074,5166.308174055903,36.47960543632507
M-2022-12,raw,0.7519439190041936,0.6286475860577835,0.7457872169870194,0.0,0.0,6226.2112322486755,6226.2112322486755,0.0,0.0,0.0,0.0,5.962399959564209
M-2022-12,all,0.43123903723391793,0.30872061266106177,0.44250772110327996,-0.3199269733967217,-0.3207048817702756,6226.2112322486755,180.09066078272656,6046.120571465949,6226.2112322486755,180.09066078272656,6046.120571465949,20.410564422607422
M-2022-12,size_all,0.731361691740432,0.603138056816258,0.7261334968637754,-0.025509529241525497,-0.020582227263761577,6226.2112322486755,1507.1101623858058,4719.10106986287,4781.214531453886,62.11346159101441,4719.101069862872,10.260509014129639
M-2022-12,direction_front_0_9,0.6015187091576741,0.46786759479623746,0.6031040143228206,-0.16077999126154602,-0.15042520984651941,6226.2112322486755,6228.184184741114,-1.9729524924387078,0.509634959507824,2.482587451946862,-1.9729524924390378,7.115151405334473
M-2022-12,ipt_tail_20_29,0.7254299898203561,0.6050629984171609,0.7201065760943458,-0.023584587640622545,-0.026513929183837437,6226.2112322486755,5578.886430517889,647.3248017307869,686.2778359296648,38.953034198877795,647.3248017307869,7.320830345153809
M-2022-12,size_direction_front_ipt_tail,0.5425561259615682,0.4148785377591515,0.5476761241850339,-0.21376904829863197,-0.20938779304262534,6226.2112322486755,861.7583131474578,5364.452919101218,5468.002002343059,103.54908324183909,5364.45291910122,12.58731746673584
