rule,threshold_name,threshold_value,coverage,reject_rate,accepted_accuracy,accepted_macro_f1,collapsed_reject_rate,abrupt_reject_rate,gradual_reject_rate,stable_false_reject_rate,stable_coverage,collapsed_coverage,original_collapse_absorber_errors,kept_collapse_absorber_errors,absorber_error_reduction,original_pair_absorber_errors,kept_pair_absorber_errors,pair_absorber_error_reduction,num_rejected,num_accepted,num_collapsed_samples,num_stable_samples
confidence,ref_p1,0.2809898525476456,0.9875593612576239,0.012440638742376135,0.7952212659984534,0.6940579147031469,0.029475564629322444,0.023442466624284806,0.0540453074433657,0.0038847839454958957,0.9961152160545041,0.9705244353706776,8907,8763,0.016167059616032375,7776,7700,0.009773662551440299,25707,2040666,31348,204902
margin,ref_p1,0.027834437787532806,0.9834216765317781,0.016578323468221856,0.7958310450781353,0.6912390758331572,0.031612862064565525,0.027852828989192627,0.04692556634304207,0.0041190422738675075,0.9958809577261325,0.9683871379354345,8907,8709,0.022229706972044405,7776,7621,0.019933127572016485,34257,2032116,31348,204902
confidence,ref_p2,0.33859628438949585,0.97313844112365,0.02686155887635001,0.803654841419149,0.7033275638222396,0.06667091999489601,0.05371900826446281,0.11941747572815534,0.0077402855999453395,0.9922597144000547,0.933329080005104,8907,8516,0.04389805770742117,7776,7525,0.03227880658436211,55506,2010867,31348,204902
margin,ref_p2,0.05898398160934448,0.9659645185065814,0.03403548149341866,0.804994681978294,0.6997668693184663,0.062460125047849945,0.05379847425301971,0.09773462783171522,0.009189759006744687,0.9908102409932553,0.9375398749521501,8907,8496,0.046143482654092294,7776,7447,0.04230967078189296,70330,1996043,31348,204902
confidence,ref_p5,0.4638032093644142,0.9222594371877681,0.07774056281223186,0.8315167085403404,0.7300563015422016,0.17988388413933903,0.14935632549268912,0.3042071197411003,0.020624493660383988,0.979375506339616,0.820116115860661,8907,7445,0.16414056360166163,7776,6606,0.1504629629629629,160641,1905732,31348,204902
margin,ref_p5,0.16388946026563644,0.9150196987668732,0.08498030123312683,0.8312556987304657,0.7224398836386001,0.16469950236059716,0.1469723458359822,0.23689320388349513,0.022684014797317742,0.9773159852026823,0.8353004976394028,8907,7794,0.1249578982822499,7776,6878,0.11548353909465026,175601,1890772,31348,204902
confidence,ref_p10,0.6118766665458679,0.8328264064619505,0.16717359353804953,0.8752337398964514,0.7675226639883936,0.3492088809493429,0.3084869675778767,0.5150485436893204,0.046661330782520424,0.9533386692174796,0.6507911190506571,8907,6091,0.31615583249129897,7776,5433,0.3013117283950617,345443,1720930,31348,204902
margin,ref_p10,0.37893953919410706,0.8299895517411425,0.17001044825885742,0.8732516728199698,0.7615546389937282,0.34337118795457444,0.31091068022886204,0.4755663430420712,0.04865252657367913,0.9513474734263209,0.6566288120454256,8907,6484,0.2720332322892107,7776,5770,0.25797325102880664,351305,1715068,31348,204902
confidence,ref_p15,0.7473128139972687,0.7502072471910928,0.2497927528089072,0.912818150854595,0.8038334501636626,0.558313130024244,0.5354020979020979,0.6516181229773462,0.07202955559242954,0.9279704444075705,0.441686869975756,8907,2685,0.6985517009093971,7776,2470,0.6823559670781894,516165,1550208,31348,204902
margin,ref_p15,0.5944498777389526,0.749019175144081,0.25098082485591905,0.9110549293071957,0.7996716490971455,0.5385670537195355,0.5131516211061665,0.6420711974110033,0.07563127739114309,0.9243687226088569,0.46143294628046444,8907,3280,0.6317503087459302,7776,2752,0.6460905349794239,518620,1547753,31348,204902
confidence,ref_p20,0.8532389998435974,0.6751365798914329,0.32486342010856706,0.9429991312351085,0.834149505119234,0.6827867806558632,0.6635410044500953,0.7611650485436893,0.102736918136475,0.897263081863525,0.31721321934413677,8907,1262,0.85831368586505,7776,1195,0.8463220164609053,671289,1395084,31348,204902
margin,ref_p20,0.757996141910553,0.6753703227829632,0.3246296772170368,0.9399369575233579,0.8288929961873438,0.6815107821870614,0.6649713922441195,0.7488673139158576,0.10407414276092962,0.8959258572390704,0.31848921781293865,8907,1308,0.8531492084877064,7776,1224,0.8425925925925926,670806,1395567,31348,204902
confidence,ref_p30,0.9530844390392303,0.5470430556341958,0.45295694436580425,0.9768373002357583,0.8728472677359322,0.8273255072093914,0.812142403051494,0.88915857605178,0.16920283843007877,0.8307971615699212,0.17267449279060865,8907,212,0.9761984955652857,7776,191,0.9754372427983539,935978,1130395,31348,204902
margin,ref_p30,0.9215571582317352,0.5494100048732731,0.45058999512672687,0.9750864539860441,0.869568637836912,0.808345029985964,0.7902097902097902,0.8822006472491909,0.17263862724619575,0.8273613727538043,0.19165497001403597,8907,230,0.9741776131132817,7776,208,0.9732510288065843,931087,1135286,31348,204902
prototype_distance,ref_p70,0.18611037731170654,0.6571964500116871,0.34280354998831286,0.8416620459450683,0.7271932721552615,0.2529985964016843,0.2294183089637635,0.3490291262135922,0.10267347317254102,0.897326526827459,0.7470014035983157,8907,6454,0.27540136970921747,7776,5561,0.28485082304526754,708360,1358013,31348,204902
