rule,threshold_name,threshold_value,coverage,reject_rate,accepted_accuracy,accepted_macro_f1,collapsed_reject_rate,abrupt_reject_rate,gradual_reject_rate,stable_false_reject_rate,stable_coverage,collapsed_coverage,original_collapse_absorber_errors,kept_collapse_absorber_errors,absorber_error_reduction,original_pair_absorber_errors,kept_pair_absorber_errors,pair_absorber_error_reduction,num_rejected,num_accepted,num_collapsed_samples,num_stable_samples,period,input_dir
confidence,ref_p1,0.2809898525476456,0.989914715039935,0.010085284960064979,0.8378593551662858,0.7484515396758568,0.02741388691248483,0.023328636292469077,0.04395604395604396,0.0036032709769171865,0.9963967290230828,0.9725861130875152,6059,5934,0.020630467073774583,4909,4843,0.013444693420248566,15049,1477125,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
margin,ref_p1,0.027834437787532806,0.986863462303994,0.013136537696005961,0.8382727635728507,0.7467429012658562,0.023228560666303938,0.020719169145660455,0.033389687235841084,0.004314352915435948,0.9956856470845641,0.976771439333696,6059,5951,0.01782472355174125,4909,4837,0.014666938276634789,19602,1472572,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
confidence,ref_p2,0.33859628438949585,0.9772814698553922,0.022718530144607802,0.8455989752268778,0.7571760484133377,0.05131209977817771,0.042012421063618806,0.0889687235841082,0.006645881194617656,0.9933541188053824,0.9486879002218223,6059,5833,0.03729988446938437,4909,4797,0.022815237319209647,33900,1458274,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
margin,ref_p2,0.05898398160934448,0.9721982825059275,0.027801717494072408,0.8466225359122458,0.7545573965389061,0.047377893106767675,0.042377746464172014,0.0676246830092984,0.008615031178208074,0.991384968821792,0.9526221068932323,6059,5813,0.04060075920118833,4909,4743,0.033815441026685655,41485,1450689,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
confidence,ref_p5,0.4638032093644142,0.934230190312926,0.06576980968707402,0.8705132012562103,0.7823882909196258,0.13727870087473318,0.11601690934711131,0.22337278106508876,0.01777021113663713,0.9822297888633629,0.8627212991252668,6059,5366,0.11437530945700614,4909,4506,0.08209411285394175,98140,1394034,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
margin,ref_p5,0.16388946026563644,0.9315240715895063,0.06847592841049369,0.8692550194389048,0.7755165483463475,0.11944921106600259,0.10766661447732373,0.16715976331360946,0.019882944973197682,0.9801170550268024,0.8805507889339974,6059,5418,0.10579303515431593,4909,4456,0.09227948665716035,102178,1389996,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
confidence,ref_p10,0.6118766665458679,0.859079437116583,0.1409205628834171,0.9097578898756218,0.8195242118537928,0.29096388063449546,0.2678878972913731,0.38440405748098055,0.04308883054370419,0.9569111694562958,0.7090361193655046,6059,3765,0.3786103317379106,4909,3143,0.3597474027296802,210278,1281896,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
margin,ref_p10,0.37893953919410706,0.8594326130866775,0.14056738691332243,0.9067842669696349,0.8146260800192602,0.28158874984305027,0.26647878503209643,0.3427726120033812,0.04793649491302921,0.9520635050869708,0.7184112501569497,6059,4104,0.3226605050338339,4909,3389,0.3096353636178448,209751,1282423,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
confidence,ref_p15,0.7473128139972687,0.7879416207493228,0.2120583792506772,0.9416506626431219,0.8506058382939328,0.4854559912945214,0.48175982464380773,0.5004226542688082,0.06959030740619188,0.9304096925938081,0.5145440087054786,6059,1048,0.8270341640534742,4909,857,0.8254226930128336,316428,1175746,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
margin,ref_p15,0.5944498777389526,0.7879335787917495,0.2120664212082505,0.9403844747196219,0.8464981350637613,0.46666387644916923,0.46448515213193464,0.47548605240912933,0.0738294497319768,0.9261705502680232,0.5333361235508308,6059,1459,0.7592011883149035,4909,1034,0.7893664697494398,316440,1175734,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
confidence,ref_p20,0.8532389998435974,0.7240770848439927,0.27592291515600725,0.9631532816449457,0.8737615418284136,0.6028125392374336,0.6011690412817703,0.6094674556213018,0.0981224701892572,0.9018775298107428,0.39718746076256645,6059,373,0.9384386862518568,4909,355,0.9276838459971481,411725,1080449,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
margin,ref_p20,0.757996141910553,0.7239551151541308,0.2760448848458692,0.9624796462356066,0.8713465206836214,0.601598794626041,0.6074839517770472,0.5777683854606932,0.1018009517558254,0.8981990482441746,0.3984012053739589,6059,437,0.9278758871100842,4909,387,0.9211652067630882,411907,1080267,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
confidence,ref_p30,0.9530844390392303,0.608837843307818,0.391162156692182,0.9850114255271373,0.9002875098023679,0.7564140124722722,0.7657220395595219,0.7187235841081995,0.16848539547095503,0.8315146045290449,0.24358598752772778,6059,195,0.9678164713649117,4909,190,0.9612955795477695,583682,908492,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
margin,ref_p30,0.9215571582317352,0.6099288688852641,0.39007113111473596,0.983892233991122,0.8988486413151052,0.7351107018792115,0.7399926934919889,0.7153423499577346,0.17489880757028772,0.8251011924297122,0.26488929812078854,6059,195,0.9678164713649117,4909,190,0.9612955795477695,582054,910120,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
prototype_distance,ref_p70,0.18611037731170654,0.6675166569046237,0.33248334309537625,0.867188527495078,0.7806659262314376,0.18436362114426819,0.15134909451490006,0.3180473372781065,0.10275817744229297,0.897241822557707,0.8156363788557318,6059,5413,0.10661825383726686,4909,4515,0.08026074556936236,496123,996051,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
absorber_distance,ref_p70,0.18611037731170654,0.9567302472767921,0.043269752723207884,0.8336434091151073,0.742281100527904,0.027037207550328547,0.019831950315745524,0.05621301775147929,0.002256317689530686,0.9977436823104693,0.9729627924496714,6059,5413,0.10661825383726686,4909,4515,0.08026074556936236,64566,1427608,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
absorber_proto_disagree,ref_p70,0.18611037731170654,0.9645644542794607,0.035435545720539294,0.8340878678355699,0.7431127592633118,0.022600761729376806,0.015969938938468764,0.04945054945054945,0.002126408489224374,0.9978735915107756,0.9773992382706232,6059,5519,0.08912361775870603,4909,4608,0.06131595029537584,52876,1439298,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
prototype_distance,ref_p80,0.2109503149986267,0.784824692026533,0.2151753079734669,0.8588534662004363,0.7680412258440101,0.10609802034068555,0.08971348050728041,0.1724429416737109,0.0536251504211793,0.9463748495788207,0.8939019796593144,6059,5634,0.07014358805083343,4909,4613,0.06029741291505397,321079,1171095,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
absorber_distance,ref_p80,0.2109503149986267,0.9719965634034636,0.02800343659653633,0.8336369302559039,0.7425193163143298,0.017787636546268783,0.013360471791660142,0.03571428571428571,0.001654632972322503,0.9983453670276775,0.9822123634537312,6059,5634,0.07014358805083343,4909,4613,0.06029741291505397,41786,1450388,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
absorber_proto_disagree,ref_p80,0.2109503149986267,0.9762011668880439,0.023798833111956113,0.8337157144210531,0.7426904739619319,0.014606788599171305,0.009811596472000417,0.034023668639053255,0.0015247237720161907,0.9984752762279838,0.9853932114008287,6059,5710,0.057600264069978535,4909,4687,0.04522305968629048,35512,1456662,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
prototype_distance,ref_p85,0.22680793702602386,0.844294968281179,0.155705031718821,0.8541197855274699,0.7620808212362967,0.06365881220441133,0.05297218308021502,0.10693153000845308,0.03185510338037414,0.9681448966196259,0.9363411877955886,6059,5781,0.04588215877207458,4909,4718,0.03890812792829501,232339,1259835,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
absorber_distance,ref_p85,0.22680793702602386,0.980417833308984,0.019582166691015927,0.8334711822791421,0.7418041281329434,0.011635206964382874,0.008350294869787589,0.024936601859678782,0.0012649053714035663,0.9987350946285964,0.9883647930356171,6059,5781,0.04588215877207458,4909,4718,0.03890812792829501,29220,1462954,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
absorber_proto_disagree,ref_p85,0.22680793702602386,0.9832713879212478,0.01672861207875221,0.8334548790495171,0.7417947030325123,0.010337755828066798,0.006888993267574761,0.02430262045646661,0.0011555081500929877,0.998844491849907,0.9896622441719332,6059,5812,0.04076580293777854,4909,4748,0.032796903646363784,24962,1467212,23893,146256,M-2022-7,outputs/reject_option_ablation_tls22_M-2022-7
