period,rule,threshold_name,threshold_value,coverage,reject_rate,accepted_macro_f1,collapsed_reject_rate,abrupt_reject_rate,gradual_reject_rate,stable_false_reject_rate,absorber_error_reduction,pair_absorber_error_reduction,original_collapse_absorber_errors,kept_collapse_absorber_errors,num_rejected,num_accepted,static_macro_f1,static_collapsed_f1,static_stable_f1,deploy_score
M-2022-10,absorber_distance,ref_p70,0.18611037731170654,0.9592280774090641,0.040771922590935906,0.6874014888732042,0.07825060609927269,0.06993006993006994,0.11213592233009709,0.0020790426642980546,0.27540136970921747,0.28485082304526754,8907.0,6454.0,84250.0,1982123.0,0.6836051344755893,0.23925027618338698,0.9089863032292651,0.1929833097327322
M-2022-10,absorber_proto_disagree,ref_p70,0.18611037731170654,0.9668167363781853,0.033183263621814646,0.6882712876253417,0.06963761643486027,0.06253973299427845,0.09854368932038834,0.0018155020448799913,0.24508813292915688,0.2528292181069959,8907.0,6724.0,68569.0,1997804.0,0.6836051344755893,0.23925027618338698,0.9089863032292651,0.17743498444117878
M-2022-10,confidence,ref_p30,0.9530844390392303,0.5470430556341958,0.45295694436580425,0.8728472677359322,0.8273255072093914,0.812142403051494,0.88915857605178,0.16920283843007877,0.9761984955652857,0.9754372427983539,8907.0,212.0,935978.0,1130395.0,0.6836051344755893,0.23925027618338698,0.9089863032292651,0.9295244454523438
M-2022-10,hybrid,conf_p30_margin_p30_dist_p70,0.18611037731170654,0.5167687537535576,0.4832312462464424,0.8632945088367298,0.8361617966058441,0.8169898283534647,0.9142394822006472,0.17561077978741058,0.9983159312899966,0.998070987654321,8907.0,15.0,998536.0,1067837.0,0.6836051344755893,0.23925027618338698,0.9089863032292651,0.9359684373286106
M-2022-10,margin,ref_p30,0.9215571582317352,0.5494100048732731,0.45058999512672687,0.869568637836912,0.808345029985964,0.7902097902097902,0.8822006472491909,0.17263862724619575,0.9741776131132817,0.9732510288065843,8907.0,230.0,931087.0,1135286.0,0.6836051344755893,0.23925027618338698,0.9089863032292651,0.9067213062617523
M-2022-10,prototype_distance,ref_p70,0.18611037731170654,0.6571964500116871,0.34280354998831286,0.7271932721552615,0.2529985964016843,0.2294183089637635,0.3490291262135922,0.10267347317254102,0.27540136970921747,0.28485082304526754,8907.0,6454.0,708360.0,1358013.0,0.6836051344755893,0.23925027618338698,0.9089863032292651,0.252035288157032
M-2022-12,absorber_distance,ref_p70,0.18611037731170654,0.9562486916474775,0.04375130835252251,0.6339424066242209,0.08869139053470851,0.0827670012151762,0.11438610189342183,0.0029339955053685877,0.24033696729435083,0.2739934160546974,10090.0,7665.0,57893.0,1265336.0,0.6286470835004149,0.02545529273016126,0.9027706369575663,0.1936540714353015
M-2022-12,absorber_proto_disagree,ref_p70,0.18611037731170654,0.9625159363949853,0.0374840636050147,0.6347337342104006,0.08174237436910248,0.0776362572573023,0.09955104430997462,0.002760591515689593,0.2215064420218038,0.25208913649025066,10090.0,7855.0,49600.0,1273629.0,0.6286470835004149,0.02545529273016126,0.9027706369575663,0.18248419017861311
M-2022-12,confidence,ref_p30,0.9530844390392303,0.5142337418542067,0.4857662581457934,0.8201377594427383,0.8951430034379343,0.8832080651694496,0.9469061097013469,0.17997253280803485,0.9752229930624381,0.9693593314763231,10090.0,250.0,642780.0,680449.0,0.6286470835004149,0.02545529273016126,0.9027706369575663,0.9846879059882193
M-2022-12,hybrid,conf_p30_margin_p30_dist_p70,0.18611037731170654,0.48486921009137496,0.515130789908625,0.812509589189237,0.9035549703752469,0.8873936720824519,0.9736482529767714,0.18657575673501095,0.9963330029732408,0.9959483413522411,10090.0,37.0,681636.0,641593.0,0.6286470835004149,0.02545529273016126,0.9027706369575663,0.9903059248881149
M-2022-12,margin,ref_p30,0.9215571582317352,0.5170820772519344,0.48291792274806555,0.8167179417211939,0.8581303489137591,0.8391916827940051,0.9402693734140152,0.18339205948450463,0.9732408325074331,0.9668270448214737,10090.0,270.0,639011.0,684218.0,0.6286470835004149,0.02545529273016126,0.9027706369575663,0.9439026014187094
M-2022-12,prototype_distance,ref_p70,0.18611037731170654,0.6462108977357661,0.35378910226423393,0.6771076282541494,0.25890571282276353,0.2436653314730636,0.32500487995315247,0.10628970951363649,0.24033696729435083,0.2739934160546974,10090.0,7665.0,468144.0,855085.0,0.6286470835004149,0.02545529273016126,0.9027706369575663,0.24501079001950307
M-2022-7,absorber_distance,ref_p70,0.18611037731170654,0.9567302472767921,0.043269752723207884,0.742281100527904,0.027037207550328547,0.019831950315745524,0.05621301775147929,0.002256317689530686,0.10661825383726686,0.08026074556936236,6059.0,5413.0,64566.0,1427608.0,0.7401953796542524,0.4647032068721109,0.8321626795809953,0.09927196568395419
M-2022-7,absorber_proto_disagree,ref_p70,0.18611037731170654,0.9645644542794607,0.035435545720539294,0.7431127592633118,0.022600761729376806,0.015969938938468764,0.04945054945054945,0.002126408489224374,0.08912361775870603,0.06131595029537584,6059.0,5519.0,52876.0,1439298.0,0.7401953796542524,0.4647032068721109,0.8321626795809953,0.09098348039380197
M-2022-7,confidence,ref_p30,0.9530844390392303,0.608837843307818,0.391162156692182,0.9002875098023679,0.7564140124722722,0.7657220395595219,0.7187235841081995,0.16848539547095503,0.9678164713649117,0.9612955795477695,6059.0,195.0,583682.0,908492.0,0.7401953796542524,0.4647032068721109,0.8321626795809953,0.860324627007936
M-2022-7,hybrid,conf_p30_margin_p30_dist_p70,0.18611037731170654,0.5692513071531873,0.4307486928468128,0.8920792558720237,0.7686770183735823,0.7728197901988414,0.7519019442096365,0.17713461328082267,0.9985146063706882,0.9985740476675494,6059.0,9.0,642752.0,849422.0,0.7401953796542524,0.4647032068721109,0.8321626795809953,0.8696336220430909
M-2022-7,margin,ref_p30,0.9215571582317352,0.6099288688852641,0.39007113111473596,0.8988486413151052,0.7351107018792115,0.7399926934919889,0.7153423499577346,0.17489880757028772,0.9678164713649117,0.9612955795477695,6059.0,195.0,582054.0,910120.0,0.7401953796542524,0.4647032068721109,0.8321626795809953,0.8326624555944148
M-2022-7,prototype_distance,ref_p70,0.18611037731170654,0.6675166569046237,0.33248334309537625,0.7806659262314376,0.18436362114426819,0.15134909451490006,0.3180473372781065,0.10275817744229297,0.10661825383726686,0.08026074556936236,6059.0,5413.0,496123.0,996051.0,0.7401953796542524,0.4647032068721109,0.8321626795809953,0.14163584000652313
