scope,group,method,method_label,n_classes,mean_recall,median_recall,mean_f1,recall_lt_0_01,recall_lt_0_05,recall_lt_0_1,baseline,baseline_label,improved_classes,harmed_classes,unchanged_classes,mean_delta_recall,median_delta_recall
norm_adabn,final_collapsed,gn,GN,13,0.01570266345189657,0.0010230179028132991,0.02545529273016126,9,11,13,,,,,,,
norm_adabn,final_collapsed,in,IN,13,0.02738507018527775,0.000576748784707918,0.035116232917560955,8,10,12,,,,,,,
norm_adabn,final_collapsed,bn,BN,13,0.022252849329611305,0.0028669724770642203,0.03291224860502701,8,10,12,,,,,,,
norm_adabn,final_collapsed,ln,LN,13,0.018911561001194517,0.001607717041800643,0.028874286330982955,8,11,12,,,,,,,
norm_adabn,final_collapsed,bn_static,BN Static,13,0.022252849329611305,0.0028669724770642203,0.03291224860502701,8,10,12,,,,,,,
norm_adabn,final_collapsed,bn_adabn,BN + AdaBN,13,0.02397836419889428,0.010894495412844037,0.032482005407959466,6,10,12,,,,,,,
norm_adabn,abrupt_collapsed,gn,GN,8,0.010158628519104606,0.0009578046967205442,0.015859171758221886,6,7,8,,,,,,,
norm_adabn,abrupt_collapsed,in,IN,8,0.006949102829231537,0.00041671808873807207,0.010195383481073744,6,8,8,,,,,,,
norm_adabn,abrupt_collapsed,bn,BN,8,0.01639710123620873,0.0015561614972634894,0.019640670489954413,6,6,8,,,,,,,
norm_adabn,abrupt_collapsed,ln,LN,8,0.012963751953458419,0.0009995807178931494,0.017687199773565657,6,7,8,,,,,,,
norm_adabn,abrupt_collapsed,bn_static,BN Static,8,0.01639710123620873,0.0015561614972634894,0.019640670489954413,6,6,8,,,,,,,
norm_adabn,abrupt_collapsed,bn_adabn,BN + AdaBN,8,0.013161156687553287,0.0011750789580423496,0.019216310332708555,6,7,8,,,,,,,
norm_adabn,gradual_collapsed,gn,GN,5,0.024573119344363716,0.00974770642201835,0.04080908628526425,3,4,5,,,,,,,
norm_adabn,gradual_collapsed,in,IN,5,0.06008261795495169,0.0625,0.07498959201594049,2,2,4,,,,,,,
norm_adabn,gradual_collapsed,bn,BN,5,0.03162204627905544,0.014933946008041356,0.054146773589143146,2,4,4,,,,,,,
norm_adabn,gradual_collapsed,ln,LN,5,0.028428055477572278,0.012062033314187249,0.046773624822850635,2,4,4,,,,,,,
norm_adabn,gradual_collapsed,bn_static,BN Static,5,0.03162204627905544,0.014933946008041356,0.054146773589143146,2,4,4,,,,,,,
norm_adabn,gradual_collapsed,bn_adabn,BN + AdaBN,5,0.041285896217039875,0.015508328546812177,0.05370711752836092,0,3,4,,,,,,,
method_delta,final_collapsed,in,IN,13,,,,,,,gn,GN,4,6,3,0.011682406733381178,0.0
method_delta,final_collapsed,bn_adabn,BN + AdaBN,13,,,,,,,bn,BN,3,5,5,0.001725514869282972,0.0
method_delta,final_collapsed,bn_adabn,BN + AdaBN,13,,,,,,,bn_static,BN Static,3,5,5,0.001725514869282972,0.0
method_delta,abrupt_collapsed,in,IN,8,,,,,,,gn,GN,2,4,2,-0.003209525689873068,-0.0002975304968759298
method_delta,abrupt_collapsed,bn_adabn,BN + AdaBN,8,,,,,,,bn,BN,0,3,5,-0.0032359445486554433,0.0
method_delta,abrupt_collapsed,bn_adabn,BN + AdaBN,8,,,,,,,bn_static,BN Static,0,3,5,-0.0032359445486554433,0.0
method_delta,gradual_collapsed,in,IN,5,,,,,,,gn,GN,2,2,1,0.03550949861058797,0.0
method_delta,gradual_collapsed,bn_adabn,BN + AdaBN,5,,,,,,,bn,BN,3,2,0,0.009663849937984434,0.0005743825387708214
method_delta,gradual_collapsed,bn_adabn,BN + AdaBN,5,,,,,,,bn_static,BN Static,3,2,0,0.009663849937984434,0.0005743825387708214
tta_group,stable,static,Static,20,0.9006693107357598,,0.9027706369575663,0,,0,,,,,,,
tta_group,final_collapsed,static,Static,13,0.01570266345189657,,0.02545529273016126,9,,13,,,,,,,
tta_group,abrupt_collapsed,static,Static,8,0.010158628519104606,,0.015859171758221886,6,,8,,,,,,,
tta_group,gradual_collapsed,static,Static,5,0.024573119344363716,,0.04080908628526425,3,,5,,,,,,,
tta_group,stable,eata,EATA,20,0.900828979872397,,0.9028913265716841,0,,0,,,,,,,
tta_group,final_collapsed,eata,EATA,13,0.0157380565484854,,0.025499550792864964,9,,13,,,,,,,
tta_group,abrupt_collapsed,eata,EATA,8,0.010091640309029579,,0.015744945118601052,6,,8,,,,,,,
tta_group,gradual_collapsed,eata,EATA,5,0.02477232253161471,,0.04110691987168722,3,,5,,,,,,,
tta_group,stable,cotta,CoTTA,20,0.9018717110160391,,0.9033234727746073,0,,0,,,,,,,
tta_group,final_collapsed,cotta,CoTTA,13,0.015466092761048945,,0.025075694594658034,9,,13,,,,,,,
tta_group,abrupt_collapsed,cotta,CoTTA,8,0.009668792797106175,,0.015112658720302475,6,,8,,,,,,,
tta_group,gradual_collapsed,cotta,CoTTA,5,0.024741772703357378,,0.04101655199362694,3,,5,,,,,,,
tta_group,stable,sar,SAR,20,0.9008337794527781,,0.9013109325983875,0,,0,,,,,,,
