baseline_method,method,period,group,delta_macro_f1,delta_macro_recall,delta_collapsed_count,delta_severe_count
static,eata,M-2022-4,stable,2.2742458221203243e-05,3.9334030426885214e-05,0,0
static,eata,M-2022-4,final_collapsed,5.777681754237651e-05,4.310544322339016e-05,0,0
static,eata,M-2022-4,abrupt_collapsed,-5.763964476490635e-06,-5.371603099968425e-05,0,0
static,eata,M-2022-4,gradual_collapsed,0.00015944206877216427,0.0001980198019801982,0,0
static,eata,M-2022-4,absorber,3.402877080560529e-06,1.6225866856678373e-05,0,0
static,eata,M-2022-4,degraded_noncollapsed,-1.426255429948231e-05,-2.823920575312222e-05,0,0
static,eata,M-2022-5,stable,1.0569748062350115e-06,2.8516630735886395e-05,0,0
static,eata,M-2022-5,final_collapsed,5.622999009180507e-05,-4.760099924827621e-05,0,0
static,eata,M-2022-5,abrupt_collapsed,6.196323351559396e-05,-7.735162377831006e-05,0,0
static,eata,M-2022-5,gradual_collapsed,4.705680061423134e-05,0.0,0,0
static,eata,M-2022-5,absorber,6.807946492948247e-05,5.772276730231507e-05,0,0
static,eata,M-2022-5,degraded_noncollapsed,6.431670041684434e-05,4.0215941970567215e-05,0,0
static,eata,M-2022-6,stable,5.156109272319576e-06,-1.4349526084367348e-05,0,0
static,eata,M-2022-6,final_collapsed,-5.231213431611259e-05,-3.52992947841857e-05,0,0
static,eata,M-2022-6,abrupt_collapsed,-8.204939909672859e-05,-5.7361354024010325e-05,0,0
static,eata,M-2022-6,gradual_collapsed,-4.732510667126988e-06,0.0,0,0
static,eata,M-2022-6,absorber,3.523577657404964e-05,5.971433952256522e-05,0,0
static,eata,M-2022-6,degraded_noncollapsed,3.3593508195095545e-05,-4.1125977996991914e-05,0,0
static,eata,M-2022-7,stable,-9.297685177267478e-05,-7.115887424258283e-05,0,0
static,eata,M-2022-7,final_collapsed,-3.114156348460462e-05,0.0,0,0
static,eata,M-2022-7,abrupt_collapsed,-6.280790958324012e-05,0.0,0,0
static,eata,M-2022-7,gradual_collapsed,1.9524590273323206e-05,0.0,0,0
static,eata,M-2022-7,absorber,-4.257323170342442e-05,-1.748093692477415e-05,0,0
static,eata,M-2022-7,degraded_noncollapsed,0.00010475184915637037,2.3432054662486657e-05,0,0
static,eata,M-2022-8,stable,-6.687806784444472e-05,3.3720893754307646e-05,0,0
static,eata,M-2022-8,final_collapsed,3.420934888431759e-05,0.00010245981041473451,0,0
static,eata,M-2022-8,abrupt_collapsed,0.00012657522220144157,0.00016155081334151555,0,0
static,eata,M-2022-8,gradual_collapsed,-0.00011357604842299196,7.914205731873736e-06,0,0
static,eata,M-2022-8,absorber,0.00014818613912681577,0.000216660117552947,0,0
static,eata,M-2022-8,degraded_noncollapsed,0.00014112342302308178,4.9080050943062226e-05,0,0
static,eata,M-2022-9,stable,-8.034227962561147e-05,-9.072629483930506e-05,0,0
static,eata,M-2022-9,final_collapsed,3.9308266541360215e-05,8.014044579790491e-05,0,0
static,eata,M-2022-9,abrupt_collapsed,0.00012031888752084274,0.00013022822442165793,0,0
static,eata,M-2022-9,gradual_collapsed,-9.03087270256453e-05,0.0,0,0
static,eata,M-2022-9,absorber,-3.652823759836554e-05,-2.4661393211999894e-05,0,0
static,eata,M-2022-9,degraded_noncollapsed,2.3781944659129195e-06,-8.077835738251604e-05,0,0
static,eata,M-2022-10,stable,-3.4351184808434354e-05,4.4048877861357916e-05,0,0
static,eata,M-2022-10,final_collapsed,-0.00018016424363540007,-7.31473921251613e-05,0,0
static,eata,M-2022-10,abrupt_collapsed,-0.00010185580460925214,-0.00011886451220333161,0,0
static,eata,M-2022-10,gradual_collapsed,-0.00030545774607729226,0.0,0,0
static,eata,M-2022-10,absorber,0.00011635590546910102,6.890694095718075e-05,0,0
static,eata,M-2022-10,degraded_noncollapsed,0.00020429983936720575,0.00013260564335698666,0,0
static,eata,M-2022-11,stable,5.547882288470252e-05,0.000128252058908096,0,0
static,eata,M-2022-11,final_collapsed,0.00010571227318564858,8.038407022070704e-05,0,0
static,eata,M-2022-11,abrupt_collapsed,0.00017739941025052275,0.0001306241141086073,0,0
static,eata,M-2022-11,gradual_collapsed,-8.987146118182021e-06,0.0,0,0
static,eata,M-2022-11,absorber,1.3233248392641173e-06,-3.426096322667327e-05,0,0
static,eata,M-2022-11,degraded_noncollapsed,5.6581978338243744e-05,8.034797051181819e-05,0,0
static,eata,M-2022-12,stable,0.00012068961411781931,0.00015966913663711946,0,0
static,eata,M-2022-12,final_collapsed,4.425806270370522e-05,3.539309658882883e-05,0,0
static,eata,M-2022-12,abrupt_collapsed,-0.00011422663962083399,-6.698821007502728e-05,0,0
static,eata,M-2022-12,gradual_collapsed,0.00029783358642297003,0.00019920318725099445,0,0
static,eata,M-2022-12,absorber,4.9398193076477526e-05,0.000135163350696188,0,0
static,eata,M-2022-12,degraded_noncollapsed,0.00022329570362705775,0.00019964739577138513,0,0
static,cotta,M-2022-4,stable,0.00014519717951788635,0.00017390363507852058,0,0
static,cotta,M-2022-4,final_collapsed,0.00013465154377600985,-0.0005802117412693208,0,0
static,cotta,M-2022-4,abrupt_collapsed,-0.00041611978288291773,-0.0003704768477718057,0,0
static,cotta,M-2022-4,gradual_collapsed,0.0010158856664296279,-0.0009157875708655228,0,0
static,cotta,M-2022-4,absorber,8.50491301480627e-05,0.0006134115855939148,0,0
static,cotta,M-2022-4,degraded_noncollapsed,5.739718568331664e-05,-0.00024743616668621016,0,0
static,cotta,M-2022-5,stable,0.00019962688129171458,8.186426864709162e-05,0,0
static,cotta,M-2022-5,final_collapsed,-0.0003637594191966409,-0.001232262467359746,0,0
static,cotta,M-2022-5,abrupt_collapsed,-0.0005247461519388708,-0.0017829314121629025,0,0
static,cotta,M-2022-5,gradual_collapsed,-0.00010618064680911754,-0.00035119215567425144,0,0
static,cotta,M-2022-5,absorber,-0.0004422014578799871,0.0005090864420210783,0,0
static,cotta,M-2022-5,degraded_noncollapsed,-2.0003628087295056e-06,-0.0007574060550574746,0,0
static,cotta,M-2022-6,stable,-6.165580541905857e-05,0.0006228541028281409,0,0
static,cotta,M-2022-6,final_collapsed,-0.0003818872081574609,-0.0006570265411647291,0,0
static,cotta,M-2022-6,abrupt_collapsed,-0.0005810777516797039,-0.00094126459974464,0,0
static,cotta,M-2022-6,gradual_collapsed,-6.31823385220942e-05,-0.0002022456474369827,0,0
static,cotta,M-2022-6,absorber,-0.0007379070113613384,-0.000742317581723495,0,0
static,cotta,M-2022-6,degraded_noncollapsed,0.0005712370810251333,-0.0011152999969902266,0,0
static,cotta,M-2022-7,stable,-4.541467896035378e-05,0.0029565668078043172,-1,0
static,cotta,M-2022-7,final_collapsed,0.0004061691573134518,-0.0004390548294590513,0,0
static,cotta,M-2022-7,abrupt_collapsed,0.0012331878249617345,-5.5993471768878145e-05,0,0
static,cotta,M-2022-7,gradual_collapsed,-0.0009170607109235673,-0.0010519530017634726,0,0
static,cotta,M-2022-7,absorber,-0.00024333007186838618,-0.001415186444792771,0,0
static,cotta,M-2022-7,degraded_noncollapsed,0.0006159730878643188,-0.001484552399111383,0,0
static,cotta,M-2022-8,stable,0.00020847151561986799,0.00047880279916956425,0,0
static,cotta,M-2022-8,final_collapsed,0.001637988935741741,0.0006796156912892704,0,0
static,cotta,M-2022-8,abrupt_collapsed,0.002393051142410174,0.0006793874465157446,0,0
static,cotta,M-2022-8,gradual_collapsed,0.00042988940507218687,0.0006799808829267562,0,0
static,cotta,M-2022-8,absorber,0.0010269661122743745,0.00124674604011199,0,0
static,cotta,M-2022-8,degraded_noncollapsed,0.001268670265723637,0.0001976637903194911,0,0
static,cotta,M-2022-9,stable,-0.00036781042726119484,0.0015925255896906965,0,0
static,cotta,M-2022-9,final_collapsed,0.00014462287147709585,-0.0006892179776246121,0,0
static,cotta,M-2022-9,abrupt_collapsed,0.0011424563911806573,-0.00077842089608815,0,0
static,cotta,M-2022-9,gradual_collapsed,-0.0014519107600486358,-0.0005464933080827905,0,0
static,cotta,M-2022-9,absorber,-0.0015810085012819552,-0.001573070232826379,0,0
static,cotta,M-2022-9,degraded_noncollapsed,0.00122053682866341,3.087218849839868e-05,0,0
static,cotta,M-2022-10,stable,-1.581439976050536e-05,0.0013078543706573909,0,0
static,cotta,M-2022-10,final_collapsed,-0.0011668920088536983,-0.0019414279689300706,0,1
static,cotta,M-2022-10,abrupt_collapsed,-0.0013342437112087713,-0.0032632898999421234,0,1
static,cotta,M-2022-10,gradual_collapsed,-0.0008991292850855093,0.00017355112068921652,0,0
static,cotta,M-2022-10,absorber,0.0003880062829805242,-0.00040372795980514464,0,0
static,cotta,M-2022-10,degraded_noncollapsed,0.0006265583193285629,0.00022610599230676875,0,0
static,cotta,M-2022-11,stable,0.00042756343952954357,0.0014225927969326868,0,0
static,cotta,M-2022-11,final_collapsed,0.0013740244279632219,0.001081576849443322,0,0
static,cotta,M-2022-11,abrupt_collapsed,0.0011735249459992603,-0.0009443083375069439,0,0
static,cotta,M-2022-11,gradual_collapsed,0.001694823599105548,0.004322993148563731,0,0
static,cotta,M-2022-11,absorber,0.0010550332282481811,0.00014992090522147894,0,0
static,cotta,M-2022-11,degraded_noncollapsed,-0.0006470381368163247,-0.001389915619437354,0,0
static,cotta,M-2022-12,stable,0.0005528358170410197,0.0012024002802792921,0,0
static,cotta,M-2022-12,final_collapsed,-0.00037959813550322505,-0.00023657069084762582,0,0
static,cotta,M-2022-12,abrupt_collapsed,-0.0007465130379194114,-0.0004898357219984308,0,0
static,cotta,M-2022-12,gradual_collapsed,0.00020746570836269185,0.00016865335899366243,0,0
static,cotta,M-2022-12,absorber,0.0006522684341980778,0.0011621806187219752,0,0
static,cotta,M-2022-12,degraded_noncollapsed,0.0025694235571103174,0.0021269910860640118,0,0
