group,n_classes,support,macro_f1,macro_recall,collapsed_count,severe_count,method,period
stable,20,219170,0.9095194190839162,0.8946678143243354,0,0,static,M-2022-4
final_collapsed,13,44527,0.8575139737632654,0.834746138019759,0,0,static,M-2022-4
abrupt_collapsed,8,29606,0.9027585830865796,0.8908137079674006,0,0,static,M-2022-4
gradual_collapsed,5,14921,0.7851225988459629,0.7450380261035329,0,0,static,M-2022-4
absorber,10,276479,0.8116308618103965,0.8131239576586016,0,0,static,M-2022-4
degraded_noncollapsed,39,376856,0.8516156244412729,0.8424566457952617,0,0,static,M-2022-4
stable,20,227387,0.8842867553723245,0.8847016752413388,0,0,static,M-2022-5
final_collapsed,13,45503,0.7117187705859104,0.6919672825086837,2,0,static,M-2022-5
abrupt_collapsed,8,31359,0.7672839833023013,0.7551999544479332,1,0,static,M-2022-5
gradual_collapsed,5,14144,0.6228144302396849,0.5907950074058844,1,0,static,M-2022-5
absorber,10,304080,0.7974958769837099,0.8083828621559471,0,0,static,M-2022-5
degraded_noncollapsed,39,402123,0.8174534217660011,0.7988186298814249,0,0,static,M-2022-5
stable,20,204681,0.8823442350654348,0.891181365810637,0,0,static,M-2022-6
final_collapsed,13,37140,0.6567751127178189,0.6155875450762497,2,1,static,M-2022-6
abrupt_collapsed,8,26322,0.6734398159118333,0.6382029279730397,1,1,static,M-2022-6
gradual_collapsed,5,10818,0.630111587607396,0.5794029324413856,1,0,static,M-2022-6
absorber,10,251157,0.7331635671313137,0.7802679747036888,0,0,static,M-2022-6
degraded_noncollapsed,39,328956,0.7146177316720779,0.7093429267077732,0,0,static,M-2022-6
stable,20,146256,0.8321626795809953,0.8542687126724958,1,0,static,M-2022-7
final_collapsed,13,23893,0.4647032068721109,0.44828898626501384,5,3,static,M-2022-7
abrupt_collapsed,8,19161,0.49435223108225457,0.4781869813735789,3,2,static,M-2022-7
gradual_collapsed,5,4732,0.417264768135881,0.4004521940913099,2,1,static,M-2022-7
absorber,10,154739,0.6673034281735701,0.7314726855936468,0,0,static,M-2022-7
degraded_noncollapsed,39,222215,0.621791470449608,0.6242982390763937,1,0,static,M-2022-7
stable,20,155230,0.8835662333421125,0.8973097611891789,0,0,static,M-2022-8
final_collapsed,13,28206,0.33297577582775556,0.33467679921962346,6,5,static,M-2022-8
abrupt_collapsed,8,23137,0.40208576367368914,0.4098617164961938,4,3,static,M-2022-8
gradual_collapsed,5,5069,0.22239979527426187,0.21438093157711097,2,2,static,M-2022-8
absorber,10,162470,0.6447743212247703,0.7051936739667324,0,0,static,M-2022-8
degraded_noncollapsed,39,247371,0.5764209508370639,0.5744514962552569,1,0,static,M-2022-8
