method,lr,batch_size,macro_f1,collapse_f1,stable_f1,collapsed_count
CoTTA,1e-3,256,0.6318,0.0256,0.9048,12
CoTTA,1e-3,64,0.6318,0.0256,0.9048,12
CoTTA,1e-4,256,0.6307,0.0263,0.9040,12
CoTTA,1e-4,64,0.6307,0.0263,0.9040,12
CoTTA,1e-5,256,0.6296,0.0274,0.9035,12
CoTTA,1e-5,64,0.6296,0.0274,0.9035,12
CoTTA,3e-4,256,0.6315,0.0264,0.9045,12
CoTTA,3e-4,64,0.6315,0.0264,0.9045,12
CoTTA,3e-5,256,0.6302,0.0268,0.9036,12
CoTTA,3e-5,64,0.6302,0.0268,0.9036,12
EATA,1e-3,256,0.6288,0.0277,0.9028,12
EATA,1e-3,64,0.6288,0.0277,0.9028,12
EATA,1e-4,256,0.6288,0.0275,0.9029,12
EATA,1e-4,64,0.6288,0.0275,0.9029,12
EATA,1e-5,256,0.6288,0.0276,0.9028,12
EATA,1e-5,64,0.6288,0.0276,0.9028,12
EATA,3e-4,256,0.6288,0.0275,0.9028,12
EATA,3e-4,64,0.6288,0.0275,0.9028,12
EATA,3e-5,256,0.6288,0.0276,0.9028,12
EATA,3e-5,64,0.6288,0.0276,0.9028,12
NOTE,1e-3,256,0.5472,0.0165,0.8459,12
NOTE,1e-3,64,0.5472,0.0165,0.8459,12
NOTE,1e-4,256,0.6272,0.0273,0.8995,12
NOTE,1e-4,64,0.6272,0.0273,0.8995,12
NOTE,1e-5,256,0.6302,0.0273,0.9022,12
NOTE,1e-5,64,0.6302,0.0273,0.9022,12
NOTE,3e-4,256,0.6163,0.0304,0.8903,12
NOTE,3e-4,64,0.6163,0.0304,0.8903,12
NOTE,3e-5,256,0.6302,0.0274,0.9021,12
NOTE,3e-5,64,0.6302,0.0274,0.9021,12
SAR,1e-3,256,0.6255,0.0215,0.8968,12
SAR,1e-3,64,0.6255,0.0215,0.8968,12
SAR,1e-4,256,0.6292,0.0250,0.9011,12
SAR,1e-4,64,0.6292,0.0250,0.9011,12
SAR,1e-5,256,0.6293,0.0263,0.9012,11
SAR,1e-5,64,0.6293,0.0263,0.9012,11
SAR,3e-4,256,0.6282,0.0227,0.8998,12
SAR,3e-4,64,0.6282,0.0227,0.8998,12
SAR,3e-5,256,0.6295,0.0266,0.9010,12
SAR,3e-5,64,0.6295,0.0266,0.9010,12
Static,1e-3,256,0.6286,0.0276,0.9028,12
Static,1e-3,64,0.6286,0.0276,0.9028,12
Static,1e-4,256,0.6286,0.0276,0.9028,12
Static,1e-4,64,0.6286,0.0276,0.9028,12
Static,1e-5,256,0.6286,0.0276,0.9028,12
Static,1e-5,64,0.6286,0.0276,0.9028,12
Static,3e-4,256,0.6286,0.0276,0.9028,12
Static,3e-4,64,0.6286,0.0276,0.9028,12
Static,3e-5,256,0.6286,0.0276,0.9028,12
Static,3e-5,64,0.6286,0.0276,0.9028,12
Tent,1e-3,256,0.2102,0.0040,0.3207,12
Tent,1e-3,64,0.2102,0.0040,0.3207,12
Tent,1e-4,256,0.6231,0.0191,0.8979,12
Tent,1e-4,64,0.6231,0.0191,0.8979,12
Tent,1e-5,256,0.6313,0.0257,0.9026,12
Tent,1e-5,64,0.6313,0.0257,0.9026,12
Tent,3e-4,256,0.4966,0.0067,0.7458,12
Tent,3e-4,64,0.4966,0.0067,0.7458,12
Tent,3e-5,256,0.6312,0.0229,0.9026,12
Tent,3e-5,64,0.6312,0.0229,0.9026,12
