strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
margin,1000,10,1004,0.0099601593625498,0.01936108422071636,1004,0.0099601593625498,0.01936108422071636
margin,1000,12,262,0.6145038167938931,0.16156547917711991,263,0.6159695817490495,0.162406015037594
margin,1000,22,743,0.39569313593539707,0.557345971563981,743,0.39569313593539707,0.557345971563981
margin,1000,24,4150,0.5190361445783133,0.6493819716611395,4154,0.5194992778045258,0.649804275820536
margin,1000,26,806,0.043424317617866005,0.058823529411764705,807,0.04460966542750929,0.06040268456375839
margin,1000,36,216,0.18518518518518517,0.291970802919708,216,0.18518518518518517,0.291970802919708
margin,1000,47,618,0.0,0.0,618,0.0,0.0
margin,1000,48,3357,0.4992552874590408,0.6024442846872753,3361,0.499851234751562,0.6030150753768844
margin,1000,50,1528,0.010471204188481676,0.020037570444583593,1528,0.010471204188481676,0.020037570444583593
margin,1000,56,12125,0.7725360824742268,0.7261521764409473,12137,0.7727609788250803,0.7263785625774474
margin,1000,58,15,0.0,0.0,15,0.0,0.0
margin,1000,66,1954,0.0015353121801432957,0.002617801047120419,1955,0.001534526854219949,0.0026166593981683385
margin,1000,69,1863,0.1084272678475577,0.11840562719812427,1866,0.10932475884244373,0.11940298507462686
margin,1000,104,1736,0.6860599078341014,0.6574661882417886,1744,0.6875,0.6589722451222864
margin,1000,109,393,0.0,0.0,393,0.0,0.0
margin,1000,121,16,0.0,0.0,16,0.0,0.0
margin,1000,137,1285,0.6264591439688716,0.7064501974550241,1286,0.6267496111975117,0.7067075843928101
margin,1000,138,12744,0.7687539234149403,0.724228423581593,12776,0.7690200375704446,0.7246376811594203
margin,1000,167,55,0.01818181818181818,0.034482758620689655,55,0.01818181818181818,0.034482758620689655
margin,1000,174,1503,0.13639387890884896,0.1585460170146945,1507,0.13802256138022562,0.1603082851637765
