class,fd,ref_count,tgt_count,count_ratio,margin_drop,conf_drop,entropy_rise,fd_zscore,collapse_score,status
137,139.39308844359755,4183,931,0.43561459626634286,4.325054168701172,0.16219329833984375,0.5006194114685059,15.215868576862729,0.7300802528648692,ok
33,122.40601308083043,115,371,6.314175899159983,-0.05233359336853027,-0.05126190185546875,-0.16791576147079468,13.15179535537195,0.2,ok
45,78.90910745655815,2163,1425,1.2894335080119108,2.0365748405456543,0.07603460550308228,0.2357451617717743,7.866553711389087,0.2639469830608225,ok
30,75.89629711286155,8111,565,0.13633728879981627,2.257591724395752,0.009924232959747314,0.03169284015893936,7.500471792103271,0.6082408054419515,ok
172,71.78452523924386,7543,4788,1.242369099497283,2.7273263931274414,0.10128390789031982,0.2854915261268616,7.0008567591461945,0.3384697588294333,ok
56,62.61358812414182,9924,567,0.11182448590547642,12.67117977142334,0.3777403235435486,0.9204935431480408,5.886510392216644,0.9552702056378094,ok
164,54.34440710055539,3183,6917,4.253258161295142,3.934133529663086,0.22831416130065918,0.531879186630249,4.881735011526031,0.562885650155607,ok
177,53.743502712427116,1543,2055,2.6066727213744763,3.4957172870635986,0.12659913301467896,0.4494929909706116,4.808720049872866,0.43356720081591815,ok
67,52.91195683940399,562,1145,3.9875833877943174,-0.25674867630004883,-0.10489821434020996,-0.25629472732543945,4.707680198556835,0.1883072079422734,ok
167,52.53704852215158,611,163,0.5221400436285083,5.17458963394165,0.5210374593734741,1.567651629447937,4.662125669502881,0.7776290093287119,ok
48,49.25416701125153,5052,27,0.010460225069995362,9.297418594360352,0.4331427812576294,1.376369595527649,4.263227820916886,0.9663450228086774,ok
149,49.16356972015735,74935,35512,0.927536539612371,3.0352752208709717,0.14583748579025269,0.43322017788887024,4.252219484373152,0.4299433109131853,ok
174,48.94602401742877,4091,17,0.008133173722910107,6.103395462036133,0.37518423795700073,1.2351540327072144,4.225785842921448,0.9657781642276939,ok
47,48.84542890674891,3748,56,0.029243479930061742,8.556761741638184,0.37295639514923096,1.2790108919143677,4.213562686802279,0.9568451155000665,ok
40,47.08085777748852,2197,410,0.3652535172875941,-1.525904655456543,0.050605833530426025,0.1256209909915924,3.999152381464773,0.41386468834355333,ok
38,46.78638747415337,58,30,1.0123574148202408,1.1371772289276123,0.08898705244064331,0.312441885471344,3.9633717509172364,0.20103206228920228,ok
109,45.51965327145329,1862,88,0.09250039823205351,5.892086982727051,0.3671576976776123,1.1673930883407593,3.8094528395859455,0.9153779542906165,ok
69,45.51501523822398,825,269,0.6381737529707231,2.7344839572906494,0.2900763154029846,0.8961389064788818,3.8088892793506157,0.6368597241887931,ok
58,45.24983124624375,2283,43,0.036864058878108924,9.124333381652832,0.5777328014373779,1.6458872556686401,3.776667183143629,0.9363210637745016,ok
88,43.704970408889714,231,335,2.8383989278437634,0.32501256465911865,0.020242154598236084,0.02056574821472168,3.5889535351367794,0.14355814140547118,ok
7,41.47215852685709,35,79,4.417734928291756,2.5068697929382324,0.2467656135559082,0.8466829061508179,3.317648021038017,0.459593829397956,ok
85,40.979871228275776,2186,335,0.2999406003348167,5.349111557006836,0.1001962423324585,0.2894222140312195,3.2578309537334884,0.6091759267459026,ok
26,40.88560390371623,2425,660,0.5326878603342793,3.284658193588257,0.4093758761882782,1.2051465511322021,3.2463766771067175,0.6877001680981005,ok
29,40.310458849715374,30061,27077,1.7629407979586889,1.7829368114471436,0.13285648822784424,0.4568478763103485,3.1764916922529944,0.2790566134535851,ok
169,40.29703756902075,2879,1806,1.2277690689775451,1.8282580375671387,0.042809247970581055,0.058338046073913574,3.1748608932197127,0.1654646188444609,ok
36,39.469057485494965,1192,99,0.1625547057018407,4.930793285369873,0.2610211968421936,0.8224180936813354,3.074254315463594,0.8579482903378075,ok
95,39.05154368093291,49946,3709,0.1453438725763557,2.697885513305664,0.04647707939147949,0.15093135833740234,3.023522859624636,0.5505050999931169,ok
12,35.89189172300013,2788,453,0.3180138536225132,3.0066943168640137,0.3071330785751343,0.919944703578949,2.639598443188916,0.7335624862329057,ok
118,35.25965636953456,3741,4001,2.093251688214875,2.9402236938476562,0.07297003269195557,0.26435959339141846,2.5627765044561115,0.22052454932232607,ok
99,34.17511372208209,22444,17961,1.566285256044686,-1.101217269897461,0.009064197540283203,0.019369229674339294,2.4309954068648243,0.09723981627459298,ok
97,33.211377278050975,41690,17980,0.844108744280115,4.593184947967529,0.13449305295944214,0.38424623012542725,2.3138932839732393,0.4075285607066883,ok
144,32.916138491916215,3614,2274,1.2315241113767865,0.9132223129272461,0.01550835371017456,0.050935011357069016,2.278019276270778,0.09112077105083112,ok
138,32.301426857282515,42775,9533,0.43619449651893133,2.7602643966674805,0.2145717740058899,0.5548384785652161,2.203326617476359,0.6224997141966137,ok
170,32.011143167240434,3572,2918,1.5988747509689887,4.142132759094238,0.1643160581588745,0.5003916025161743,2.168054695826758,0.39310862588839324,ok
14,31.73067856410681,9587,6438,1.314343409907643,1.5738252401351929,0.1573413610458374,0.49847304821014404,2.1339758762217658,0.25848727123769005,ok
146,31.199017363982033,4895,3816,1.525795314316202,4.812156677246094,0.14076656103134155,0.4068877696990967,2.069374547114314,0.34632984383906723,ok
150,30.04387672464575,2300,885,0.7531058855467097,2.900324821472168,0.06387966871261597,0.21140076220035553,1.9290151968558378,0.27603723577594386,ok
89,29.486214062672833,487,477,1.9170349239162754,0.6737966537475586,0.0268399715423584,0.0649375319480896,1.8612544703845533,0.07445017881538213,ok
76,28.98052773078077,9651,2713,0.5501968315947369,-0.7771596908569336,0.018251657485961914,0.0442114919424057,1.7998093072919068,0.25191363965378155,ok
127,28.90119811838862,3057,3136,2.0078035706773956,2.2413291931152344,0.10494184494018555,0.2911664843559265,1.7901700889383592,0.18737560785390756,ok
101,28.418686662761704,61108,25419,0.8141435717005469,10.707517623901367,0.27266961336135864,0.7567205429077148,1.731540869172549,0.5436042060866833,ok
173,28.23562194150867,4762,647,0.26592275198477083,3.568157196044922,0.129754900932312,0.45072227716445923,1.7092969583833928,0.610711278377829,ok
34,28.18287355119375,589,772,2.5653262934912906,4.517331123352051,0.3094523549079895,0.9137260317802429,1.7028875831613104,0.46811550332645235,ok
59,27.73393477522371,12883,6059,0.9205016104710566,-3.1866941452026367,-0.019728481769561768,-0.08473726361989975,1.6483377277106388,0.09773286492000291,ok
66,26.99132672013628,5403,457,0.16554719993352643,4.429710388183594,0.32887715101242065,1.0494705438613892,1.5581045729246799,0.7961053029435766,ok
11,26.95479451009651,1649,999,1.1857289939259024,2.1770501136779785,0.25163984298706055,0.7756503224372864,1.553665600655784,0.3703627047186593,ok
161,26.91771475084301,3017,243,0.15764186724645313,3.974262237548828,0.0432281494140625,0.13427749276161194,1.5491600965298518,0.5489096569626128,ok
103,26.907411897349768,1858,1139,1.199826974127283,3.14750337600708,0.22907984256744385,0.6624009013175964,1.547908212756677,0.419836712340331,ok
16,26.267103300375677,1026,673,1.283832336910113,1.0799281597137451,0.16824692487716675,0.5089694857597351,1.470105306707212,0.22087788757874122,ok
70,25.754329242819246,2084,356,0.33434350449789396,1.8402042388916016,0.13776928186416626,0.392270028591156,1.4077989250449956,0.46925935098813043,ok
77,25.57120227090846,80475,15347,0.37325283472063026,0.42442893981933594,0.049467384815216064,0.15462490916252136,1.3855474502748164,0.3061207641227406,ok
139,25.349323887527127,3083,1042,0.6615075437569042,1.4733061790466309,0.23690778017044067,0.7136176228523254,1.3585873515064977,0.45811604307185283,ok
