weight_config,w1,w2,w3,w4,w5,precision,recall,f1,n_detected,n_tp
default,0.4,0.2,0.15,0.15,0.1,0.6,0.8571,0.7059,20,12
w1_count_drop_up50pct,0.5,0.1667,0.125,0.125,0.0833,0.55,0.7857,0.6471,20,11
w1_count_drop_down50pct,0.25,0.25,0.1875,0.1875,0.125,0.55,0.7857,0.6471,20,11
w2_fd_up50pct,0.3636,0.2727,0.1364,0.1364,0.0909,0.55,0.7857,0.6471,20,11
w2_fd_down50pct,0.4444,0.1111,0.1667,0.1667,0.1111,0.55,0.7857,0.6471,20,11
w3_margin_drop_up50pct,0.3721,0.186,0.2093,0.1395,0.093,0.55,0.7857,0.6471,20,11
w3_margin_drop_down50pct,0.4324,0.2162,0.0811,0.1622,0.1081,0.6,0.8571,0.7059,20,12
w4_conf_drop_up50pct,0.3721,0.186,0.1395,0.2093,0.093,0.6,0.8571,0.7059,20,12
w4_conf_drop_down50pct,0.4324,0.2162,0.1622,0.0811,0.1081,0.55,0.7857,0.6471,20,11
w5_entropy_rise_up50pct,0.381,0.1905,0.1429,0.1429,0.1429,0.6,0.8571,0.7059,20,12
w5_entropy_rise_down50pct,0.4211,0.2105,0.1579,0.1579,0.0526,0.6,0.8571,0.7059,20,12
dirichlet_00,0.3981,0.3723,0.0082,0.2183,0.0031,0.55,0.7857,0.6471,20,11
dirichlet_01,0.5048,0.1693,0.0605,0.0906,0.1748,0.55,0.7857,0.6471,20,11
dirichlet_02,0.2174,0.5332,0.185,0.0609,0.0036,0.4,0.5714,0.4706,20,8
dirichlet_03,0.5141,0.2993,0.0311,0.0653,0.0902,0.6,0.8571,0.7059,20,12
dirichlet_04,0.1295,0.4087,0.0679,0.1974,0.1965,0.5,0.7143,0.5882,20,10
dirichlet_05,0.1809,0.2746,0.0324,0.3669,0.1452,0.6,0.8571,0.7059,20,12
dirichlet_06,0.4619,0.2006,0.0024,0.0315,0.3037,0.6,0.8571,0.7059,20,12
dirichlet_07,0.2148,0.101,0.1619,0.235,0.2873,0.6,0.8571,0.7059,20,12
dirichlet_08,0.4292,0.4434,0.0304,0.0281,0.0689,0.5,0.7143,0.5882,20,10
dirichlet_09,0.2951,0.1125,0.0145,0.5602,0.0177,0.6,0.8571,0.7059,20,12
dirichlet_10,0.5267,0.2519,0.0187,0.1633,0.0395,0.6,0.8571,0.7059,20,12
dirichlet_11,0.297,0.4173,0.1038,0.1798,0.0021,0.55,0.7857,0.6471,20,11
dirichlet_12,0.6886,0.1401,0.017,0.0331,0.1212,0.5,0.7143,0.5882,20,10
dirichlet_13,0.2663,0.3225,0.1262,0.0439,0.241,0.55,0.7857,0.6471,20,11
dirichlet_14,0.0712,0.1894,0.6996,0.0343,0.0055,0.4,0.5714,0.4706,20,8
dirichlet_15,0.2878,0.2636,0.4215,0.0023,0.0248,0.45,0.6429,0.5294,20,9
dirichlet_16,0.3254,0.3313,0.0521,0.291,0.0002,0.55,0.7857,0.6471,20,11
dirichlet_17,0.1082,0.298,0.4425,0.047,0.1043,0.45,0.6429,0.5294,20,9
dirichlet_18,0.4058,0.0541,0.2699,0.018,0.2522,0.55,0.7857,0.6471,20,11
dirichlet_19,0.136,0.6406,0.0252,0.1521,0.046,0.4,0.5714,0.4706,20,8
